financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg
2010,Woodlands,2-room,78000,105000,38000,65000
2010,Woodlands,3-room,136000,168000,106000,138000
2010,Woodlands,4-room,224000,280000,214000,270000
2010,Woodlands,5-room,270000,328000,270000,328000
2010,Sengkang,2-room,68000,120000,28000,60000
2010,Sengkang,3-room,122000,232000,92000,202000
2010,Sengkang,4-room,201000,359000,191000,349000
2010,Sengkang,5-room,279000,444000,279000,444000
2011,Punggol,2-room,85000,111000,25000,51000
2011,Punggol,3-room,150000,242000,120000,212000
2011,Punggol,4-room,257000,390000,247000,380000
2011,Punggol,5-room,335000,484000,335000,484000
2011,Choa Chu Kang,3-room,146000,172000,116000,142000
2011,Choa Chu Kang,4-room,229000,284000,219000,274000
2011,Choa Chu Kang,5-room,295000,364000,295000,364000
2011,Bukit Panjang,3-room,137000,189000,107000,159000
2011,Bukit Panjang,4-room,217000,298000,207000,288000
2011,Bukit Panjang,5-room,274000,386000,274000,386000
2011,Sembawang,2-room,92000,116000,32000,56000
2011,Sembawang,3-room,158000,191000,128000,161000
2011,Sembawang,4-room,255000,310000,245000,300000
2011,Sengkang,2-room,83000,112000,23000,52000
2011,Sengkang,3-room,134000,220000,104000,190000
2011,Sengkang,4-room,225000,370000,215000,360000
2011,Sengkang,5-room,283000,456000,283000,456000
2011,Yishun,3-room,156000,193000,126000,163000
2011,Yishun,4-room,234000,296000,224000,286000
2011,Yishun,5-room,277000,381000,277000,381000
2012,Punggol,2-room,104000,130000,44000,70000
2012,Punggol,3-room,163000,247000,133000,217000
2012,Punggol,4-room,260000,379000,250000,369000
2012,Punggol,5-room,326000,485000,326000,485000
2012,Choa Chu Kang,2-room,99000,121000,39000,61000
2012,Choa Chu Kang,3-room,138000,182000,108000,152000
2012,Choa Chu Kang,4-room,223000,309000,213000,299000
2012,Choa Chu Kang,5-room,284000,385000,284000,385000
2012,Woodlands,4-room,248000,312000,238000,302000
2012,Woodlands,5-room,308000,381000,308000,381000
2012,Sengkang,3-room,151000,264000,121000,243000
2012,Sengkang,4-room,251000,403000,241000,393000
2012,Sengkang,5-room,304000,499000,304000,499000
2012,Yishun,3-room,170000,197000,140000,167000
2012,Yishun,4-room,264000,320000,254000,310000
2012,Yishun,5-room,331000,388000,331000,388000
2013,Punggol,2-room,81000,141000,21000,81000
2013,Punggol,3-room,176000,232000,126000,182000
2013,Punggol,4-room,279000,377000,244000,342000
2013,Punggol,5-room,365000,495000,355000,485000
2013,Choa Chu Kang,3-room,140000,172000,90000,122000
2013,Choa Chu Kang,4-room,240000,288000,205000,253000
2013,Choa Chu Kang,5-room,308000,372000,298000,362000
2013,Woodlands,2-room,73000,118000,13000,58000
2013,Woodlands,3-room,133000,183000,83000,133000
2013,Woodlands,4-room,223000,298000,188000,263000
2013,Woodlands,5-room,276000,369000,266000,359000
2013,Sembawang,2-room,70000,109000,10000,49000
2013,Sembawang,3-room,138000,177000,88000,127000
2013,Sembawang,4-room,225000,304000,190000,269000
2013,Sembawang,5-room,313000,381000,303000,371000
2013,Sengkang,2-room,76000,124000,16000,64000
2013,Sengkang,3-room,150000,189000,100000,139000
2013,Sengkang,4-room,251000,329000,216000,294000
2013,Sengkang,5-room,358000,425000,348000,415000
2013,Yishun,2-room,75000,118000,15000,58000
2013,Yishun,3-room,150000,234000,100000,184000
2013,Yishun,4-room,252000,320000,217000,285000
2013,Yishun,5-room,316000,393000,306000,383000
2014,Bukit Batok,2-room,80000,142000,20000,82000
2014,Bukit Batok,3-room,160000,211000,110000,161000
2014,Bukit Batok,4-room,259000,344000,224000,309000
2014,Bukit Batok,5-room,350000,457000,340000,447000
2014,Punggol,2-room,82000,139000,22000,79000
2014,Punggol,3-room,166000,212000,116000,162000
2014,Punggol,4-room,278000,341000,243000,306000
2014,Punggol,5-room,334000,429000,324000,419000
2014,Woodlands,2-room,72000,131000,12000,71000
2014,Woodlands,3-room,144000,197000,94000,147000
2014,Woodlands,4-room,229000,312000,194000,277000
2014,Woodlands,5-room,308000,396000,298000,386000
2014,Sembawang,2-room,73000,119000,13000,59000
2014,Sembawang,3-room,148000,185000,98000,135000
2014,Sembawang,4-room,236000,301000,201000,266000
2014,Sembawang,5-room,na,na,na,na
2014,Sengkang,2-room,90000,135000,30000,75000
2014,Sengkang,3-room,164000,208000,114000,158000
2014,Sengkang,4-room,267000,335000,232000,300000
2014,Sengkang,5-room,na,na,na,na
2014,Yishun,2-room,73000,123000,13000,63000
2014,Yishun,3-room,149000,177000,99000,127000
2014,Yishun,4-room,240000,318000,205000,283000
2014,Yishun,5-room,339000,409000,329000,399000
