Título,Tematica,Provincia,Fecha de publicación,Descripción,ProvinciaAlternativa,FuenteContenido,LocalidadAsset,DocumentosAsociados,Identificador,ultimaActualizacion,Enlace al contenido,
"Cocinero","Empleo","Burgos","20161021","<p>Se necesita <strong>cocinero</strong> con experiencia para Gamonal.<br />
<strong>Teléfono 627.387.740.</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661096627,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661096627/Empleo",
"Camarera","Empleo","Burgos","20161021","<p>Se necesita <strong>camarera de comedor</strong> con experiencia.<br />
<strong>Mandar currículum con fotografía a encarnafega@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661092988,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661092988/Empleo",
"Oficial primera","Empleo","Burgos","20161021","<p>Necesito <strong>oficial de primera</strong> con experiencia en acometida de agua, pavimentaciones y movimientos de tierras. <strong>Enviar currículum a aytokinitebuosi@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661091141,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661091141/Empleo",
"Transportistas ","Empleo","Burgos","20161021","<p>Grupo TT busca<strong> transportistas colaboradores</strong>. Tráficos internacionales, nacionales y rutas fijas.<br />
<strong>Teléfono : 600.966.932</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661090548,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661090548/Empleo",
"Camarera/o","Empleo","Burgos","20161021","<p><strong>Camarera/o</strong> con experiencia para fines de semana.<br />
<strong>Enviar currículum con fotografía reciente a ofertashosteleriaburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661074983,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661074983/Empleo",
"Personal quipo trabajo vertical","Empleo","Burgos","20161021","<p>Se busca <strong>personal para equipo de trabajo vertica</strong>l en Burgos y alrededores.<br />
<strong>Interesados llamar al 640.586.219 para concertar cita para entrevista previo envío de currículum a trabajoverticalburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661074017,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661074017/Empleo",
"Comercial","Empleo","Ávila","20161021","<p>Empresa en Ávila necesita incorporar <strong>comercial</strong>. Se valorará conocimientos en materiales de construcción y/o ferretería.<br />
<strong>Interesados enviar curriculum vitae el Apartado de Correos 355. 05080 Ávila.</strong></p>
<p></p>
<p>Información procedente de: El Periódico ""<strong>El Diario de Ávila ""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.<br />
</em></p>",,"Internet / Prensa","Ávila",,1284661061580,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661061580/Empleo",
"Panadero","Empleo","Ávila","20161021","<p>Se necesita <strong>panadero</strong> con experiencia para trabajar en obrador por la noche.<br />
<strong>Teléfono 637 059 665.</strong></p>
<p>Información procedente de: El Periódico ""<strong>El Diario de Ávila ""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.<br />
</em></p>",,"Internet / Prensa","Ávila",,1284661059921,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661059921/Empleo",
"2 plazas de Auxiliar de Biblioteca en el Ayto. de Burgos","Empleo","Burgos","20161021","<p>Convoca: Ayuntamiento de Burgos.<br />Cuerpo: AUXILIAR DE BIBLIOTECA.<br />Plazas: 2 (1 libre, 1 discapacidad).<br />Acceso: Oposición.<br />Titulación: Graduado en ESO o equivalente.<br />Plazo: 10 de noviembre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. BOCYL 08/03/2016, BOP Burgos 11/3/2016, BOE 21/10/2016</p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://bocyl.jcyl.es/boletines/2016/03/08/pdf/BOCYL-D-08032016-22.pdf"" target=""_blank"">Bases en Bocyl 08/03/16</a></li><li><a href=""https://www.boe.es/boe/dias/2016/10/21/pdfs/BOE-A-2016-9652.pdf"" target=""_blank"">Convocatoria BOE 21/10/16</a></li><li><a href=""https://bopbur.diputaciondeburgos.es/hemeroteca/2016-03-11?mini=hemeroteca%2F2016-03"" target=""_blank"">BOP Burgos 11/03/16</a></li></ul></p>",,"Organismo oficial",,,1284660989110,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660989110/Empleo",
"2 plazas del Cuerpo Técnico de las Cortes de Castilla y León","Empleo","Otra","20161021","<p>Convoca: Cortes de Castilla y León<br />Cuerpo: CUERPO TÉCNICO<br />Plazas: 2 (1 libre, 1 restringido)<br />Acceso: Concurso-Oposición<br />Titulación: Licenciatura, Ingeniería, Arquitectura o equivalente<br />Plazo: 21 de noviembre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. BOCYL 21/10/2016</p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://bocyl.jcyl.es/boletines/2016/10/21/pdf/BOCYL-D-21102016-6.pdf"" target=""_blank"">Consultar convocatoria</a></li></ul></p>","Castilla y León","Organismo oficial",,,1284660980018,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660980018/Empleo",
"Mecánico Agricola o Industrial","Empleo","Soria","20161021","SE NECESITA <strong>MECANICO AGRICOLA O INDUSTRIAL</strong>, de experiencia. Se primará, experiencia en empaquetadoras y cosechadoras.<br />
<strong>Teléfono 610 42 66 51. Currículmum. cesar@garciamaquinaria.com</strong>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284660977684,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660977684/Empleo",
"Bolsa de Empleo de Peón de Servicios Múltiples en el Ayto. de Grijota (Palencia)","Empleo","Palencia","20161021","<p>Convoca: Ayuntamiento de Grijota<br />Cuerpo: PEÓN DE SERVICIOS MÚLTIPLES<br />Plazas: Bolsa de Empleo<br />Acceso: Concurso de méritos<br />Titulación: Certificado de Escolaridad o acreditación de ESO.<br />Plazo: 10 de noviembre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Palencia 19/10/2016</p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://www.dip-palencia.es/export/sites/diputacion/otrosContenidos/bop/Documentos/2016/10/dxa-19.pdf"" target=""_blank"">Consultar Bases en BOP Palencia 19/10/16</a></li></ul></p>",,"Organismo oficial",,,1284660977658,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660977658/Empleo",
"Comercial","Empleo","Soria","20161021","<p>COMERCIAL-RECAMBISTA, para sector maquinaria agrícola, imprescindible experiencia.<br />
Teléfono de Contacto: <strong>610426651</strong>. Curriculum a: <strong>cesar@garciamaquinaria.com</strong></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284660977372,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660977372/Empleo",
"Personal empresa electricidad","Empleo","Soria","20161021","<p>SE NECESITA<strong> personal para empresa de ELECTRICIDAD</strong> en Soria.<br />
<strong>Teléfono. 645 546 105.</strong></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284660977085,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660977085/Empleo",
"Fontanero","Empleo","Soria","20161021","<p>SE NECESITA: <strong>Fontanero </strong>con experiencia, imprescindible carnet de conducir.<br />
Teléfono de Contacto: <strong>687033628</strong>.</p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284660974780,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660974780/Empleo",
"Camarera","Empleo","Salamanca","20161021","<p><strong>Camarera</strong> con experiencia para restaurante 30 años aprox, media jornada,<br />
<strong>Enviar curriculum con foto isavic3700 @yahoo.es</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284660967929,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660967929/Empleo",
"MECÁNICOS DE MANTENIMIENTO Y REPARACIÓN DE AUTOMOCIÓN, EN GENERAL","Empleo","Palencia","20161021","<p>Se valora conocimientos en la reparación de maquinaria agrícola.
Jornada completa.</p><p>Para más información acuda a <a href=""http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=185746"">Oficina Virtual</a></p>",,"ECYL",,,1284660967809,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660967809/Empleo",
"Comercial","Empleo","Salamanca","20161021","<p>Se necesita <strong>comercial </strong>con experiencia en alimentación y personal administrativo.<br />
<strong>Enviar CV al apartado de correos 2173</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284660964919,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660964919/Empleo",
"Camarero","Empleo","Salamanca","20161021","<p>Se necesita <strong>camarero </strong>con experiencia para bar de copas.<br />
<strong>Teléfono : 620 245 542</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284660958836,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660958836/Empleo",
"Comercial","Empleo","Salamanca","20161021","<p>Empresa en Ávila necesita incorporar <strong>comercial</strong>. Se valorará conocimientos en materiales de construcción y/o ferretería. Interesados enviar CV al apartado de correos 355,05080 de Ávila.</p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284660955445,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660955445/Empleo",
"Cociniero","Empleo","Salamanca","20161021","<p>Se necesita cocinero con experiencia.<br />
<strong>Teléfono : 627 493 208</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284660953193,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660953193/Empleo",
"Señora limpieza y cocina","Empleo","Palencia","20161021","<p>Necesito <strong>señora para limpieza y cocina </strong>de cafetería, media jornada.<br />
<strong>Llamar de 18 a 20 h.687721647</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284660947785,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660947785/Empleo",
"Camarero/a","Empleo","Palencia","20161021","<p>Necesito <strong>camarero/a</strong> para cafetería.<br />
<strong>Llamar de 18 a 20 h. 687721647</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284660946357,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660946357/Empleo",
"Maitre","Empleo","Palencia","20161021","<p>Se necesita <strong>maitre</strong> para restaurante.<br />
<strong>Teléfono : 640 215 598</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284660945897,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660945897/Empleo",
"Jefe de Cocina","Empleo","Palencia","20161021","<p><strong>Jefe de cocina</strong> se necesita para restaurante, buen sueldo<br />
<strong>Teléfono : 640 215 598</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284660944826,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284660944826/Empleo",
