Fichero actualizado a fecha: 2016-11-06 02:18:16
Nombre del Organismo,Descripción,DatosPersonales,Dirección,Calle,CodigoPostal,Localidad,Localidad,SoloClasificar,Teléfono,Telefax oficial,Fax,e-mail,Páginas de internet,Posicion,Información adicional,Directorio Superior,Identificador Directorio Superior,Identificador,ultimaActualizacion,Enlace al contenido,
"CRA Entre dos ríos- Fuenterebollo (Segovia)","Localidades (CRA): Fuenterrebollo, Cabezuela, Sacramenia y Sebulcor","Centro Rural Agrupado",,"C/ Calvo Sotelo, 39","40330","Fuenterrebollo","1179298447404",,"921 520 935",,,,,"41.295735964717096#-3.9318180084228515#88",,"Centros Rurales Agrupados","1284290778097",1284290901820,20131030,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1284290901820/DirectorioPadre",
"CRA Entreviñas - Fuensaldaña (Valladolid)","Localidades (CRA): Fuensaldaña, Mucientes y Trigueros del Valle","Centro Rural Agrupado",,"C/ Camino del Prado, s/n","47270","Fuensaldaña","1179469254577",,"983 583 164",,,,,"41.706897941976734#-4.759483337402344#82",,"Centros Rurales Agrupados","1284293316854",1284295841370,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1284295841370/DirectorioPadre",
"C.R.A. ""Eria-Jamuz""",,,"Jiménez de Jamuz C.P. 24767 (León)",,,,,,"987 664 402",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233525620,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233525620/DirectorioPadre",
"CRA Eusebia Palomino - Cantalpino (Salamanca)"," Localidades (CRA): Cantalpino y Arabayona de Mógica","Centro Rural Agrupado",,"C/ Delicias, 9","37405","Cantalpino","1179298211879",,"923 532 198",,,,,"41.05612003462361#-5.333518981933594#88",,"Centros Rurales Agrupados","1284292632266",1142233544341,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544341/DirectorioPadre",
"CRA Florida del Duero - Castronuño (Valladolid)"," Localidades (CRA): Castronuño, Pollos, San Román de Hornija, Siete Iglesias de Trabancos y Villafranca de Duero","Centro Rural Agrupado",,"C/ Valborrada, 38","47520","Castronuño","1179469245842",,"983 866 064",,,,,"41.38996206268588#-5.260756015777588#71",,"Centros Rurales Agrupados","1284293316854",1142233572744,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572744/DirectorioPadre",
"CRA Fuenteadaja - Muñana (Ávila)","Localidades (CRA): Muñana, La Torre, Villatoro.","Centro Rural Agrupado",,"C/ La Serrada, 1","05540","Muñana","1179297234015",,"920 231 488",,,,,"40.59179600934525#-5.015344619750977#88",,"Centros Rurales Agrupados","1284288980146",1142233501788,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501788/DirectorioPadre",
"CRA Fuenteguinaldo-Azaba - Fuenteguinaldo (Salamanca)","Localidades (CRA): Fuenteguinaldo, Ituero de Azaba y Puebla de Azaba","Centro Rural Agrupado",,"C/ Cristo, 45","37540","Fuenteguinaldo","1179298244590",,"923 471 463",,,,,"40.43195496332685#-6.673078536987305#88",,"Centros Rurales Agrupados","1284292632266",1142233544530,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544530/DirectorioPadre",
"CRA Guareña - Guarrate (Zamora)"," Localidades (CRA): Guarrate, Argujillo, Cañizal, Maderal (El), Pego (El) y Vadillo de la Guareña","Centro Rural AGrupado",,"Pseo. de la Ermita, 5","49156","Guarrate","1179469372973",,"980 606 006",,,,,"41.288513162720534#-5.444369316101074#88",,"Centros Rurales Agrupados","1284291584682",1284163425320,20140117,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1284163425320/DirectorioPadre",
"C.R.A. ""Jimena Muñíz""",,,"C/ Casanova, s/n. (Barrio San Pedro) C.P. 24514 Corullón (León)",,,,,,"987 542 097",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233525458,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233525458/DirectorioPadre",
"C.R.A. ""La Abadía""",,,"C/ San Roque, s/n. C.P. 24549 Carracedelo (León)",,,,,,"987 562 770",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233525377,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233525377/DirectorioPadre",
"CRA La Besana - Mota del Marqués (Valladolid)","Localidades (CRA): Mota del Marqués, Casasola de Arión y Villalar de los Comuneros","Centro Rural Agrupado",,"C/ Fray Juan de la Mota, s/n","47120","Mota del Marqués","1179469267891",,"983 780 068",,,,,"41.63276553692531#-5.174088478088379#76",,"Centros Rurales Agrupados","1284293316854",1142233572879,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572879/DirectorioPadre",
"C.R.A. ""La Demanda""",,,"El Pinar, s/n. C.P. 09430 Huerta de Rey (Burgos)",,,,,,"947 388 102",,,,,,,"Colegios Rurales Agrupados","1142233513418",1142233513504,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233513504/DirectorioPadre",
"CRA La Esgueva - Esguevillas de Esgueva (Valladolid)"," Localidades (CRA): Esguevillas de Esgueva y Piña de Esgueva","Centro Rural Agrupado",,"Avda. de Ramón y Cajal, 29","47176","Esguevillas de Esgueva","1179469251812",,"983 686 584",,,,,"41.74619752705228#-4.382386207580566#94",,"Centros Rurales Agrupados","1284293316854",1142233572798,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572798/DirectorioPadre",
"CRA La Flecha - Cabrerizos (Salamanca)"," Localidades (CRA): Cabrerizos, Aldeealengua y Aldearrubia","Centro Rural Agrupado",,"C/ Camino de Salamanca, s/n","37193","Cabrerizos","1179298206129",,"923 209 259",,,,,"40.97659334009255#-5.616974830627441#76",,"Centros Rurales Agrupados","1284292632266",1142233544260,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544260/DirectorioPadre",
"CRA La Gaznata - San Bartolomé de Pinares (Ávila)","Localidades (CRA): San Bartolomé de Pinares, Santa Cruz de Pinares.","Centro Rural Agrupado",,"C/ del Pino, 2","05267","San Bartolomé de Pinares","1179297262847",,"920 270 070",,,,,"40.54315645840702#-4.538383483886719#88",,"Centros Rurales Agrupados","1284288980146",1142233502005,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233502005/DirectorioPadre",
"CRA La Ribera - Aldeadávila de Ribera (Salamanca)","Localidades (CRA): Aldeadávila de la Ribera","Centro Rural Agrupado",,"C/ Eras, 5","37250","Aldeadávila de la Ribera","1179298180357",,"923 505 116",,,,,"41.21507899794642#-6.607203483581543#88",,"Centros Rurales Agrupados","1284292632266",1142233544137,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544137/DirectorioPadre",
"CRA La Ribera - Langa de Duero (Soria)","Localidades (CRA): Langa de Duero","Centro Rural Agrupado",,"Ctra. de Valdanzo, s/n.","42320","Langa de Duero","1179469158247",,"975 353 056",,,,,"41.553528#-3.400587#88",,"Centros Rurales Agrupados","1142233560058",1142233560250,20131024,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233560250/DirectorioPadre",
"CRA La Senara"" - Cubo de Don Sancho (El) (Salamanca)","Localidades (CRA): Cubo de Don Sancho (El), Boada, Martín de Yeltes, Retortillo y San Muñoz","Centro Rural Agrupado",,"C/ Salas Pombo, 56","37281","Cubo de Don Sancho (El)","1179298233936",,"923 443 107",,,,,"40.88879547145275#-6.304178237915039#88",,"Centros Rurales Agrupados","1284292632266",1142233544449,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544449/DirectorioPadre",
"CRA La Serrezuela - Santa María del Berrocal (Ávila)","Localidades (CRA): Bercedillas, Diego Álvaro, Malpartida de Corneja, Martínez, Narrillos del Álamo, San Miguel de Serrrezuela, Santiago del Collado, Zapardiel de la Cañada","Centro Rural Agrupado",,"C/ La Cueva, s/n","05510","Santa María del Berrocal","1179297270126",,"920 365 022",,,,,"40.662670736222495#-5.341758728027344#71",,"Centros Rurales Agrupados","1284288980146",1142233501626,20140711,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501626/DirectorioPadre",
"CRA La Sierra - Cillán (Ávila)","Localidades (CRA): Cabezas del Villar, Cillán, Solana de Rioalmar. ","Centro Rural Agrupado",,"C/ La Fuente, s/n","05149","Cillán","1179297209696",,"920 232 149",,,,,"40.70383860758449#-4.978265762329102#88",,"Centros Rurales Agrupados","1284288980146",1142233501572,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501572/DirectorioPadre",
"CRA La Villa - Peñafiel (Valladolid)","Localidades (CRA): Peñafiel, Canalejas de Peñafiel y Pesquera de Duero","Centro Rural Agrupado",,"C/ Calvario, s/n","47300","Peñafiel","1179469273430",,"983 880 318",,,,,"41.5959962890166#-4.124464988708496#65",,"Centros Rurales Agrupados","1284293316854",1142233572906,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572906/DirectorioPadre",
"CRA Las Cañadas - Aguilafuente (Segovia)","Localidades (CRA): Aguilafuente, Aldea Real, Escalona del Prado, Fuentepelayo, Lastras de Cuéllar y Zarzuela del Pinar","Centro Rural Agrupado",,"Ps. Marqués de Aguilafuente, 29","40340",,,,"921 572 202",,,,,"41.225311814673724#-4.1109466552734375#88",,"Centros Rurales Agrupados","1284290778097",1142233553205,20131030,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233553205/DirectorioPadre",
"CRA Las Cinco Encinas - Galinduste (Salamanca)","Localidades (CRA): Galinduste","Centro Rural Agrupado",,"C/ San Pablo, 65","37785","Galinduste","1179298248128",,"923 391 577",,,,,"40.66446117239458#-5.537881851196289#88",,"Centros Rurales Agrupados","1284292632266",1142233544584,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544584/DirectorioPadre",
"CRA Las Cogotas - Cardeñosa (Ávila)","Localidades (CRA): Las Berlanas, Cardeñosa, Gotarrendura, Hernansancho, Riocabado, Villanueva de Gomez.","Centro Rural Agrupado",,"C/ La Estación, 4","05320","Cardeñosa","1179297204342",,"920 260 187",,,,,"40.74146948542447#-4.744505882263184#88",,"Centros Rurales Agrupados","1284288980146",1142233501518,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501518/DirectorioPadre",
"CRA Las Dehesas - Tamames (Salamanca)","Localidades (CRA): Tamames y Cabrillas","Centro Rural Agrupado",,"Avda. de Salamanca, 49","37600","Tamames","1179298352776",,"923 449 234",,,,,"40.65583408329721#-6.102561950683594#88",,"Centros Rurales Agrupados","1284292632266",1142233545043,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233545043/DirectorioPadre",
"CRA Las Torres - Mijares (Ávila)","Localidades (CRA): Gavilanes, Mijares. ","Centro Rural Agrupado",,"C/ Chorrito, 2","05461","Mijares","1179297231552",,"920 385 212",,,,,"40.29684295836447#-4.835872650146484#88",,"Centros Rurales Agrupados","1284288980146",1142233501734,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501734/DirectorioPadre",
"CRA Llano Alto - Ataquines (Valladolid)","Localidades (CRA): Ataquines y Lomoviejo","Centro Rural Agrupado",,"C/ De la Estación, 21","47210","Ataquines","1179469235607",,"983 815 281",,,,,"41.18083423153919#-4.798643589019775#76",,"Centros Rurales Agrupados","1284293316854",1142233572663,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572663/DirectorioPadre",
"CRA Llanogrande - Valdecarros (Salamanca)","Localidades (CRA): Valdecarros, Navales y Pedraza de Alba","Centro Rural Agrupado",,"C/ Miguel de Unamuno, 1","37881","Valdecarros","1179298359499",,"923 383 037",,,,,"40.769524298103626#-5.423083305358887#88",,"Centros Rurales Agrupados","1284292632266",1142233545070,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233545070/DirectorioPadre",
"CRA Llanos de Moraña - San Pedro del Arroyo (Ávila)","Localidades (CRA): Albornos, Herreros de Suso, Muñomer del Peco, Papatrigo, San Pedro del Arroyo. ","Centro Rural Agrupado",,"Ctra. Sto. Tome de Zabarcos, s/n","05350","San Pedro del Arroyo","1179297269061",,"920 240 201",,,,,"40.80182304874792#-4.871492385864258#88",,"Centros Rurales Agrupados","1284288980146",1142233502059,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233502059/DirectorioPadre",
"CRA Lope de Vega - Garcihernández (Salamanca)","Localidades (CRA): Garcihernández, Encinas de Arriba y Peñarandilla","Centro Rural Agrupado",,"Calle de los Molinos, 80","37810","Garcihernández","1179298250998",,"923 371 656",,,,,"40.860109462370005#-5.432782173156738#88",,"Centros Rurales Agrupados","1284292632266",1142233544611,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544611/DirectorioPadre",
"CRA Los Almendros - Bóveda de Toro (La) (Zamora)","Localidades (CRA): Bóveda de Toro (La) y Villabuena del Puente","Centro Rural Agrupado",,"Avda. de la Escuela, s/n","49155","Bóveda de Toro (La)","1179469341314",,"980 602 358",,,,,"41.34446895969279#-5.412483215332031#88",,"Centros Rurales Agrupados","1284291584682",1142233580942,20131106,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233580942/DirectorioPadre",
"CRA Los Almendros - Lastrilla (La) (Segovia)","Localidades (CRA): La Lastrilla, Bernuy de Porreros y Zamarramala","Centro Rural Agrupado",,"Camino de san Cristóbal, s/n","40196","Lastrilla (La)","1179298455172",,"921 436 445",,,,,"40.966580943072#-4.102020263671875#88",,"Centros Rurales Agrupados","1284290778097",1237541422927,20131030,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1237541422927/DirectorioPadre",
"CRA Los Arapiles - Aldeatejada (Salamanca)","Localidades (CRA): Arapiles, Calvarrasa de Arriba, Mozárbez y San Pedro de Rozados","Colegio Rural Agrupado",,"C/ Barrio Nuevo, 4","37187","Aldeatejada","1179298183232",,"923 341 179",,,,,"40.920517319192335#-5.693836212158203#88",,"Centros Rurales Agrupados","1284292632266",1142233544395,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544395/DirectorioPadre",
"CRA Los Arribes - Villarino de los Aires (Salamanca)","Localidades (CRA): Villarino de los Aires, Pereña y Trabanca","Centro Rural Agrupado",,"C/ Eras, s/n","37160","Villarino de los Aires","1179298381017",,"923 573 165",,,,,"41.26745284168586#-6.465368270874023#88",,"Centros Rurales Agrupados","1284292632266",1142233545205,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233545205/DirectorioPadre",
"CRA Los Carrascales - Matilla de los Caños del Río (Salamanca)","Localidades (CRA): Matilla de los Caños del Río y Vecinos","Centro Rural Agrupado",,"Ctra. de Villalba, s/n","37450","Matilla de los Caños del Río","1179298274100",,"923 382 302",,,,,"40.82303289338655#-5.945491790771484#76",,"Centros Rurales Agrupados","1284292632266",1142233544773,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544773/DirectorioPadre",
"CRA Los Cerezos - Sotoserrano (Salamanca)","Localidades (CRA): Sotoserrano, Cepeda y Herguijuela de la Sierra","Centro Rural Agrupado",,"C/ Perenal, s/n","37657","Sotoserrano","1179298351076",,"923 422 154",,,,,"40.43600544529148#-6.032588481903076#76",,"Centros Rurales Agrupados","1284292632266",1142233545016,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233545016/DirectorioPadre",
"CRA Los Frensos - El Fresno (Ávila)","Localidades (CRA): Aldea del Rey Niño, El Fresno, Sotalbo. ","Centro Rural Agrupado",,"Avda. Jose Antonio, 30","05197","Fresno (El)","1179297214719",,"920 081 542",,,,,"40.614525#-4.7551384#88",,"Centros Rurales Agrupados","1284288980146",1142233501653,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501653/DirectorioPadre",
"CRA Los Girasoles - Calvarrasa de Abajo (Salamanca)","Localidades (CRA): Calvarrasa de Abajo, Amatos, Cilloruelo, Encinas de Abajo, Huerta, Machacón y Nuevo Naharros","Centro Rural Agrupado",,"C/ Escuelas, 9","37181",,,,"923 306 000",,,,,"40.94872335161394#-5.553760528564453#88",,"Centros Rurales Agrupados","1284292632266",1142233544287,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544287/DirectorioPadre",
"CRA Los Jarales - San Miguel de Valero (Salamanca)","Localidades (CRA): San Miguel de Valero, San Esteban de la Sierra y Valero","Centro Rural Agrupado",,"C/ Costanilla, s/n","37763","San Miguel de Valero","1179298328782",,"923 415 765",,,,,"40.54077573416938#-5.921459197998047#88",,"Centros Rurales Agrupados","1284292632266",1142233544935,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544935/DirectorioPadre",
"CRA Los Llanos - Valverde del Majano (Segovia)"," Localidades (CRA): Valverde del Majano, Abades, Garcillán, Hontanares de Eresma y Valseca","Centro Rural Agrupado",,"Pza. San Pedro, 3","40140","Valverde del Majano","1179298575374",,"921 490 111",,,,,"40.956923535198165#-4.234371185302734#88",,"Centros Rurales Agrupados","1284290778097",1142233553638,20131030,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233553638/DirectorioPadre",
"CRA Los Regajales - Nava de Arévalo (Ávila)","Localidades (CRA): El Bohodón, Cabezas de Alambre, Magazos, Nava de Arévalo, San Vicente de Arévalo, Tiñosillos.","Centro Rural Agrupado",,"C/ Nueva, s/n","05216","Nava de Arévalo","1179297241715",,"920 314 278",,,,,"40.97866691522597#-4.775362014770508#82",,"Centros Rurales Agrupados","1284288980146",1142233501815,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501815/DirectorioPadre",
"CRA Los Robles - Ledrada (Salamanca)","Localidades (CRA): Ledrada, Cristóbal y Valdelacasa","Centro Rural Agrupado",,"Ctra. de Sanchotello, s/n","37730","Ledrada","1179298266466",,"923 591 247",,,,,"40.469151426877744#-5.720787048339844#82",,"Centros Rurales Agrupados","1284292632266",1142233544719,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544719/DirectorioPadre",
"C.R.A. ""Los Tres Valles""",,,"C/ Carretera, s/n. C.P. 24230 Valdevimbre (León)",,,,,,"987 304 166",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233526397,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233526397/DirectorioPadre",
"C.R.A. ""Maestro Emilio Alonso""",,,"C/ Las Escuelas, 15 C.P. 24122 Lorenzana (León)",,,,,,"987 580 090",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233525701,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233525701/DirectorioPadre",
"C.R.A. ""Marcial Álvarez Cela""",,,"Ctra. de Barjas, s/n. C.P. 24520 Vega de Valcárce (León)",,,,,,"987 543 111",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233526427,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233526427/DirectorioPadre",
"CRA María Magdalena - Cabeza de Caballo (Salamanca)","Localidades (CRA): Cabeza de Caballo","Centro Rural Agrupado","C/ Escuelas, 7. C.P. 37214 Cabeza del Caballo (Salamanca)","C/ Escuelas, 7","37214",,,,"923 306 600",,,,,"41.16379397699723#-6.55059814453125#53",,"Centros Rurales Agrupados","1284292632266",1142233544232,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544232/DirectorioPadre",
"CRA Miguel Delibes - Mingorría (Ávila)","Localidades (CRA): Mingorría, Velayos. ","Centro Rural Agrupado",,"Avda. Concentración Parcelaria s/n","05280","Mingorría","1179297231934",,"920 200 319",,,,,"40.75200361885657#-4.6654558181762695#88",,"Centros Rurales Agrupados","1284288980146",1142233501761,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501761/DirectorioPadre",
"C.R.A. ""Montearlanza""",,,"C/ Del Tercio, s/n. C.P. 09390 Villalmanzo (Burgos)",,,,,,"947 171 038",,,,,,,"Colegios Rurales Agrupados","1142233513418",1142233513765,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233513765/DirectorioPadre",
"CRA Moraña Baja - Mamblas (Ávila)","Localidades (CRA): Cantiveros, Cisla, Horcajo de las Torres, Langa, Mamblas."," Centro Rural Agrupado",,"C/ La Larga, 16","05298","Mamblas","1179297228889",,"920 310 175",,,,,"41.01941239249447#-5.012297630310059#88",,"Centros Rurales Agrupados","1284288980146",1142233501491,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501491/DirectorioPadre",
"CRA Navas del Alberche - Navalmoral (Ávila)","Localidades (CRA): Navalmoral, Navarredondilla, San Juan de la Nava, Navandrinal. ","Centro Rural Agrupado",,"Pza. Chica, s/n","05120","Navalmoral","1179297246047",,"920 280 347",,,,,"40.45896445181189#-4.767851829528809#88",,"Centros Rurales Agrupados","1284288980146",1142233501842,20131018,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233501842/DirectorioPadre",
"CRA Nuez de Aliste - Trabazos (Zamora)"," Localidades (CRA): Nuez, Rabanales, San Juan del Rebollar, San Vitero","Centro Rural Agrupado",,"C/ Las Eras, s/n","49516","Trabazos","1179469474660",,"980 681 242",,,,,"41.74659776587355#-6.49017333984375#82",,"Centros Rurales Agrupados","1284291584682",1142233581293,20131106,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233581293/DirectorioPadre",
"CRA Padre Hoyos - Torrelobatón (Valladolid)","Localidades (CRA): Torrelobatón, Torrecilla de la Abadesa y Wamba","Centro Rural Agrupado",,"Ctra. de Villasexmir, s/n.","47134","Torrelobatón","1179469306727",,"983 563 579",,,,,"41.64880139835668#-5.0280046463012695#71",,"Centros Rurales Agrupados","1284293316854",1142233572960,20131203,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233572960/DirectorioPadre",
"CRA Peña de Francia - Maíllo (El) (Salamanca)","Localidades (CRA): Maíllo (El) y Cabaco (El)","Centro Rural Agrupado",,"C/ Rúa, 14","37621","Maíllo (El)","1179298268326",,"923 485 509",,,,,"40.565687615671614#-6.180539131164551#88",,"Centros Rurales Agrupados","1284292632266",1142233544827,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544827/DirectorioPadre",
"CRA Pérez Villanueva - Barruecopardo (Salamanca)","Localidades (CRA): Barruecopardo y Saucelle","Centro Rural Agrupado",,"C/ Las Escuelas, 16","37255","Barruecopardo","1179298196974",,"923 501 777",,,,,"41.073107380631086#-6.6652679443359375#88",,"Centros Rurales Agrupados","1284292632266",1142233544205,20131113,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233544205/DirectorioPadre",
"CRA Pinar Grande - Navaleno (Soria)","Localidades (CRA): Navaleno, Abejar, Cabrejas del Pinar","Centro Rural Agrupado",,"C/ Carretas, 4","42149","Navaleno","1179469174694",,"975 374 164",,,,,"41.836967#-3.0048144#88",,"Centros Rurales Agrupados","1142233560058",1142233560277,20131024,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233560277/DirectorioPadre",
"CRA Pinares Altos - Vinuesa (Soria)","Localidades (CRA): Vinuesa, Molinos de Duero","Centro Rural Agrupado",,"C/ Luenga","42150","Vinuesa","1179469222209",,"975 377 401",,,,,"41.912216#-2.7645957#88",,"Centros Rurales Agrupados","1142233560058",1142233560331,20131024,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233560331/DirectorioPadre",
"CRA Pinares Sur - Casarejos (Soria)","Localidades (CRA): Casarejos, Espejón","Centro Rural Agrupado",,"C/ Mayor, s/n","42148","Casarejos","1179469133707",,"975 372 123",,,,,"41.79722#-3.03196#88",,"Centros Rurales Agrupados","1142233560058",1142233560195,20131024,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233560195/DirectorioPadre",
"C.R.A. Puebla de Lillo",,,"Ctra. Boñar-Puerto S. Isidro, s/n. C.P. 24855 Puebla de Lillo (León)",,,,,,"987 731 100",,,,,,,"Centros Rurales Agrupados","1142233525216",1142233525890,20081119,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233525890/DirectorioPadre",
