tradename,busloc,jobstatusdesc,licencetypes,comdistnm
1832554 ALBERTA O/A VILLA MADINA,#1336 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),MARLBOROUGH                             
1845402 ALBERTA,#7 5815 40 ST SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),FOOTHILLS                               
1857643,619 67 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KINGSLAND                               
1858280 ALBERTA / MARBLE SLAB CREAMERY,#106 338 ASPEN GLEN LD SW CALGARY,Renewal Licensed,"FOOD SERVICE - PREMISES (NO SEATING), OUTDOOR PATIO",ASPEN WOODS
1886 CAFE,187 BARCLAY PR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),EAU CLAIRE                              
1902129 ALBERTA,3000 MILLRISE PT SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MILLRISE                                
1ST AVE BARBERSHOP,917 1 AV NE CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",BRIDGELAND/RIVERSIDE                    
1ST CHOICE LIGHTING & PLUMBING,#2120 3961 52 AV NE CALGARY,Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",WESTWINDS                               
1ST GEAR AUTO,#6 4623 MANILLA RD SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",MANCHESTER INDUSTRIAL                   
1ST PLACE AUTO,4524 1 ST SE CALGARY,Renewal Invoiced,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",MANCHESTER INDUSTRIAL                   
1ST STREET BARBERSHOP,1003 1 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",BELTLINE                                
2 AM LIQUOR CO OUTLET,#2 1110 CANTERBURY DR SW CALGARY,Pending Renewal,"LIQUOR STORE, FOOD SERVICE - PREMISES",CANYON MEADOWS                          
2 CLEAN,6047 CENTRE ST SW CALGARY,Pending Renewal,MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),MANCHESTER INDUSTRIAL                   
2 SHARP CHICKS SALON,1913 34 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,ALTADORE                                
2 THE CORE TRAINING,#129 2750 3 AV NE CALGARY,Renewal Licensed,PERSONAL SERVICE,MERIDIAN                                
20/20 PHARMACY,#106 5340 1 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",MANCHESTER                              
204 RANCH ESTATES PL NW,204 RANCH ESTATES PL NW CALGARY,Licensed,LODGING HOUSE,RANCHLANDS                              
21 CENTURY SEAFOOD,#1 5622 BURBANK CR SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",BURNS INDUSTRIAL                        
2110 FITNESS,#6 6624 CENTRE ST SE CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",MANCHESTER INDUSTRIAL                   
228 BUILDING (THE),228 13 AV SW CALGARY,Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
23RD STREET CAFE,#114B 2323 32 AV NE CALGARY,Licensed,FOOD SERVICE - PREMISES (SEATING),SOUTH AIRWAYS                           
24/7 RESTORATION,3767 19 ST NE CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),NORTH AIRWAYS                           
2501,2501 15 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
2610 15 ST SW,2610 15 ST SW CALGARY,Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
27 BOUTIQUE,1510 17 AV SW CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,SUNALTA                                 
2ASY SHOP,#222 328 CENTRE ST SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,CHINATOWN                               
2B BELLA FASHION & ALTERATIONS,#102 909 7 AV SW CALGARY,Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",DOWNTOWN COMMERCIAL CORE                
2ND CHANCE SPORTS,2010 EDMONTON TR NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",WINSTON HEIGHTS/MOUNTVIEW               
2ND MILE (THE),#1A 1304 4 ST SW CALGARY,Licensed,PERSONAL SERVICE,BELTLINE                                
2POINT54,#B 4634 6A ST NE CALGARY,Pending Renewal,MANUFACTURER,GREENVIEW INDUSTRIAL PARK               
2STONE DESIGNER CONCRETE,#40 3504 72 AV SE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",FOOTHILLS                               
3 FAB METAL MANUFACTURING,#22 4216 54 AV SE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES",FOOTHILLS                               
3 M CANADA,1001 53 AV NE CALGARY,Renewal Licensed,WHOLESALER,SKYLINE EAST                            
3 SIXTY MASSAGE THERAPY,#207 279 MIDPARK WY SE CALGARY,Pending Renewal,MASSAGE CENTRE (COMMERCIAL),MIDNAPORE                               
3:30 HOT POINT,4340 MACLEOD TR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MANCHESTER                              
30 MINUTE HIT,#100 1324 11 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,BELTLINE                                
30 MINUTE HIT ,#140 104 58 AV SE CALGARY,Renewal Licensed,PERSONAL SERVICE,MANCHESTER INDUSTRIAL                   
3115 - 12TH STREET NE,3115 12 ST NE CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,SOUTH AIRWAYS                           
333 FIFTH AVENUE,333 5 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
34 AVE APARTMENTS,1735 34 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
36 STREET OUTSIDE STORAGE,6934 36 ST NE CALGARY,Renewal Licensed,WAREHOUSING,SADDLE RIDGE INDUSTRIAL                 
37TH STREET BARBER SHOP,#26 4604 37 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",RUTLAND PARK                            
3C CAR CARE CENTRE,#133 3850 32 ST NE CALGARY,Pending Renewal,MOTOR VEHICLE REPAIR AND SERVICE (1),HORIZON                                 
3-CI,#18 5555 51 AV SE CALGARY,Renewal Licensed,MANUFACTURER,STARFIELD                               
3D INTERNET ,#4 3510 27 ST NE CALGARY,Renewal Licensed,"WHOLESALER, CONTRACTOR",HORIZON                                 
3DTECHNICS ,#4B 416 MERIDIAN RD SE CALGARY,Renewal Licensed,WHOLESALER,MERIDIAN                                
3E SHEET METAL & FOOD EQUIPMENT,#29 1410 40 AV NE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),MCCALL                                  
3III ,#101 131 9 AV SW CALGARY,Renewal Licensed,PHOTOGRAPHER,DOWNTOWN COMMERCIAL CORE                
3M-VACUUM & ELECTRIC TOOLS REPAIR,#4 7640 FAIRMOUNT DR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FAIRVIEW                                
3-Q PLASTICS & SIGN SUPPLY,1055 26 ST NE CALGARY,Licensed,"MANUFACTURER, CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",MERIDIAN                                
3Q TEA HOUSE,4323 MACLEOD TR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),PARKHILL                                
4 CATS,3415 26 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,KILLARNEY/GLENGARRY                     
4 LIVING,1445 17 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BANKVIEW                                
4 PAWS GROOMING,#125 1829 RANCHLANDS BV NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,RANCHLANDS                              
4 PLEX FRIESEN,1740 11 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
4 SEASONS MASSAGE,1919C 31 ST SE CALGARY,Licensed,MASSAGE CENTRE (COMMERCIAL),SOUTHVIEW                               
4 ST PIZZA,2105 EDMONTON TR NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),TUXEDO PARK                             
4 ST PIZZA & SUB,2107 4 ST SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),CLIFF BUNGALOW                          
4 WHEEL PARTS ,803 46 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",HIGHFIELD                               
417 14 ST NW,417 14 ST NW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,HILLHURST                               
41ST AUTO,233 41 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),GREENVIEW INDUSTRIAL PARK               
420 CLINIC,1336 9 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,INGLEWOOD                               
441 FIFTH AVENUE,441 5 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
444 SEVENTH BUILDING,444 7 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
4CATS,1218B 9 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,INGLEWOOD                               
4CATS ARTS STUDIO,#8B 34 EDGEDALE DR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,EDGEMONT                                
4CATS ARTS STUDIO - EVANSTON,#7014 2060 SYMONS VALLEY PY NW CALGARY,Renewal Invoiced,"MANUFACTURER, RETAIL DEALER - PREMISES",EVANSTON
4CATS ARTS STUDIO MONTGOMERY,#113 4611 BOWNESS RD NW CALGARY,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),MONTGOMERY                              
4CATS ARTS STUDIO RIVERGLEN,#424 8338 18 ST SE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,RIVERBEND                               
4G VISION TECH,#256 3553 31 ST NW CALGARY,Expired,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",VARSITY                                 
4S HOLDINGS,#5 503 17 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,CLIFF BUNGALOW                          
4-STAR ELECTRIC,#130 32 WESTWINDS CR NE CALGARY,Renewal Licensed,CONTRACTOR,WESTWINDS                               
4TH SPOT KITCHEN & BAR,2620 4 ST NW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MOUNT PLEASANT                          
4TH STREET JUGO JUICE,#1 2015 4 ST SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),CLIFF BUNGALOW                          
4TH STREET LIQUOR & WINE,1809 4 ST SW CALGARY,Renewal Licensed,LIQUOR STORE,CLIFF BUNGALOW                          
4TH STREET SMOKE CORNER,#100 1122 4 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BELTLINE                                
4UR WELLNESS,#102 2525 WOODVIEW DR SW CALGARY,Pending Renewal,MASSAGE CENTRE (COMMERCIAL),WOODBINE                                
4-WAY CONCRETE,#9 3320 14 AV NE CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),FRANKLIN                                
5 ELEMENTS MARTIAL ARTS,#112 13226 MACLEOD TR SE CALGARY,Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",LAKE BONAVISTA                          
5 STAR AUTO GLASS,4650 MACLEOD TR SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MANCHESTER                              
5 UNIT APARTMENT BUILDING,1520 CENTRE A ST NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CRESCENT HEIGHTS                        
5 VINES WINE AND SPIRITS,218 12 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE",BELTLINE                                
510 - 5TH STREET SW,510 5 ST SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
520691 ALBERTA,750 11 ST SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN WEST END                       
52ND AUTO RECYCLE,#A 3508 52 ST SE CALGARY,Pending Renewal,SALVAGE YARD/AUTO WRECKER,FOREST LAWN INDUSTRIAL                  
53 TEMPLEMONT DRIVE NE,53 TEMPLEMONT DR NE CALGARY,Renewal Licensed,LODGING HOUSE,TEMPLE                                  
54 BLUE COMMUNICATIONS,#2 823 41 AV NE CALGARY,Renewal Licensed,CONTRACTOR,GREENVIEW INDUSTRIAL PARK               
55 TEMPLEMONT DRIVE NE,55 TEMPLEMONT DR NE CALGARY,Renewal Licensed,LODGING HOUSE,TEMPLE                                  
550 CAPITAL,550 11 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,BELTLINE                                
58TH AVE LIQUOR STORE,#111 5809 MACLEOD TR SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE",WINDSOR PARK                            
5S17,634A 17 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",BELTLINE                                
5TH AVENUE CLEANERS,#240 605 5 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,DOWNTOWN COMMERCIAL CORE                
604-1ST STREET SW,#200 604 1 ST SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
607944 ALBERTA,3205 114 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),SHEPARD INDUSTRIAL                      
610 CONVENIENCE STORES,223 6 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, FOOD SERVICE - PREMISES",DOWNTOWN COMMERCIAL CORE                
635 BUILDING,635 8 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
640 5 AVE,640 5 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
679182 ALBERTA ,505 8 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
7 CONSTRUCTION,#1 5700 BARLOW TR SE CALGARY,Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, CONTRACTOR",FOOTHILLS                               
7 DAY LIQUOR,#3 4503 26 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE",DOVER                                   
7 ELEVEN FOOD STORE,6015 4 ST SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),MANCHESTER INDUSTRIAL                   
7 ELEVEN FOOD STORE # 32186,6688 MARTINDALE GA NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",MARTINDALE                              
7 ELEVEN FOOD STORE # 34555H,#120 30 SPRINGBOROUGH BV SW CALGARY,Renewal Invoiced,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",SPRINGBANK HILL                         
7 ELEVEN FOOD STORE #14810,3904 17 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",FOREST LAWN                             
7 ELEVEN FOOD STORE #14812,1339 NORTHMOUNT DR NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BRENTWOOD                               
7 ELEVEN FOOD STORE #14815,4615 VALIANT DR NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",VARSITY                                 
7 ELEVEN FOOD STORE #14816,1907 8 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",MAYLAND HEIGHTS                         
7 ELEVEN FOOD STORE #14817,2903 CENTRE ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",TUXEDO PARK                             
7 ELEVEN FOOD STORE #14818,2901 17 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",KILLARNEY/GLENGARRY                     
7 ELEVEN FOOD STORE #14819,2923 26 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",KILLARNEY/GLENGARRY                     
7 ELEVEN FOOD STORE #14820,5512 4 ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",THORNCLIFFE                             
7 ELEVEN FOOD STORE #14821,802 1 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BRIDGELAND/RIVERSIDE                    
7 ELEVEN FOOD STORE #15049,402 20 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",WINSTON HEIGHTS/MOUNTVIEW               
7 ELEVEN FOOD STORE #15482,5003 CENTRE ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",THORNCLIFFE                             
7 ELEVEN FOOD STORE #15526,#1 1619 37 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",ROSSCARROCK                             
7 ELEVEN FOOD STORE #15547,3725 30 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOVER                                   
7 ELEVEN FOOD STORE #22389,#13 4527 8 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",FOREST LAWN                             
7 ELEVEN FOOD STORE #22470,#102 1919 SOUTHLAND DR SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BRAESIDE                                
7 ELEVEN FOOD STORE #22824,#18 7196 TEMPLE DR NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",TEMPLE                                  
7 ELEVEN FOOD STORE #22831,#2 3304 64 ST NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",TEMPLE                                  
7 ELEVEN FOOD STORE #22918,#146 920 36 ST NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",MARLBOROUGH                             
7 ELEVEN FOOD STORE #23037,#24 2936 RADCLIFFE DR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",ALBERT PARK/RADISSON HEIGHTS            
7 ELEVEN FOOD STORE #23840,460 WOODBINE BV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",WOODBINE                                
7 ELEVEN FOOD STORE #24166,#14 3525 26 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOVER                                   
7 ELEVEN FOOD STORE #25349,311 16 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",CRESCENT HEIGHTS                        
