nombre,direccion,codigoPostal,ciudad,email,url,imagen,logo,accesibilidad,comentarios,longitud,latitud,descripcion
RESTAURANTE LA BASTILLA,C/ Coso,50001,Zaragoza,labastilla@labastilla.com,http://www.labastilla.com,/cont/paginas/turismo/oficina/rsc/img/empresa/bastilla.JPG,/cont/paginas/turismo/oficina/rsc/img/empresa/75-la-bastilla.gif,"<div><img src=""http://www.zaragoza.es/cont/paginas/sinbarreras/img/icono_noacces1.jpg"" alt=""No Accesible""/> No Accesible  </div><ul><li> Acceso:  No adaptado, tiene escaleras en la entrada</li></ul><p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>",Ubicado en los antiguos graneros del Santo Sepulcro. Monumento histórico artístico situado junto a la muralla romana. Cocina creativa con sólidas raíces aragonesas. Dispone de servicio de catering. Salones de banquetes y finca para eventos y celebraciones.,675670.57,4613489.75,"C/ Coso, 177 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 84 49"
RESTAURANTE LA BODEGA DE CHEMA,C/ Latassa,50006,Zaragoza,contacto@labodegadechema.com,http://www.labodegadechema.com,/cont/paginas/turismo/oficina/rsc/img/empresa/bodegachema2.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/76-bodega-chema.gif,,"La especialidad de la casa es el cabrito asado con patatas. Amplia carta de entrantes, carnes y pescados.Menús para grupos y celebraciones. Tienen una buena bodega y esta cercano al aparcamiento público de Pza. San Francisco. Preparan comida para celiacos bajo petición.",675531.51,4612293.43,"C/ Latassa, 34 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 55 50 14"
RESTAURANTE LA GRANADA,C/ San Ignacio de Loyola,50008,Zaragoza,info@restaurantelagranada.com,http://www.restaurantelagranada.com,/cont/paginas/turismo/oficina/rsc/img/empresa/I_Granada.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/L_Granada.jpg,,"Ambiente acogedor e íntimo en este moderno restauramte que destaca por su cocina de autor y sus plator innovadores. Especializado en pescados. Situado en el centro de la ciudad, está muy cerca de un aparcamiento público.",676467.41,4613050.44,"C/ San Ignacio de Loyola, 14 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 22 39 03"
LA RINCONADA DE LORENZO,C/ La Salle,50006,Zaragoza,oscar@larinconadadelorenzo.com,,/cont/paginas/turismo/oficina/rsc/img/empresa/larinconadadelorenzo.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/81-la-rinconada.gif,"<div><img src=""http://www.zaragoza.es/cont/paginas/sinbarreras/img/icono_acomp1.jpg"" alt="" Accesible con Acompañante ""/>  Accesible con Acompañante </div><ul><li> Acceso: Pequeño escalón salvable con una cuña auxiliar. </li><li>Aseos Adaptados: No</li></ul><p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>","Restaurante de cocina aragonesa con dos salones para 70 y 100 personas respectivamente. Decorado con cerámica de Muel, entre sus platos destacan las migas con jamón y uva, el foie de oca, el ternasco lechal al horno, los pescados frescos y los postres caseros. Zona WiFi de libre acceso, carta en cinco idiomas y en Braille, y carta de puros.",675531.45,4612208.8,"C/ La Salle, 3 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 55 51 08"
EL CHALET,C/ Sta. Teresa de Jesús,50006,Zaragoza,angel.conde@elchaletrestaurante.es,http://www.elchaletrestaurante.es,/cont/paginas/turismo/oficina/rsc/img/empresa/chalet_4.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/068-el-chalet.gif,,"Coqueto chalet de ambiente elegante, cálido y acogedor, con jardin-cenador en el interior (primavera-verano).ideal para parejas, aniversarios, negocios, familiares, amigos y pequeños banquetes. Salones privados de 10 a 40 personas. Cocina de mercado y creativa, reflejada en una carta sugerente, con productos de gran calidad. Jornadas de tapas y trufas(febrero),bacalao y la cuaresma (marzo) o del cazador y algunas setas(noviembre) A destacar uno de los mejores steak tartar de la ciudad. Extensa carta de vinos. Servicio atento avalado por una larga profesionalidad. Parking publico muy cercano en plaza san francisco.",675529.37,4612148.82,"C/ Sta. Teresa de Jesús, 25 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 56 91 04"
FINCA LA ALQUERIA,Autovía de Logroño km 10,50180,Zaragoza,laalqueria@laalqueria.es,http://www.laalqueria.es,/cont/paginas/turismo/oficina/rsc/img/empresa/101%20la%20alqueria.JPG,/cont/paginas/turismo/oficina/rsc/img/empresa/95-la-alqueria.gif,,,668163.13,4619028.12,"Autovía de Logroño km 10,5 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 79 26 11"
FINCA TORRE  DEL PINO,c/ Zurita nº 15,50001,Zaragoza,martabas@torredelpino.com,http://www.torredelpino.com,/cont/paginas/turismo/oficina/rsc/img/empresa/103.-Torre-PinoAP.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/97-torre-del-pino.gif,,,676629.74,4613296.32,"c/ Zurita nº 15, 1º Izda <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 239 283 / 976 150 61"
RESTAURANTE BOLE,C/ Francisco Vitoria,50008,Zaragoza,info@vinosbole.com,http://www.vinosbole.com,/cont/paginas/turismo/oficina/rsc/img/empresa/bole.jpg,,,"Dirigido por José Luis Borlán, conocido sumiller aragonés.
Selecto restaurante a la carta.

Es a su vez, el mejor bar de vinos de Aragón. En su barra, sus tapas aúnan moderniad y tradición, y para acompañar, una cuidada selección de vinos por copas.
Selecta carta de vinos con más de 300 referencias, para consumir en el local o para llevar.

Jamón Ibérico de bellota, quesos aragones y las mejores anchoas del cantábrico completan su oferta.",676469.46,4612978.93,"C/ Francisco Vitoria, 3 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 22 30 16"
RESTAURANTE LA JAMONERÍA EL CORTADOR DE JAMON,C/ Bruno Solano,50006,Zaragoza,felix@lajamoneria.es,http://www.elcortadordejamon.com,/cont/paginas/turismo/oficina/rsc/img/empresa/jamoneria2.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/79-la-jamoneria.gif,,"En este restaurante todo el jamón se corta a cuchillo. También destacan sus platos de cuchara, las pochas con perdiz escabechada, el rabo de toro, ls alcachofas y las manitas de ministro. Muy cerca de un aparcamiento público. Tiene menús de distintos precios.",675515.76,4612022.11,"C/ Bruno Solano, 16 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 56 62 68"
FINCA SANSUI - El Jardín del Agua,Autovía A-23 Pirineos (Crta Huesca) ,50830,Villanueva de Géllego (Zaragoza),congresos@elcachirulo.es,http://www.sansui.es,/cont/paginas/turismo/oficina/rsc/img/empresa/sansui1.jpg,/cont/paginas/turismo/oficina/rsc/img/empresa/96-sansui.gif,,,679165.57,4623075.64,"Autovía A-23 Pirineos (Crta Huesca) Km 9,6 direcc. Zaragoza <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976796323"
DON FON,C/ Berenguer Bardaji,50017,Zaragoza,donfon@eresmas.com,,,,,Contacto. Sr. D. Shudi Pan,674283.61,4613119.49,"C/ Berenguer Bardaji, 68 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 34 76 71"
ESPEJO,C/ Santiago,50003,Zaragoza,,,,,,,676814.74,4613848.77,"C/ Santiago, 30-32 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 34 32"
"FARTALLA, LA",C/ Reconquista,50001,Zaragoza,,,,,,,676998.59,4613261.85,"C/ Reconquista, 8 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 47 65"
EL FERIAL,C/ Sixto Celorrio,50015,Zaragoza,,,,,,,676978.58,4614632.52,"C/ Sixto Celorrio, 72 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 51 11 65"
NUEVO SIGLO,C/ José Pellicer,50007,Zaragoza,,,,,,Contacto: Sr. D. Yiguan Xia,676836.83,4611893.39,"C/ José Pellicer, 7 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 278 731"
FLANDES Y FABIOLA,Parque Primo de Rivera,50006,Zaragoza,,,,,,,675371.39,4611436.24,"Parque Primo de Rivera <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 38 72 38"
LA FORJA,C/ Mayor,50001,Zaragoza,virueles@hotmail.com,,/cont/paginas/turismo/oficina/rsc/img/empresa/laforja.jpg,,,"Restaurante tipico aragones donde comer auntentica carne a la brasa en el mismo centro de Zaragoza. Cocina Aragonesa. Genuina Brasa de Carbón Vegetal donde cocinamos su carne al momento. Trato amable y familiar. Especialidad en Migas a la Pastora, Caracoles a la Brasa y Pimientos del Piquillo Rellenos de Ternasco. Seleccionada carta de Vinos Aragoneses y Españoles.",676970.77,4613686.47,"C/ Mayor, 43 dpdo. <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 12 84"
FORO ROMANO - TREVI,Pza. de la Seo,50001,Zaragoza,reservas@hoteltibur.com,http://www.avilhoteles.com,,,"<div><img src=""/cont/paginas/sinbarreras/img/icono_acomp1.jpg"" alt=""Accesible con acompañante""/> Accesible con Acompañante</div><ul><li><strong>Acceso</strong>:  Acceso por rampa desde el Hotel Tibur</li><li>Aseos adaptados: No</li></ul><p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>",Restaurante Foro Romano. Restaurante del Hotel Tibur. Abierto todos los días.,676929.52,4613869.03,"Pza. de la Seo, 2-3 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 20 20 00"
GERARDO,C/ Italia,50010,Zaragoza,,,,,,Contacto: Gerardo Luis Biurrun Lacuey,675019.58,4613261.46,"C/ Italia, 57 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 35 51 18"
BURGER KING,C/ Coso,50001,Zaragoza,,,,,,,676662.06,4613478.68,"C/ Coso, 62 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 22 71 14"
ITZIAR 2,C/ Juan José Rivas,50006,Zaragoza,,,,,,,675715.91,4612318.94,"C/ Juan José Rivas, 9 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 35 57 77"
"JABATO, EL",Crta. Logroño,50011,Zaragoza,,,,,,,661822.79,4614958.34,"Crta. Logroño, km.2-4, Polígono Portazgo, Nave 29 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 68 10 54"
"JARDINCILLO, EL",Crta. Logroño,50011,Zaragoza,,,,,,,664932.52,4616996.94,"Crta. Logroño, km.3,700 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 33 57 98"
JAUJA,C/ Embarcadero,50009,Zaragoza,,,,,,Contacto: Oscar Serrano Pujol,674403.56,4610981.7,"C/ Embarcadero, 2 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 52 12 00"
"KUPELA, LA SIDRERIA",C/ Santiago,50003,Zaragoza,,,,,,"Asador de ambiente tranquilo especializado en cocina vasco-aragonesa, con platos como chuletón de buey gallego, tortilla de bacalao, ensalada de pimientos asados con cebolla de Fuentes y bonito, lubina al orio de frutos secos y miel, ternasco a la brasa y chorizo a la sidra. Sala con capacidad para 80 comensales, ideal para banquetes y reuniones.",676823.83,4613858.61,"C/ Santiago, 23 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 39 02 58"
"LONJA, LA",Cº de Cogullada,50014,Zaragoza,,,,,,,678667.08,4617144.66,"Cº de Cogullada, s/n (Mercazaragoza) <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 39 77 38"
"MALLOS, LOS",C/ Alicante,50007,Zaragoza,,,,,,Nº Plazas 90,676153.52,4611244.64,"C/ Alicante, 16 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 38 89 47"
MAMMA MIA,Pza. San Miguel,50001,Zaragoza,,,,,,,676584.28,4613413.37,"Pza. San Miguel, 7 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 39 14 13"
MAMBLAS,C/ Mamblas,50058,Zaragoza (Santa Isabel),,,,,,Contacto: Francisca Puy Falceto,681501.17,4615104.43,"C/ Mamblas, 22 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 57 47 67"
TABERNA BILBILIS,C/ Juan Moneva,50001,Zaragoza,,,,,,"Titular: Falcón Lasheras, sc",676487.46,4613281.24,"C/ Juan Moneva, 6 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 22 91 62"
LA TAGLIATELLA,C/ Don Jaime I,50003,Zaragoza,tagliatella@yvanos.com,,/cont/paginas/turismo/oficina/rsc/img/empresa/latagliatella.jpg,,,"Restaurante italiano situado junto a la plaza del Pilar, cerca de un aparcamiento público. Dispone de terraza de verano. Decorado al estilo de la antigua Italia. Preparan una deliciosa pasta fresca.",676873.13,4613847.68,"C/ Don Jaime I, 43 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 44 66 66"
MEI MEI II,C/ Reina Fabiola,50008,Zaragoza,,,,,,Contacto: Sr. D. Leping Bai Xiang,676955.83,4612677.1,"C/ Reina Fabiola, 37 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 49 89 33"
MERCADO DE PESCADOS,Avda. Navarra,50010,Zaragoza,www.rest-lalonja.com,,/cont/paginas/turismo/oficina/rsc/img/empresa/mercadodepescados.jpg,,,"Situado en el antiguo Mercado de Pescados, está cerca de la Estación Intermodal y de un aparcamiento público. Se dedica en exclusiva al pescado y marisco fresco desde 1960, destacando sus parrilladas, mariscadas y paellas de marisco.",674428.89,4613860.7,"Avda. Navarra, s/n <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 33 30 77"
MESÓN LOS CANTÁROS,C/ Jose María Lacarra de Miguel,50008,Zaragoza,,,,,,,676546.69,4612643.72,"C/ Jose María Lacarra de Miguel,38 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 23 89 53"
MESON LA CAZUELA,C/ Daroca,50017,Zaragoza,,,,,,Contacto: Carlos Fidel Agustin Remacha,674574.88,4613171.37,"C/ Daroca, 5 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 53 26 53"
MESON DEL CARMEN,C/ Hernán Cortés,50004,Zaragoza,,,,,,Contacto: Rafael Luna Cantín,675959.68,4613227.82,"C/ Hernán Cortés, 4 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 23 23 73"
CASAFRAN,Carretera de Cogullada,50014,Zaragoza,restaurantecasafran@movistar.es,http://www.restaurantecasafran-zaragoza.es,/cont/paginas/turismo/oficina/rsc/img/empresa/casafran.jpg,,,"Ambiente familiar. Después de 60 años y gracias a nuestros clientes, seguimos siendo una familia cada día más grande.",678381.69,4615646.13,"Carretera de Cogullada, 22 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 47 21 57"
MESÓN MARTIN,C/ María Guerrero,50009,Zaragoza,,,,,,,674108.36,4612545.48,"C/ María Guerrero, 26 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 75 03 93"
MESON EL ROMERAL,C/Arzobispo Apaolaza,50009,Zaragoza,,,,,,,675160.77,4611984.32,"C/Arzobispo Apaolaza, 37-39 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 35 05 16"
MESÓN DE TOMÁS,Avda. Las Torres,50008,Zaragoza,,,,,,Contacto: Tomás Herraiz Lasheras,676404.87,4612380.42,"Avda. Las Torres, 92 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 23 13 02"
