Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Bond Street,528497,181053,51.5137975247838,-0.149613609827946,"1",W1C 2HU
Borough,532379,179734,51.501048869407,-0.0941973231491299,"1",SE1 1JX
Boston Manor,516391,178755,51.4957655352965,-0.324747188765788,"4",TW8 9LQ
Bounds Green,529996,191466,51.6070319212407,-0.124177065625754,"3,4",N11 2EU
Bow Church,537414,182824,51.527615203652,-0.0204998991998037,"2",E3 3AA
Bow Road,537148,182753,51.5270418067574,-0.0243595906651091,"2",E3 4DH
Bowes Park,530299,191498,51.6072495146955,-0.119792219172905,"3,4",N22 8NL
Brent Cross,523905,187927,51.5765992150606,-0.213335840510563,"3",NW11 9UA
Brentford,517462,177864,51.4875363071287,-0.309622536694703,"4",TW8 9LF
Brentwood,559321,193036,51.6136103366992,0.299672816172118,"7",CM14 4EW
Brimsdown,536297,196997,51.655244614441,-0.0310922769446394,"5",EN3 7NA
Brixton,531076,175437,51.4627368020741,-0.114552097586618,"2",SW9 8HE
Brockley,536405,175801,51.4647496625814,-0.0377482505476242,"2",SE4 2RW
Bromley North,540395,169699,51.4089423111557,0.0172354519396871,"4",BR1 3NN
Bromley South,540431,168705,51.400001288709,0.017359580478029,"5",BR1 1LX
Bromley-by-Bow,538034,182532,51.5248402001821,-0.0116823743599265,"2,3",E3 3BT
Brondesbury,524718,184460,51.5452623623785,-0.202838485732291,"2",NW6 7QL
Brondesbury Park,524202,183898,51.5403253657546,-0.210473946681613,"2",NW6 6RP
Broxbourne,537407,207240,51.7470155680889,-0.0110240837883153,"9",EN10 7AW
Bruce Grove,533758,190115,51.5940112462336,-0.0703989896457386,"3",N17 8AD
Buckhurst Hill,541768,193957,51.626576660928,0.0467125412965725,"5",IG9 5ET
Burnt Oak,520303,190728,51.6025519118101,-0.264330712266273,"4",HA8 0LA
Bush Hill Park,533696,195396,51.6414819592655,-0.0692804125005405,"5",EN1 1BA
Bushey,511860,195318,51.6455441595026,-0.384721541354714,"8",WD19 4ST
Caledonian Road,530568,184899,51.5478854410275,-0.118360861873635,"2",N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.5432845754194,-0.1152048567149,"2",N1 0SL
Cambridge Heath,534855,183250,51.5320597642081,-0.0572032008235444,"2",E2 7NA
Camden Road,529140,184191,51.5418512342036,-0.139203112522292,"2",NW1 9LQ
Camden Town,528920,183976,51.539969352277,-0.142452381051009,"2",NW1 8NH
Canada Water,535399,179493,51.4981684118441,-0.0508071209954049,"2",SE16 7BB
Canary Wharf,537558,180153,51.5035784043688,-0.0194668401596637,"2",E14 4QS
Canning Town,539454,181350,51.513870287242,0.00830563274393741,"3",E16 1DQ
Cannon Street,532623,180888,51.5113620889071,-0.0902505268833338,"1",EC4N 6AP
Canonbury,532355,184979,51.548188385177,-0.0925741958211209,"2",N1 2PG
Canons Park,518208,191246,51.6076505695478,-0.294391596540046,"5",HA8 6RN
Carpenders Park,511826,193386,51.6281867175886,-0.385829323805549,"7",WD19 7DT
Carshalton,527737,164858,51.368426365724,-0.166398328000898,"5",SM5 2HT
Carshalton Beeches,527552,163625,51.3573868407117,-0.169496326135296,"5",SM5 3LG
Castle Bar Park,515853,181770,51.5229736652832,-0.331504076340438,"4",W7 1AY
Caterham,534099,155422,51.2821628226068,-0.0786072985674413,"6",CR3 6LB
Catford,537245,173544,51.4442649120205,-0.0265384985954206,"3",SE6 4XT
Catford Bridge,537363,173595,51.4446946250561,-0.0248218759437963,"3",SE6 4RE
Centrale,532067,165785,51.3757674677716,-0.103888103843675,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.5680468782263,0.128901111583164,"5",RM6 4BE
Chafford Hundred,558922,178770,51.4855544959176,0.28747570068245,"7",RM16 6QQ
Chalfont and Latimer,499610,197550,51.6679074791995,-0.56106777731917,"8",HP7 9PR
Chalk Farm,528126,184421,51.5441490864876,-0.153733070875137,"2",NW3 2BP
Chancery Lane,531096,181642,51.5184940165847,-0.111962027485689,"1",WC1V 6DR
Charing Cross,530234,180492,51.5083586300048,-0.124802938133095,"1",WC2N 5HS
Charlton,541108,178387,51.4868349882394,0.0309416448024295,"3",SE7 7AB
Cheam,524444,163334,51.3554602429281,-0.214211283594169,"5",SM3 8RZ
Chelsfield,546944,164021,51.3562645825915,0.108984119711242,"6",BR6 6EU
Chesham,496048,201650,51.7053800206773,-0.611429657125902,"9",HP5 1DH
Cheshunt,536652,202307,51.7028733147507,-0.0238874154607898,"8",EN8 9AQ
Chessington North,518415,164168,51.3642434424783,-0.300476128855251,"6",KT9 2RT
Chessington South,517974,163319,51.3567045306375,-0.307089020685885,"6",KT9 2DD
Chigwell,543835,193045,51.6178578723834,0.0761792150052964,"4",IG7 6NT
Chingford,539173,194628,51.633253373648,0.00951432552467428,"5",E4 6AL
Chipstead,527689,158275,51.3092749821787,-0.169445869499599,"6",CR5 3TD
Chislehurst,543205,169405,51.4055984084067,0.0574918214487956,"5",BR7 5NN
Chiswick,520438,177182,51.4807814945228,-0.267013321856982,"3",W4 2QE
Chiswick Park,520352,178692,51.4943707139869,-0.26773692216361,"3",W4 5NE
Chorleywood,502596,196092,51.6542659264231,-0.518333926536853,"7",WD3 5ND
Church Street,532041,165555,51.373706561893,-0.104346828895711,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.5139350677627,-0.103618449171561,"1",EC4M 7JH
Clapham Common,529428,175291,51.4618036698523,-0.138314902494851,"2",SW4 7AJ
Clapham High Street,529824,175709,51.4654695136715,-0.132464502577436,"2",SW4 6DQ
Clapham Junction,527198,175520,51.4643667842754,-0.170315002226266,"2",SW11 2QP
Clapham North,530003,175652,51.4649162149925,-0.129910062890382,"2",SW4 7TS
Clapham South,528782,174259,51.4526764891153,-0.147984069598376,"2,3",SW12 9DU
Clapton,534748,186531,51.5615690879152,-0.0574894584530427,"2",E5 9JP
Clock House,536367,169545,51.4085405609855,-0.0407020925904992,"4",BR3 4PR
Cobham and Stoke D'Abernon,512362,158925,51.3183471920661,-0.389036345623171,"",KT11 3BW
Cockfosters,528087,196424,51.6520244788699,-0.149916711073587,"5",EN4 0DZ
Colindale,521295,189937,51.5952305160491,-0.250287543714841,"4",NW9 5HR
Colliers Wood,526831,170436,51.4187591877618,-0.177415099875595,"3",SW19 2HR
Coombe Lane,535201,164089,51.3597893094901,-0.0595315713236646,"3,4,5,6",CR0 5RF
Coulsdon South,529869,159056,51.3158009441707,-0.137903090283073,"6",CR5 3EA
Covent Garden,530242,180982,51.5127602348582,-0.124506894632723,"1",WC2E 9JT
Crayford,551479,174424,51.448546757006,0.17850271627804,"6",DA1 3PY
Crews Hill,530973,200109,51.6844746109419,-0.10684410075744,"6",EN2 8AY
Cricklewood,524009,185907,51.5584226684923,-0.212547934101459,"3",NW2 1HL
Crofton Park,536517,174739,51.4551792922913,-0.036546581839275,"3",SE4 2RA
Crossharbour and London Arena,537896,179301,51.4958399792182,-0.0149328131018881,"2",E14 8AD
Crouch Hill,530586,187508,51.5713270975182,-0.117133284889727,"3",N4 4AU
Croxley,507921,195395,51.647005280107,-0.441603798252885,"7",WD3 3DY
Crystal Palace,534120,170557,51.4181703515618,-0.0726072327605205,"3,4",SE19 2AZ
Custom House,540679,180911,51.5096220567499,0.0257725102639474,"3",E16 3BX
Cutty Sark for Maritime Greenwich,538240,177764,51.481944467916,-0.0105818667291609,"2",SE10 9SW
Cyprus,543324,180863,51.50852658125,0.0638407558302055,"3",E6 5PH
Dagenham Dock,548900,183000,51.5262871968453,0.145031014043306,"5",RM9 6RA
Dagenham East,550284,185033,51.5441873390151,0.165833431683368,"5",RM10 8AA
Dagenham Heathway,549035,184665,51.5412117909547,0.147679720183138,"5",RM9 5AN
Dalston Junction,533580,184778,51.5460937156521,-0.0749942048209628,"2",E8 3DL
Dalston Kingsland,533487,185062,51.5486678182555,-0.0762269219509382,"2",E8 2JS
Dartford,554233,174379,51.4473996429883,0.218083548338414,"",DA1 1BP
Debden,544275,196133,51.645492001721,0.0838014748371958,"6",IG10 3TG
Denmark Hill,532697,176087,51.4682006393928,-0.0909878695789793,"2",SE5 8BB
Deptford,537165,177395,51.4788900835932,-0.0261963195716051,"2",SE8 3NU
Deptford Bridge,537466,176912,51.474476771881,-0.022052428800673,"2,3",SE10 8BU
Devons Road,537603,182233,51.5222584675869,-0.0180077541924364,"2",E3 3QX
Dollis Hill,522207,185132,51.5518505907144,-0.238797761680588,"3",NW10 5NB
Drayton Green,516002,180998,51.5160046753429,-0.329611259707967,"4",W13 0JX
Drayton Park,531426,185499,51.5530783069535,-0.105770199748389,"2",N5 1NT
Dundonald Road,524741,170233,51.4173981467302,-0.207527112702531,"3,4,5,6",SW19 3QJ
Ealing Broadway,517920,180915,51.5148619748964,-0.302010381444888,"3",W5 2NU
Ealing Common,518963,180426,51.5102486557265,-0.287151417905478,"3",W5 3LD
Earls Court,525457,178480,51.4913566719448,-0.194313809287265,"1,2",SW5 9QA
Earlsfield,526081,173030,51.4422388073847,-0.187272688578691,"3",SW18 4SW
East Acton,521656,181159,51.5162634142689,-0.248112224861801,"2",W12 0BP
East Croydon,532904,165801,51.3757161019257,-0.0918634960219951,"5",CR0 1LF
East Dulwich,533449,175375,51.4616255828228,-0.0804365715036241,"2",SE22 8EF
East Finchley,527242,189204,51.5873325447116,-0.164743886020014,"3",N2 0NW
East Ham,542373,184255,51.5392461649047,0.0515162933203073,"3,4",E6 2JA
East India,538729,180753,51.5086840062894,-0.00237033154909731,"2,3",E14 9PS
East Putney,524387,174840,51.4588797835326,-0.210998234182405,"2,3",SW15 6SN
Eastcote,511191,187627,51.576551823245,-0.396823299331061,"5",HA5 1QZ
Eden Park,537396,167598,51.3907961029416,-0.0266697155532036,"5",BR3 3HQ
Edgware,519527,192009,51.6142296221626,-0.275093666466036,"5",HA8 7AW
Edgware Road (Bakerloo),527026,181778,51.5206453612591,-0.170539551586277,"1",W2 1DY
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980431141,-0.167668254281134,"1",NW1 5DH
Edmonton Green,534273,193590,51.6251157025944,-0.0616390194516995,"4",N9 9DX
Elephant and Castle,531940,179144,51.4958493824392,-0.100738714840864,"1,2",SE1 6LW
Elm Park,552446,185647,51.5491245841858,0.197252681986762,"6",RM12 4RW
Elmers End,535788,168389,51.3982911086249,-0.0494638322785197,"4",BR3 4EJ
Elmstead Woods,542247,170656,51.4170806314648,0.0442293427243444,"4",BR7 5EW
Elstree and Borehamwood,519098,196299,51.6528755760948,-0.279828619474053,"6",WD6 3LS
Eltham,542690,174962,51.4556622208013,0.052329307733168,"4",SE9 6UB
Elverson Road,537848,176243,51.4683721899454,-0.016816376211146,"2,3",SE8 4LA
Embankment,530406,180380,51.5073124947768,-0.122367336527157,"1",WC2N 6NS
Emerson Park,553971,187918,51.5691149089113,0.220222934339532,"6",RM11 2JR
Enfield Chase,532181,196607,51.6527221112153,-0.0907042054849836,"5",EN2 7AA
Enfield Lock,536437,198737,51.6708461220463,-0.0283910701059887,"6",EN3 6BW
Enfield Town,532970,196544,51.6519700723096,-0.0793299220890822,"5",EN1 1YB
Epping,546197,201552,51.6936861661113,0.113825552744826,"6",CM16 4HW
Epsom Downs,522805,159756,51.3236594388377,-0.238970226780431,"6",KT17 4JX
Erith,551075,178096,51.4816476750127,0.174261289232435,"6",DA8 1TY
Essex Road,532114,184132,51.5406333108504,-0.0963655258956236,"2",N1 2SU
Euston,529587,182735,51.5286643305288,-0.133296471846732,"1",NW1 2DU
Euston Square,529587,182735,51.5286643305288,-0.133296471846732,"1",NW1 2BN
Ewell East,522571,162152,51.3452438762062,-0.241503001372188,"6",KT17 1QR
Ewell West,521473,162654,51.3499911421544,-0.25708913304289,"6",KT17 1TU
Fairlop,544902,190655,51.5961095431963,0.0905932794268205,"4",IG6 3HD
Falconwood,544498,175394,51.4590857963862,0.0785096930122727,"4",SE9 2RN
Farringdon,531585,181844,51.5201956882975,-0.10484306195035,"1",EC1M 6BY
Feltham,510601,173298,51.4478791729913,-0.409824480951765,"6",TW13 4BY
Fenchurch Street,533434,180932,51.5115667058932,-0.0785541528077214,"1",EC3M 4AJ
Fieldway,537665,163212,51.351317007255,-0.0245032653661046,"3,4,5,6",CR0 0QA
Finchley Central,525232,190664,51.6009032505219,-0.193220636879031,"4",N3 2RY
Finchley Road,526293,184703,51.5470961986729,-0.180050560513333,"2",NW6 3BS
Finchley Road and Frognal,526035,185033,51.550119498241,-0.183651202652137,"2",NW3 5HT
Finsbury Park,531385,186784,51.5646354455769,-0.10588148617519,"2",N4 3JU
Forest Gate,540447,185322,51.549316118809,0.0241890915067026,"3",E7 0QH
Forest Hill,535398,172943,51.4393083123694,-0.0533285044148391,"3",SE23 3HD
Fulham Broadway,525402,177244,51.4802609035391,-0.19554416374799,"2",SW6 1BY
Fulwell,514832,171841,51.4339425653999,-0.349438524762415,"6",TW2 5NY
Gallions Reach,543873,180935,51.5090341399984,0.0717753944216077,"3",E6 6FZ
Gants Hill,543266,188432,51.5765529520727,0.0660840978012218,"4",IG2 6UD
George Street,532432,165594,51.3739660568411,-0.0987181052186884,"3,4,5,6",CRO 1LA
Gidea Park,552941,189306,51.5818657467287,0.205976980623001,"6",RM2 6BX
Gipsy Hill,533321,171237,51.424469522694,-0.0838351675167364,"3",SE19 1PL
Gloucester Road,526196,178848,51.4944995577167,-0.183543559526477,"1",SW7 4SF
Golders Green,525199,187471,51.5722155332352,-0.194834559142163,"3",NW11 7RN
Goldhawk Road,523131,179616,51.5020769665713,-0.227404006254784,"2",W12 8EG
Goodge Street,529505,181837,51.5206131094572,-0.134807690165887,"1",W1T 2HF
Goodmayes,546462,187369,51.5661809824052,0.111729654287275,"4",IG3 9UH
Gordon Hill,531889,197799,51.6635022374665,-0.0944732997864739,"5",EN2 0QU
Gospel Oak,528263,185677,51.5554052931996,-0.151301032571058,"2",NW5 1LT
Grange Hill,544963,192590,51.6134804256286,0.092272529661441,"4",IG7 5QB
Grange Park,531753,195472,51.6426230772477,-0.0973144238034144,"5",N21 1RE
Gravel Hill,536359,163536,51.3545432553855,-0.0431216987549667,"3,4,5,6",CR0 5BJ
Great Portland Street,528861,182174,51.5237887958946,-0.143961425280776,"1",W1W 5PP
Green Park,529012,180283,51.5067604844939,-0.142477575597482,"1",W1J 7BX
Greenford,514808,183861,51.541980070869,-0.34587874010204,"4",UB6 8PR
Greenwich,537956,177267,51.4775476642376,-0.0148630836142616,"2,3",SE10 8JQ
Grove Park,540702,172099,51.4304326436942,0.0225985021581947,"4",SE12 0PW
Gunnersbury,519843,178401,51.4918634114529,-0.275164135822926,"3",W4 5RP
Hackbridge,528582,165929,51.3778608995644,-0.153879198222095,"4",SM6 7BJ
Hackney Central,534922,184943,51.5472574449828,-0.0555895119781322,"2",E8 1LL
Hackney Downs,534598,185137,51.549078085174,-0.0601851050631527,"2",E8 1LA
Hackney Wick,537036,184588,51.543558406496,-0.0252595028052464,"2",E9 5ER
Hadley Wood,526197,198199,51.6684028710821,-0.176581189644067,"6",EN4 0EJ
Haggerston,533560,183953,51.5386847301792,-0.0755952580882811,"2",E8 4DY
Hainault,545124,191411,51.6028453270268,0.0941085503026948,"4",IG6 3BD
Hammersmith (District),523474,178483,51.4918197760793,-0.222860928771942,"2",W6 9YA
Hammersmith (Met.),523346,178665,51.4934833521202,-0.224640157433783,"2",W6 0ED
Hampstead,526408,185757,51.5565425953294,-0.178014559946798,"2",NW3 1QG
Hampstead Heath,527344,185631,51.5551999245613,-0.164566183247471,"3",NW3 2QD
Hampton,513299,169797,51.4158795524432,-0.372135253741401,"6",TW12 2HU
Hampton Court,515376,168332,51.4022938774361,-0.34275715215215,"6",KT8 9AE
Hampton Wick,517407,169752,51.4146400423187,-0.313103609659083,"6",KT1 4DQ
Hanger Lane,518506,182621,51.5300720336304,-0.292996145555265,"3",W5 1DL
Hanwell,515426,180560,51.5121859578482,-0.338051884444727,"4",W7 3EB
Harlesden,520952,183367,51.5362583277376,-0.257495674234359,"3",NW10 8UT
Harold Wood,554858,190626,51.5932022178275,0.234204073424791,"6",RM3 0BL
Harringay,531395,188200,51.5773579093944,-0.105208252550848,"3",N4 1RW
Harringay Green Lanes,531880,188189,51.5771458929243,-0.0982173917761519,"3",N4 2NU
Harrington Road,535002,168535,51.3997905718013,-0.0606999545568372,"3,4,5,6",SE25 4NF
Harrow and Wealdstone,515486,189508,51.5925946326695,-0.334252685083283,"5",HA3 7RF
Harrow-on-the-Hill,515329,188035,51.5793881186851,-0.337001517323026,"5",HA1 1BB
Hatch End,513024,191370,51.6098285039178,-0.369178780976322,"6",HA5 5LZ
Hatton Cross,509614,175369,51.466685304207,-0.423380563424048,"5,6",TW6 3PF
Haydons Road,526012,171161,51.425457318206,-0.188929359351404,"3",SW19 8SL
Hayes,540003,165993,51.3757367068294,0.0101426524637168,"5",BR2 7EN
Hayes and Harlington,509717,179417,51.5030490745061,-0.420641903606725,"5",UB3 4BX
Headstone Lane,513892,190574,51.6024996261806,-0.356907514381109,"5",HA2 6NB
Heathrow Terminal 4,507939,174565,51.4597804296919,-0.447729589959589,"6",TW6 3AA
Heathrow Terminal 5,504934,175642,51.4700254258905,-0.490647503171403,"6",TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.4712894006688,-0.452407225588878,"6",TW6 1EB
Hendon,522143,188271,51.5800749832165,-0.238630520603124,"3,4",NW4 4PT
Hendon Central,522959,188631,51.5831330467477,-0.226734140088258,"3,4",NW4 3AS
Herne Hill,531934,174486,51.4539913697286,-0.102562908313382,"2,3",SE24 0JW
Heron Quays,537386,180127,51.5033865688459,-0.0219535320624432,"2",E14 4JH
High Barnet,525027,196310,51.6516882533421,-0.194165380168301,"5",EN5 5RP
High Street Kensington,525622,179527,51.5007294453891,-0.191566057626722,"1",W8 5SA
Highams Park,538581,191841,51.6083559935251,-0.000135285919517002,"4",E4 9LA
Highbury and Islington,531562,184770,51.5464955066651,-0.104082139863697,"2",N1 1SE
Highgate,528503,188158,51.5776466172769,-0.146934862183765,"3",N6 5BH
Hillingdon,507567,185015,51.5537775159057,-0.449897993430179,"6",UB10 9NR
Hither Green,538997,174497,51.4524017221749,-0.000970912324506991,"3",SE13 5NF
Holborn,530553,181488,51.5172357350693,-0.11984050743238,"1",WC2B 6AA
Holland Park,524564,180215,51.5071464839058,-0.206557777890637,"2",W11 3RB
Holloway Road,530930,185457,51.5528161033705,-0.11293569695285,"2",N7 8HS
Homerton,536108,184901,51.5465954466172,-0.0385123471042932,"2",E9 5SD
Honor Oak Park,536002,174221,51.4506482407612,-0.0441531211420576,"3",SE23 3LE
Hornchurch,553931,186274,51.5543551095852,0.218926996584347,"6",RM12 6LS
Hornsey,530911,189202,51.5864748515145,-0.111815638121109,"3",N8 8SE
Hounslow,513902,174998,51.4625048175857,-0.361796256019886,"5",TW3 3DL
Hounslow Central,513592,175928,51.4709257658921,-0.365958129172842,"4",TW3 1JG
Hounslow East,514327,176254,51.47370789438,-0.35527532185487,"4",TW3 4AB
Hounslow West,512215,176140,51.4731057158167,-0.385707628650378,"5",TW3 3DH
Hoxton,533582,183142,51.5313916125251,-0.0755856472034941,"1,2",E2 8HR
Hyde Park Corner,528330,179801,51.5025840127082,-0.15247411397849,"1",SW1X 7LY
Ickenham,508127,185811,51.5608250533895,-0.441579512642598,"6",UB10 8PD
Ilford,543501,186501,51.5591422415241,0.0686851908980356,"4",IG1 4DU
Imperial Wharf,526299,176674,51.4749389270134,-0.182837504741453,"2",SW6 2HA
Island Gardens,538228,178432,51.4879500881204,-0.0104933031356475,"2",E14 3FA
Isleworth,515570,176430,51.475037423644,-0.337328765089716,"4",TW7 4BX
Kenley,532400,160100,51.3246003124125,-0.101219712762299,"6",CR8 5JA
Kennington,531660,178337,51.4886624583341,-0.105070613410369,"2",SE11 4JQ
Kensal Green,523241,182784,51.5305242141579,-0.224713384073025,"2",NW10 5JT
Kensal Rise,523501,183201,51.5342150645901,-0.220820978659314,"2",NW10 3NT
Kensington (Olympia),524324,179178,51.4978796991787,-0.210379242339114,"2",W14 0NE
Kent House,535999,170000,51.4127176592102,-0.0458155531797617,"4",BR3 1HY
Kentish Town,529029,185096,51.5500095216902,-0.140471263842415,"2",NW5 2AA
Kentish Town West,528603,184700,51.5465479695244,-0.146756409869457,"2",NW5 3LD
Kenton,516833,188304,51.5814962838169,-0.315216866613499,"4",HA3 0XS
Kew Bridge,518898,178172,51.4900046159748,-0.288846494745842,"3",TW8 0EF
Kew Gardens,519173,176708,51.4767891362521,-0.285381011417179,"3,4",TW9 3PZ
Kidbrooke,540999,175697,51.4626901879326,0.028300239135906,"3",SE3 9NF
Kilburn,524589,184644,51.5469444353661,-0.204632719131385,"2",NW6 7QL
Kilburn High Road,525553,183591,51.5372677411075,-0.19111310573361,"2",NW6 7QL
Kilburn Park,525361,183349,51.5351355369049,-0.193966057123936,"2",NW6 5AD
King George V,543231,180135,51.5020086073547,0.0622062138768401,"3",E16 2JF
King Henry's Drive,537978,162558,51.3453640975883,-0.0202647574466554,"3,4,5,6",CR0 0LH
King's Cross,530312,182991,51.5307981909079,-0.122756421397208,"1",N1 9AL
Kings Cross St. Pancras,530236,182935,51.5303124622023,-0.123872129573615,"1",NW1 2BA
Kingsbury,519361,188739,51.5848765169933,-0.278601608230903,"4",NW9 9EG
Kingston,518244,169549,51.4126417642477,-0.30114104020205,"6",KT1 1UJ
Kingswood,524816,156585,51.294723138992,-0.211233226116293,"6",KT20 6EN
Knightsbridge,527765,179650,51.5013548976071,-0.160664486118808,"1",SW3 1ED
Knockholt,548499,162896,51.3457519392544,0.130831038819843,"6",TN14 7HR
Ladbroke Grove,524284,181328,51.5172106734536,-0.210198172458574,"2",W10 6HJ
Ladywell,537716,174884,51.4561921350751,-0.019244401145345,"3",SE13 7XB
Lambeth North,531165,179489,51.4991299458658,-0.111768261180963,"1",SE1 7XG
Lancaster Gate,526711,180796,51.5118909430837,-0.175429928574922,"1",W2 4QH
Langdon Park,537807,181863,51.5188839383514,-0.0152137989598117,"2",E14 6NW
Latimer Road,523789,180954,51.5139580984839,-0.217459666065143,"2",W10 6SZ
Lebanon Road,533385,165756,51.3751989969703,-0.0849736491745109,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.4494585198825,0.013364692370397,"3",SE12 9JG
Leicester Square,529987,180812,51.5112911816198,-0.128242147580481,"1",WC2H 0AP
Lewisham,538163,175863,51.4648807132354,-0.0124327009058803,"2,3",SE13 7RY
Leyton,538295,186244,51.5581322702431,-0.00646533158243596,"3",E10 5PS
Leyton Midland Road,538150,187490,51.569364239337,-0.00806634743339343,"3",E10 6JT
Leytonstone,539345,187429,51.5685222890996,0.00914045195130117,"3,4",E11 1HE
