CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,URBAN_STR,DECADE,SRG,CONTACT,EMAIL,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residual Sub Area,4,02A,02A,NORTHWEST,GREENFIELD,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5425821.35516000000,10727.37120140000
Residual Sub Area,4,03C,03C,NORTH,GREENFIELD,NON RESIDENTIAL,N/A,Deborah Cooper,Deborah.Cooper@calgary.ca,2006,Y,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637611.38696000000,5318.21976907000
Residential,1,COV,COVENTRY HILLS,NORTH,NEW SUBURBS,BUILDING OUT,DEVELOPING,Deborah Cooper,Deborah.Cooper@calgary.ca,2006,,12601,4560,1784,8022,4124,4397,129,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,104,90,248,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,61,0,5,0,11,4188,4008,12289,31,167,0,0,427,1512,1012,1237,132,6368,6233,733,933,278,369,1688,1400,595,236,98,38,705,907,262,397,1826,1200,555,232,109,40,1438,1840,540,766,3514,2600,1150,468,207,78,4133384.03832000000,9468.33405286000
Residential,1,HID,HIDDEN VALLEY,NORTH,RECENT SUBURBS,1990s,BUILT-OUT,Brenda Etherington,Brenda.Etherington@calgary.ca,2006,,11858,3852,1353,6919,3641,3442,132,0,0,274,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,0,130,122,253,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,245,548,3,0,0,2,3419,3274,11052,21,0,0,0,412,1028,827,1411,145,5969,5889,518,1140,352,296,849,1423,867,339,135,50,518,1016,344,270,1034,1389,819,282,150,67,1036,2156,696,566,1883,2812,1686,621,285,117,4093176.54853000000,10220.81943030000
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Scott Lockwood,scott.lockwood@calgary.ca,2006,,6043,2629,623,3571,2284,1535,167,0,367,559,0,1,0,0,0,0,0,0,0,0,350,316,525,17,0,0,0,1,0,1,0,0,0,3,101,98,213,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,511,469,922,5,40,0,6,1442,1401,4382,13,74,0,0,536,925,376,516,52,2847,3196,229,342,143,143,494,584,434,262,140,76,262,356,159,192,665,602,455,265,126,114,491,698,302,335,1159,1186,889,527,266,190,2805897.97256000000,6955.04335776000
Residential,1,ROY,ROYAL OAK,NORTHWEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Scott Lockwood,scott.lockwood@calgary.ca,2006,,7303,3131,902,4410,2478,2330,116,0,265,420,0,0,0,0,0,0,0,0,0,0,119,95,195,6,140,0,0,0,0,0,0,0,0,3,64,44,159,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381,351,750,8,30,0,20,2043,1988,6199,44,222,1,0,352,952,509,721,73,3650,3653,363,472,191,210,753,828,484,240,88,21,381,451,186,208,856,794,451,220,79,27,744,923,377,418,1609,1622,935,460,167,48,3643481.02228000000,7877.86420392000
Residual Sub Area,4,03S,03S,NORTHEAST,GREENFIELD,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,,13,3,4,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,1,1,0,1,7,6,1,1,0,0,2,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,2,2,0,1,3,2,0,2,1,0,3966235.32795000000,8142.82719980000
Residual Sub Area,4,03R,03R,NORTHEAST,GREENFIELD,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634338.03611000000,6491.89871233000
Industrial,2,CIA,CALGARY INTERNATIONAL AIRPORT,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,Y,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20616579.07900000000,23162.44190030000
Residential,1,HAR,HARVEST HILLS,NORTH,RECENT SUBURBS,1990s,BUILT-OUT,Brenda Etherington,Brenda.Etherington@calgary.ca,2006,,7455,2552,637,4554,2422,2095,106,0,165,182,0,3,0,0,0,1,0,0,0,0,158,137,240,7,0,0,0,3,0,6,0,0,0,0,105,104,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,180,174,353,2,0,0,1,2081,2007,6617,12,1,0,1,322,798,536,797,75,3758,3697,258,668,233,197,516,852,593,262,114,65,235,598,237,196,553,879,519,269,137,74,493,1266,470,393,1069,1731,1112,531,251,139,2209338.19115000000,6385.97688507000
Residential,1,HAM,HAMPTONS,NORTHWEST,RECENT SUBURBS,1990s,BUILT-OUT,Laura Weckman,Laura.Weckman@calgary.ca,2006,,8175,2453,451,4296,2368,2078,160,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,196,386,1,0,0,3,2039,2013,7477,13,23,0,0,166,605,448,1040,153,4041,4134,167,626,406,305,271,622,899,420,215,110,174,636,393,266,321,779,864,382,216,103,341,1262,799,571,592,1401,1763,802,431,213,3470576.51314000000,8248.95745543000
Industrial,2,HHB,HARVEST HILLS BUSINESS PARK,NORTH,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436001.43867000000,7541.14021336000
Residential,1,TUS,TUSCANY,NORTHWEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Scott Lockwood,Scott.Lockwood@calgary.ca,2006,,14571,5680,2294,8526,5072,4819,66,0,404,388,0,3,0,0,0,0,0,0,0,0,399,388,623,5,0,0,0,2,0,2,0,0,1,0,63,58,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,341,668,4,20,0,15,4446,4285,13158,45,311,2,0,723,1930,1079,1435,107,7230,7341,979,924,305,268,1829,1619,705,329,173,99,958,915,231,302,2121,1470,684,341,201,118,1937,1839,536,570,3950,3089,1389,670,374,217,6884001.48062000000,11834.89778530000
Residential,1,SAN,SANDSTONE VALLEY,NORTH,RECENT SUBURBS,1980s,BUILT-OUT,Brenda Etherington,Brenda.Etherington@calgary.ca,2006,,6628,2112,304,3775,1946,1679,44,0,0,385,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,1,0,44,27,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,347,784,8,0,0,0,1671,1572,5709,8,0,0,0,237,523,467,770,98,3257,3371,113,439,366,304,304,475,699,286,169,102,122,452,327,245,294,589,713,308,186,135,235,891,693,549,598,1064,1412,594,355,237,1800387.38615000000,5467.20427156000
Residential,1,HAW,HAWKWOOD,NORTHWEST,RECENT SUBURBS,1980s,BUILT-OUT,Laura Weckman,Laura.Weckman@calgary.ca,2006,,10559,3326,483,5416,3102,3068,0,0,138,119,0,1,0,0,0,0,0,0,0,0,136,133,171,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,112,245,0,0,0,0,3048,2857,10141,20,0,0,0,292,850,732,1310,120,5262,5297,186,774,643,441,296,719,1213,606,244,140,169,804,582,361,325,924,1161,530,252,189,355,1578,1225,802,621,1643,2374,1136,496,329,3206005.35296000000,7381.82668527000
Residual Sub Area,4,03V,03V,NORTHEAST,GREENFIELD,NON RESIDENTIAL,N/A,Scott Lockwood,Scott.Lockwood@calgary.ca,2006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034975.41260000000,7736.25098878000
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Scott Lockwood,Scott.Lockwood@calgary.ca,2006,,6788,2353,1009,3932,1847,2288,34,0,0,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,0,1,6,2,2,8,0,26,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,18,0,16,0,17,1945,1834,6749,30,295,1,0,117,489,441,749,164,3422,3366,410,474,179,228,886,634,335,175,75,26,448,508,162,237,897,532,329,155,65,33,858,982,341,465,1783,1166,664,330,140,59,5590104.83036000000,10146.86257110000
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952597.58700000000,7806.68940348000
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,INNER SUBURBS,1950s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2006,,6221,2639,536,3404,872,931,440,20,500,343,0,405,0,0,0,0,0,0,0,1,491,22,894,8,0,0,0,321,4,582,22,0,62,1,428,167,1251,11,0,0,0,0,0,0,0,0,0,0,20,6,49,0,0,0,0,0,0,0,0,0,0,1,336,3,1046,6,0,0,2,899,670,2399,30,0,0,0,680,840,448,424,103,3250,2971,223,390,177,287,527,630,507,265,176,68,200,355,187,254,508,516,380,253,196,122,423,745,364,541,1035,1146,887,518,372,190,2506200.12570000000,8227.62372535000
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,DOWNTOWN,DOWNTOWN,BUILT-OUT,Dawn Boutilier,Dawn.Boutilier@calgary.ca,2006,,7557,4827,136,4677,229,2,0,0,4776,20,0,0,0,13,1,1,0,14,0,91,4465,222,6875,116,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,652,12,0,0,0,20,7,28,0,0,0,1,1,0,2,0,0,0,29,2538,1577,306,72,10,4044,3513,56,56,104,560,1192,828,554,335,208,151,58,59,111,650,1034,520,386,225,218,252,114,115,215,1210,2226,1348,940,560,426,403,1328171.97659000000,5320.37808714000
Residential,1,RCK,ROSSCARROCK,WEST,INNER SUBURBS,1950s,BUILT-OUT,Norah Li,norah.li@calgary.ca,2006,,3200,1583,201,1953,446,455,420,0,356,96,0,256,0,0,0,0,0,0,0,0,334,16,600,22,0,0,1,209,17,367,16,2,28,2,404,132,992,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,7,240,1,0,0,3,434,274,1001,9,5,4,0,473,571,235,178,19,1614,1586,73,135,82,146,327,331,263,80,101,76,84,154,89,188,322,305,186,80,123,55,157,289,171,334,649,636,449,160,224,131,1062226.70446000000,4400.01113442000
Residential,1,RED,RED CARPET,EAST,ESTABLISHED SUBURBS,1960s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2006,,1777,917,91,1160,644,0,0,0,400,0,517,0,0,0,0,0,0,0,0,0,398,324,629,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,320,1148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,381,121,72,1,933,844,36,61,29,64,162,197,165,110,71,38,26,51,29,61,146,164,130,111,89,37,62,112,58,125,308,361,295,221,160,75,556460.83952400000,3605.66952617000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,INNER CITY,PRE-1940,BUILT-OUT,Norah Li,norah.li@calgary.ca,2006,,387,165,16,248,155,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,155,387,1,0,0,0,28,82,25,27,1,194,193,5,16,16,16,18,42,48,13,13,7,5,30,10,6,27,40,39,18,11,7,10,46,26,22,45,82,87,31,24,14,352694.64401300000,2630.18301137000
Residential,1,CHR,CHRISTIE PARK,WEST,RECENT SUBURBS,1990s,BUILT-OUT,Norah Li,norah.li@calgary.ca,2006,,2205,728,112,953,687,476,94,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,93,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,202,0,0,0,0,149,136,265,7,0,0,0,467,458,1568,9,0,0,2,112,242,116,224,18,1076,1129,46,155,97,57,52,102,223,143,153,48,37,156,78,51,53,169,226,176,133,50,83,311,175,108,105,271,449,319,286,98,813862.18422800000,4741.08364287000
Residential,1,ING,INGLEWOOD,CENTRE,INNER CITY,PRE-1940,BUILT-OUT,Whitney Smithers,Whitney.Smithers@calgary.ca,2006,,3286,1916,189,2379,1138,849,124,4,417,324,0,166,0,27,3,0,1,1,0,1,393,171,525,20,0,3,0,125,7,169,22,0,19,0,118,72,243,6,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,4,21,14,85,1,0,6,3,314,249,603,7,0,0,6,791,625,1650,43,3,6,32,775,662,212,108,9,1680,1606,76,106,38,84,436,382,292,142,74,50,78,96,58,101,411,352,240,126,84,60,154,202,96,185,847,734,532,268,158,110,2497500.04153000000,9649.76019144000
