Community Name,Project Number,Job Created Year (YYYY),Permit Number,POSSE Job Type,Status Description,Est Construction Values,Construction Area ( Square Footage),Job Created Date (YYYY/MM/DD),Permit Issue Date (YYYY/MM/DD),Job Compltd Date (YYYY/MM/DD),Permit Duration ,SCP Process times
ALTADORE,,2015,BP2015-11136,Single Construction Permit,Completed,"$251,007","2,918.0000",8/26/2015,9/16/2015,6/16/2016,295,15
ALTADORE,,2015,BP2015-11137,Single Construction Permit,Pre Board Phase,"$247,666","2,875.0000",8/26/2015,9/16/2015,12/31/9999,391,15
ALTADORE,,2015,BP2015-12201,Single Construction Permit,Completed,"$253,853","2,939.5000",9/17/2015,10/21/2015,9/1/2016,350,21
ALTADORE,,2015,BP2015-12204,Single Construction Permit,Completed,"$253,853","2,939.5000",9/17/2015,10/21/2015,8/4/2016,322,21
ALTADORE,,2015,BP2015-12260,Single Construction Permit,Completed,"$526,372","3,966.0000",9/18/2015,10/5/2015,4/13/2016,208,6
ALTADORE,,2015,BP2015-12588,Single Construction Permit,Pre Board Phase,"$386,798","2,766.0900",9/25/2015,10/14/2015,12/31/9999,361,11
ALTADORE,,2015,BP2015-12871,Single Construction Permit,Pre Board Phase,"$303,921","3,461.0000",10/1/2015,11/19/2015,12/31/9999,355,23
ALTADORE,,2015,BP2015-12874,Single Construction Permit,Pre Board Phase,"$303,921","3,461.0000",10/1/2015,11/19/2015,12/31/9999,355,23
ALTADORE,,2015,BP2015-12932,Single Construction Permit,Pre Board Phase,"$300,884","3,429.8000",10/2/2015,10/21/2015,12/31/9999,354,23
ALTADORE,,2015,BP2015-12933,Single Construction Permit,Pre Board Phase,"$59,874","3,169.6700",10/2/2015,10/21/2015,12/31/9999,354,23
ALTADORE,,2015,BP2015-13003,Single Construction Permit,Completed,"$499,099","4,531.0000",10/5/2015,10/27/2015,7/22/2016,291,9
ALTADORE,,2015,BP2015-13005,Single Construction Permit,Completed,"$498,517","4,527.0000",10/5/2015,11/20/2015,9/16/2016,347,7
ALTADORE,,2015,BP2015-13083,Single Construction Permit,Final Phase,"$390,731","3,384.0000",10/6/2015,11/9/2015,12/31/9999,350,11
ALTADORE,,2015,BP2015-13192,Single Construction Permit,Pre Backfill Phase,"$266,837","3,083.7900",10/7/2015,3/11/2016,12/31/9999,349,13
ALTADORE,,2015,BP2015-13193,Single Construction Permit,Pre Backfill Phase,"$266,867","3,085.1200",10/7/2015,3/11/2016,12/31/9999,349,13
ALTADORE,,2015,BP2015-13575,Single Construction Permit,Completed,"$505,648","5,050.0000",10/16/2015,11/12/2015,7/22/2016,280,19
ALTADORE,,2015,BP2015-13633,Single Construction Permit,Completed,"$315,664","3,648.0000",10/19/2015,11/6/2015,7/6/2016,261,20
ALTADORE,,2015,BP2015-13634,Single Construction Permit,Completed,"$315,393","3,636.0000",10/19/2015,11/6/2015,7/6/2016,261,20
ALTADORE,,2015,BP2015-13819,Single Construction Permit,Pre Board Phase,"$295,892","3,552.0000",10/21/2015,12/15/2015,12/31/9999,335,17
ALTADORE,,2015,BP2015-13820,Single Construction Permit,Pre Board Phase,"$284,518","3,411.0000",10/21/2015,12/15/2015,12/31/9999,335,17
ALTADORE,,2015,BP2015-14475,Single Construction Permit,Pre Board Phase,"$245,327","2,868.0000",11/2/2015,12/23/2015,12/31/9999,323,17
ALTADORE,,2015,BP2015-14476,Single Construction Permit,Pre Board Phase,"$245,327","2,868.0000",11/2/2015,12/23/2015,12/31/9999,323,11
ALTADORE,,2015,BP2015-14739,Single Construction Permit,Pre Board Phase,"$310,818",,11/9/2015,12/16/2015,12/31/9999,316,34
ALTADORE,,2015,BP2015-14740,Single Construction Permit,Pre Board Phase,"$310,818",,11/9/2015,12/16/2015,12/31/9999,316,34
ALTADORE,,2015,BP2015-15553,Single Construction Permit,Pre Board Phase,"$503,369",,12/3/2015,1/26/2016,12/31/9999,292,13
ALTADORE,,2016,BP2016-00947,Single Construction Permit,Pre Board Phase,"$254,850",,2/4/2016,2/24/2016,12/31/9999,229,10
ALTADORE,,2016,BP2016-00948,Single Construction Permit,Pre Board Phase,"$254,850",,2/4/2016,2/24/2016,12/31/9999,229,15
ALTADORE,,2016,BP2016-02359,Single Construction Permit,Pre Board Phase,"$434,913",,3/17/2016,4/7/2016,12/31/9999,187,16
ALTADORE,,2016,BP2016-02360,Single Construction Permit,Pre Board Phase,"$429,445",,3/17/2016,4/7/2016,12/31/9999,187,16
ALTADORE,,2016,BP2016-03494,Single Construction Permit,Pre Board Phase,"$408,552",,4/14/2016,5/2/2016,12/31/9999,159,15
ALTADORE,,2016,BP2016-04061,Single Construction Permit,Pre Board Phase,"$428,328",,4/27/2016,5/20/2016,12/31/9999,146,15
ALTADORE,,2016,BP2016-04855,Single Construction Permit,Pre Backfill Phase,"$328,334",,5/11/2016,5/25/2016,12/31/9999,132,11
ALTADORE,,2016,BP2016-04856,Single Construction Permit,Pre Backfill Phase,"$322,357",,5/11/2016,5/25/2016,12/31/9999,132,11
ALTADORE,,2016,BP2016-05951,Single Construction Permit,Pre Board Phase,"$369,787",,6/1/2016,6/21/2016,12/31/9999,111,16
ALTADORE,,2016,BP2016-06264,Single Construction Permit,Pre Board Phase,"$572,149",,6/7/2016,7/22/2016,12/31/9999,105,15
ALTADORE,,2016,BP2016-07483,Single Construction Permit,Pre Backfill Phase,"$34,915",,6/30/2016,7/27/2016,12/31/9999,82,20
ALTADORE,,2016,BP2016-07484,Single Construction Permit,Pre Backfill Phase,"$34,915",,6/30/2016,7/27/2016,12/31/9999,82,20
ALTADORE,,2016,BP2016-08633,Single Construction Permit,Pre Backfill Phase,"$597,590",,7/26/2016,8/11/2016,12/31/9999,56,10
ALTADORE,,2016,BP2016-08847,Single Construction Permit,Pre Backfill Phase,"$539,444",,7/29/2016,9/6/2016,12/31/9999,53,27
ALTADORE,,2016,BP2016-09707,Single Construction Permit,Pre Backfill Phase,"$461,062",,8/19/2016,9/8/2016,12/31/9999,32,14
ALTADORE,,2016,BP2016-09731,Single Construction Permit,Pre Backfill Phase,"$473,383",,8/19/2016,8/31/2016,12/31/9999,32,9
ALTADORE,,2016,BP2016-09903,Single Construction Permit,Pre Backfill Phase,"$576,166",,8/24/2016,9/15/2016,12/31/9999,27,12
ALTADORE,,2016,BP2016-10491,Single Construction Permit,Pending Plans Review,"$253,320",,9/7/2016,12/31/9999,12/31/9999,13,5
ALTADORE,,2016,BP2016-10492,Single Construction Permit,Pending Plans Review,"$253,320",,9/7/2016,12/31/9999,12/31/9999,13,5
ALTADORE,,2016,BP2016-10689,Single Construction Permit,Hold,"$255,170",,9/9/2016,12/31/9999,12/31/9999,11,0
ALTADORE,,2016,BP2016-10690,Single Construction Permit,Hold,"$255,170",,9/9/2016,12/31/9999,12/31/9999,11,0
ARBOUR LAKE,PDA2015-00310,2015,BP2015-01164,Single Construction Permit,Completed,"$218,602","1,689.0000",2/3/2015,2/25/2015,6/29/2015,146,4
ARBOUR LAKE,,2016,BP2016-06606,Single Construction Permit,Pre Backfill Phase,"$544,423",,6/14/2016,8/8/2016,12/31/9999,98,38
ARBOUR LAKE,,2016,BP2016-10699,Single Construction Permit,Hold,"$457,067",,9/12/2016,12/31/9999,12/31/9999,8,0
ASPEN WOODS,DBA2014-03202,2015,BP2015-00073,Single Construction Permit,Completed,"$459,512","4,484.0000",1/7/2015,1/9/2015,7/10/2015,184,3
ASPEN WOODS,PDA2015-00076,2015,BP2015-00369,Single Construction Permit,Final Phase,"$544,178","5,396.0000",1/14/2015,2/3/2015,12/31/9999,615,11
ASPEN WOODS,PDA2015-00309,2015,BP2015-01163,Single Construction Permit,Completed,"$572,623","5,607.0000",2/3/2015,2/23/2015,9/29/2015,238,1
ASPEN WOODS,PDA2015-00400,2015,BP2015-02672,Single Construction Permit,Completed,"$492,590","4,865.0000",3/13/2015,4/29/2015,11/23/2015,255,5
ASPEN WOODS,PDA2015-00401,2015,BP2015-01713,Single Construction Permit,Completed,"$478,106","4,542.0000",2/18/2015,2/27/2015,10/20/2015,244,1
ASPEN WOODS,PDA2015-00424,2015,BP2015-01941,Single Construction Permit,Completed,"$456,757","3,778.0000",2/23/2015,3/9/2015,9/15/2015,204,1
ASPEN WOODS,PDA2015-00486,2015,BP2015-01986,Single Construction Permit,Final Phase,"$633,854","5,931.0000",2/24/2015,3/13/2015,12/31/9999,574,14
ASPEN WOODS,PDA2015-00535,2015,BP2015-02334,Single Construction Permit,Completed,"$574,027","5,520.0000",3/5/2015,3/24/2015,9/30/2015,209,14
ASPEN WOODS,PDA2015-00573,2015,BP2015-02548,Single Construction Permit,Completed,"$470,519","3,886.0000",3/11/2015,3/19/2015,12/15/2015,279,5
ASPEN WOODS,PDA2015-00582,2015,BP2015-02590,Single Construction Permit,Completed,"$520,931","4,970.0000",3/12/2015,3/16/2015,8/13/2015,154,1
ASPEN WOODS,PDA2015-00616,2015,BP2015-02753,Single Construction Permit,Completed,"$516,642","4,067.0000",3/17/2015,3/19/2015,12/21/2015,279,1
ASPEN WOODS,PDA2015-00783,2015,BP2015-04012,Single Construction Permit,Completed,"$503,169","4,800.0000",4/14/2015,4/20/2015,12/4/2015,234,1
ASPEN WOODS,PDA2015-00790,2015,BP2015-04161,Single Construction Permit,Completed,"$535,581","4,380.0000",4/16/2015,4/20/2015,12/11/2015,239,1
ASPEN WOODS,PDA2015-00794,2015,BP2015-04220,Single Construction Permit,Completed,"$478,868","4,531.0000",4/17/2015,4/20/2015,2/3/2016,292,1
ASPEN WOODS,PDA2015-00797,2015,BP2015-04262,Single Construction Permit,Completed,"$436,942","3,545.0000",4/20/2015,4/20/2015,2/3/2016,289,1
ASPEN WOODS,PDA2015-00921,2015,BP2015-05461,Single Construction Permit,Final Phase,"$554,639","5,547.0000",5/13/2015,5/20/2015,12/31/9999,496,4
ASPEN WOODS,PDA2015-01160,2015,BP2015-07249,Single Construction Permit,Pre Board Phase,"$663,627","6,477.0000",6/16/2015,7/8/2015,12/31/9999,462,10
ASPEN WOODS,PDA2015-01273,2015,BP2015-08136,Single Construction Permit,Final Phase,"$397,477","3,229.0000",7/2/2015,7/8/2015,12/31/9999,446,263
ASPEN WOODS,PDA2015-01281,2015,BP2015-08201,Single Construction Permit,Completed,"$717,497","7,069.0000",7/4/2015,7/23/2015,6/15/2016,347,94
ASPEN WOODS,PDA2015-01373,2015,BP2015-08779,Single Construction Permit,Completed,"$507,936","4,967.0000",7/14/2015,7/21/2015,3/9/2016,239,1
ASPEN WOODS,PDA2015-01425,2015,BP2015-09454,Single Construction Permit,Completed,"$560,945","5,502.0000",7/25/2015,8/25/2015,2/22/2016,212,3
ASPEN WOODS,PDA2015-01525,2015,BP2015-09993,Single Construction Permit,Pre Board Phase,"$831,172","10,204.0000",8/5/2015,9/21/2015,12/31/9999,412,229
ASPEN WOODS,PDA2015-01569,2015,BP2015-10205,Single Construction Permit,Completed,"$570,616","5,477.0000",8/10/2015,8/11/2015,3/21/2016,224,63
ASPEN WOODS,PDA2015-01672,2015,BP2015-11520,Single Construction Permit,Completed,"$545,500","5,277.0000",9/2/2015,9/9/2015,3/11/2016,191,8
ASPEN WOODS,PDA2015-01698,2015,BP2015-11133,Single Construction Permit,Completed,"$610,077","5,934.0000",8/26/2015,12/28/2015,4/14/2016,232,100
ASPEN WOODS,PDA2015-01702,2015,BP2015-11159,Single Construction Permit,Completed,"$618,462","5,497.0000",8/26/2015,9/8/2015,4/22/2016,240,8
ASPEN WOODS,PDA2015-01733,2015,BP2015-11317,Single Construction Permit,Completed,"$419,725","3,434.0000",8/31/2015,9/3/2015,7/8/2016,312,1
ASPEN WOODS,PDA2015-01822,2015,BP2015-12140,Single Construction Permit,Completed,"$565,509","5,460.0000",9/17/2015,10/1/2015,4/21/2016,217,1
ASPEN WOODS,PDA2015-01943,2015,BP2015-12717,Single Construction Permit,Expired,"$397,477","3,229.0000",9/29/2015,10/5/2015,4/7/2016,191,3
ASPEN WOODS,PDA2015-02093,2015,BP2015-13556,Single Construction Permit,Completed,"$533,180","5,242.0000",10/16/2015,10/22/2015,5/9/2016,206,1
ASPEN WOODS,PDA2015-02195,2015,BP2015-14026,Single Construction Permit,Completed,"$540,996","5,281.0000",10/26/2015,11/3/2015,6/1/2016,219,35
ASPEN WOODS,PDA2015-02225,2015,BP2015-14118,Single Construction Permit,Pre Board Phase,"$582,022","5,515.0000",10/27/2015,12/17/2015,12/31/9999,329,114
ASPEN WOODS,PDA2015-02248,2015,BP2015-14235,Single Construction Permit,Completed,"$532,183","4,756.0000",10/29/2015,12/2/2015,8/17/2016,293,88
ASPEN WOODS,PDA2015-02314,2015,BP2015-14630,Single Construction Permit,Completed,"$344,637","4,011.0000",11/5/2015,12/14/2015,5/17/2016,194,27
ASPEN WOODS,PDA2015-02455,2015,BP2015-15492,Single Construction Permit,Completed,"$588,607","3,473.0000",12/2/2015,12/23/2015,8/3/2016,245,14
ASPEN WOODS,PDA2015-02544,2015,BP2015-15882,Single Construction Permit,Completed,"$420,562","2,608.0000",12/14/2015,12/23/2015,7/27/2016,226,2
ASPEN WOODS,PDA2015-02606,2015,BP2015-16139,Single Construction Permit,Completed,"$344,878","1,814.0000",12/22/2015,1/6/2016,7/7/2016,198,8
ASPEN WOODS,PDA2016-00069,2016,BP2016-00306,Single Construction Permit,Completed,"$523,741","2,874.0000",1/14/2016,1/27/2016,6/30/2016,168,28
ASPEN WOODS,PDA2016-00183,2016,BP2016-00784,Single Construction Permit,Completed,"$589,199","3,309.0000",1/29/2016,2/3/2016,8/18/2016,202,3
ASPEN WOODS,PDA2016-00242,2016,BP2016-01151,Single Construction Permit,Pre Board Phase,"$558,949","3,073.0000",2/10/2016,3/1/2016,12/31/9999,223,33
ASPEN WOODS,PDA2016-00654,2016,BP2016-03712,Single Construction Permit,Pre Board Phase,"$515,032","2,867.0000",4/19/2016,5/5/2016,12/31/9999,154,13
ASPEN WOODS,PDA2016-00762,2016,BP2016-04354,Single Construction Permit,Pre Board Phase,"$551,524","3,127.0000",5/3/2016,5/19/2016,12/31/9999,140,31
ASPEN WOODS,PDA2016-00815,2016,BP2016-04697,Single Construction Permit,Pre Board Phase,"$946,101","5,112.0000",5/9/2016,7/12/2016,12/31/9999,134,36
ASPEN WOODS,PDA2016-00830,2016,BP2016-04994,Single Construction Permit,Pre Board Phase,"$619,947","3,472.0000",5/13/2016,7/15/2016,12/31/9999,130,65
ASPEN WOODS,PDA2016-00854,2016,BP2016-04927,Single Construction Permit,Pre Board Phase,"$563,979","3,241.0000",5/12/2016,5/30/2016,12/31/9999,131,57
ASPEN WOODS,PDA2016-00882,2016,BP2016-05079,Single Construction Permit,Pre Board Phase,"$586,762","3,344.0000",5/16/2016,5/25/2016,12/31/9999,127,1
ASPEN WOODS,PDA2016-00900,2016,BP2016-05257,Single Construction Permit,Pre Backfill Phase,"$304,914","1,916.0000",5/19/2016,6/21/2016,12/31/9999,124,21
ASPEN WOODS,PDA2016-00900,2016,BP2016-05258,Single Construction Permit,Pre Backfill Phase,"$309,478","1,942.0000",5/19/2016,6/21/2016,12/31/9999,124,21
ASPEN WOODS,PDA2016-00953,2016,BP2016-05427,Single Construction Permit,Pre Board Phase,"$582,609","3,314.0000",5/24/2016,5/31/2016,12/31/9999,119,1
ASPEN WOODS,PDA2016-01099,2016,BP2016-06192,Single Construction Permit,Pre Board Phase,"$615,098","3,429.0000",6/6/2016,6/29/2016,12/31/9999,106,47
ASPEN WOODS,PDA2016-01109,2016,BP2016-06243,Single Construction Permit,Pre Board Phase,"$603,194","3,421.0000",6/7/2016,7/14/2016,12/31/9999,105,25
ASPEN WOODS,PDA2016-01238,2016,BP2016-07027,Single Construction Permit,Pre Board Phase,"$589,175","3,370.0000",6/22/2016,7/12/2016,12/31/9999,90,29
ASPEN WOODS,PDA2016-01446,2016,BP2016-08001,Single Construction Permit,Pre Backfill Phase,"$618,501","3,472.0000",7/13/2016,8/3/2016,12/31/9999,69,3
ASPEN WOODS,PDA2016-01500,2016,BP2016-08248,Single Construction Permit,Pre Backfill Phase,"$538,623","3,182.0000",7/19/2016,8/10/2016,12/31/9999,63,3
ASPEN WOODS,PDA2016-01544,2016,BP2016-08512,Single Construction Permit,Pre Board Phase,"$575,736","3,253.0000",7/22/2016,8/10/2016,12/31/9999,60,17
ASPEN WOODS,PDA2016-01762,2016,BP2016-09553,Single Construction Permit,Hold,"$616,717","3,440.0000",8/16/2016,12/31/9999,12/31/9999,35,1
ASPEN WOODS,PDA2016-02065,2016,BP2016-10913,Single Construction Permit,In Review,"$664,153","3,772.0000",9/15/2016,12/31/9999,12/31/9999,5,0
ASPEN WOODS,,2015,BP2015-00246,Single Construction Permit,Completed,"$570,188","5,687.0000",1/12/2015,2/24/2015,1/20/2016,373,23
ASPEN WOODS,,2015,BP2015-00464,Single Construction Permit,Final Phase,"$647,768","6,612.0000",1/16/2015,2/4/2015,12/31/9999,613,10
ASPEN WOODS,,2015,BP2015-00466,Single Construction Permit,Completed,"$669,380","6,647.0000",1/16/2015,3/23/2015,2/19/2016,399,33
ASPEN WOODS,,2015,BP2015-01231,Single Construction Permit,Final Phase,"$651,105","6,508.0000",2/5/2015,3/2/2015,12/31/9999,593,18
ASPEN WOODS,,2015,BP2015-01371,Single Construction Permit,Completed,"$552,056","5,070.0000",2/10/2015,3/9/2015,9/2/2015,204,19
ASPEN WOODS,,2015,BP2015-01913,Single Construction Permit,Completed,"$561,402","5,550.0000",2/23/2015,3/25/2015,11/23/2015,273,20
ASPEN WOODS,,2015,BP2015-02642,Single Construction Permit,Completed,"$537,758","5,307.0000",3/13/2015,3/31/2015,7/21/2015,130,8
ASPEN WOODS,,2015,BP2015-03792,Single Construction Permit,Completed,"$472,389","4,586.0000",4/10/2015,5/12/2015,9/14/2015,157,23
ASPEN WOODS,,2015,BP2015-04080,Single Construction Permit,Pre Board Phase,"$635,130","6,118.0000",4/15/2015,6/1/2015,12/31/9999,524,21
ASPEN WOODS,,2015,BP2015-04326,Single Construction Permit,Completed,"$466,520","3,885.0000",4/21/2015,5/26/2015,3/24/2016,338,23
ASPEN WOODS,,2015,BP2015-04328,Single Construction Permit,Completed,"$466,752","3,863.0000",4/21/2015,5/26/2015,6/13/2016,419,23
ASPEN WOODS,,2015,BP2015-04545,Single Construction Permit,Final Phase,"$336,448","4,703.0000",4/24/2015,6/17/2015,12/31/9999,515,22
ASPEN WOODS,,2015,BP2015-04546,Single Construction Permit,Final Phase,"$340,824","4,839.0000",4/24/2015,6/17/2015,12/31/9999,515,25
ASPEN WOODS,,2015,BP2015-04559,Single Construction Permit,Completed,"$295,457","4,414.0000",4/24/2015,7/6/2015,9/16/2016,511,19
ASPEN WOODS,,2015,BP2015-04560,Single Construction Permit,Completed,"$314,008","4,551.0000",4/24/2015,7/6/2015,6/3/2016,406,19
ASPEN WOODS,,2015,BP2015-06347,Single Construction Permit,Pre Board Phase,"$435,971","5,453.0000",5/29/2015,7/21/2015,12/31/9999,480,12
ASPEN WOODS,,2015,BP2015-06499,Single Construction Permit,Pre Board Phase,"$629,821","6,104.0000",6/2/2015,7/2/2015,12/31/9999,476,15
ASPEN WOODS,,2015,BP2015-06903,Single Construction Permit,Completed,"$296,988","4,450.0000",6/10/2015,1/21/2016,9/9/2016,457,147
ASPEN WOODS,,2015,BP2015-06904,Single Construction Permit,Final Phase,"$301,421","4,536.0000",6/10/2015,1/21/2016,12/31/9999,468,82
ASPEN WOODS,,2015,BP2015-08939,Single Construction Permit,Completed,"$470,611","4,073.0000",7/16/2015,8/14/2015,7/26/2016,376,16
ASPEN WOODS,,2015,BP2015-09712,Single Construction Permit,Completed,"$580,508","5,233.0000",7/30/2015,8/26/2015,8/22/2016,389,19
ASPEN WOODS,,2015,BP2015-09781,Single Construction Permit,Pre Board Phase,"$810,310","8,020.0000",7/31/2015,10/6/2015,12/31/9999,417,28
ASPEN WOODS,,2015,BP2015-10490,Single Construction Permit,Completed,"$519,277","5,024.0000",8/14/2015,9/21/2015,6/16/2016,307,21
ASPEN WOODS,,2015,BP2015-10962,Single Construction Permit,Pre Board Phase,"$705,894","7,618.0800",8/21/2015,11/19/2015,12/31/9999,396,17
ASPEN WOODS,,2015,BP2015-11445,Single Construction Permit,Hold,"$597,948","6,141.0000",9/1/2015,12/31/9999,12/31/9999,385,0
ASPEN WOODS,,2015,BP2015-11503,Single Construction Permit,Hold,"$101,792","6,100.0000",9/2/2015,12/31/9999,12/31/9999,384,0
