CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,URBAN_STR,DECADE,SRG,CONTACT,EMAIL,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Industrial,2,MLI,MAYLAND,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227207.22084000000,5751.14173476000
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,INNER CITY,PRE-1940,BUILT-OUT,Vern Hart,Vern.Hart@calgary.ca,2005,,4514,2430,221,0,827,933,74,1,966,153,0,287,0,9,1,5,0,1,0,0,889,187,1377,65,12,0,1,222,16,333,62,0,2,0,70,22,148,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,15,1,731,0,0,0,0,123,33,168,3,8,19,2,848,568,1756,80,3,0,16,1034,791,214,112,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051304.76819000000,8373.44777216000
Residential,1,APP,APPLEWOOD PARK,EAST,RECENT SUBURBS,1990s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,6025,2022,561,0,1477,1369,21,0,470,132,0,30,0,0,0,0,0,0,0,1,405,160,649,16,48,0,0,29,1,68,0,0,1,0,21,15,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,39,318,7,29,0,0,1354,1262,4919,14,0,1,0,283,488,356,626,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566371.30109000000,5555.60108527000
Residential,1,STR,STRATHCONA PARK,WEST,RECENT SUBURBS,1980s,DEVELOPING,Norah Li,norah.li@calgary.ca,2005,,7181,2418,592,0,2198,1936,224,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,195,479,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,154,490,17,8,0,0,1913,1849,6212,16,7,0,0,244,746,453,846,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2703324.81851000000,9061.59520540000
Residential,1,PEN,PENBROOKE MEADOWS,EAST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,8357,3058,741,0,1950,1616,381,0,77,681,0,303,0,0,0,0,0,0,0,0,68,0,146,9,0,0,0,204,11,414,68,0,31,0,354,204,1127,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,408,1810,74,0,0,1,1586,1327,4860,29,0,0,0,409,930,573,726,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045665.66219000000,5890.92707075000
Residential,1,FHT,FOREST HEIGHTS,EAST,ESTABLISHED SUBURBS,1960s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,6230,2152,534,0,1434,944,468,0,31,572,0,136,0,0,0,1,0,0,0,0,28,1,42,3,0,0,0,101,10,192,35,0,0,0,458,277,1463,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,219,0,0,0,1,542,339,1503,29,0,0,1,923,807,2811,20,0,0,1,269,692,455,531,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502426.84126000000,5192.34425423000
Residential,1,ASP,ASPEN WOODS,WEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Mike Marko,Mike.Marko@calgary.ca,2005,,510,250,39,0,150,237,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,4,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,149,146,494,26,62,0,0,8,46,32,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798289.01127000000,8864.81748944000
Residential,1,WGT,WESTGATE,WEST,INNER SUBURBS,1950s,BUILT-OUT,Norah Li,norah.li@calgary.ca,2005,,3147,1348,198,0,1018,923,54,0,165,192,0,14,0,0,0,0,0,0,0,0,150,80,260,15,0,0,0,11,0,18,3,0,0,0,45,25,95,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,62,428,11,0,0,0,908,851,2346,15,0,0,0,299,499,225,256,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150950.80277000000,4551.83099229000
Residential,1,POI,POINT MCKAY,CENTRE,INNER SUBURBS,1970s,BUILT-OUT,Paul Donker,paul.donker@calgary.ca,2005,,1334,846,25,0,678,0,24,0,312,510,0,0,0,0,0,0,0,0,0,0,294,237,410,18,0,0,0,0,0,0,0,0,0,0,23,23,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,418,876,14,0,0,0,0,0,0,0,0,0,0,396,338,57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383870.29305800000,2503.66356291000
Residential,1,SSD,SUNNYSIDE,CENTRE,INNER CITY,PRE-1940,BUILT-OUT,Vern Hart,Vern.Hart@calgary.ca,2005,,3698,2351,115,0,694,537,38,16,1460,183,0,110,0,5,0,0,0,2,0,14,1390,208,2047,56,0,0,0,101,1,140,9,0,0,0,35,20,67,3,0,0,0,0,0,0,0,0,0,0,16,5,24,0,0,0,0,4,0,8,3,0,0,1,174,130,346,8,0,0,5,507,330,1066,23,2,0,7,1110,871,164,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022201.30510000000,5850.78674070000
Residential,1,EAU,EAU CLAIRE,CENTRE,DOWNTOWN,DOWNTOWN,BUILT-OUT,Ian Fawcett,Ian.Fawcett@calgary.ca,2005,,1528,1140,56,0,573,1,0,0,1115,23,0,0,0,0,0,0,0,1,0,104,889,559,1486,54,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,14,40,3,0,0,0,1,0,2,0,0,0,1,404,427,54,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516055.74501400000,3221.64393304000
Residential,1,CHN,CHINATOWN,CENTRE,DOWNTOWN,DOWNTOWN,BUILT-OUT,Larry Pollock,Larry.Pollock@calgary.ca,2005,,1248,759,48,0,122,0,0,0,758,0,0,0,1,0,0,0,0,0,0,2,742,122,1240,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,383,258,72,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247558.48302100000,2670.20464203000
Residential,1,SPR,SPRUCE CLIFF,WEST,INNER SUBURBS,1950s,BUILT-OUT,Norah Li,norah.li@calgary.ca,2005,,2859,1720,200,0,555,322,89,0,1122,124,0,62,0,0,0,1,0,0,0,5,746,238,1123,174,195,2,0,52,4,89,10,0,0,0,81,36,190,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,240,0,0,0,1,117,23,472,6,0,0,1,316,254,745,5,0,0,1,583,435,130,131,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081282.34568000000,4695.31000491000
Residential,1,HIW,HIGHWOOD,CENTRE,INNER SUBURBS,1950s,BUILT-OUT,Tamara Tannis,Tamara.Tannis@calgary.ca,2005,,2135,969,150,0,666,743,66,3,19,16,0,122,0,0,0,0,0,0,0,0,16,0,34,3,0,0,2,102,8,176,15,0,3,0,58,27,140,6,2,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,16,15,37,0,0,0,2,718,615,1743,23,0,0,0,226,369,147,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948736.88682900000,4070.92919031000
Industrial,2,MCI,McCALL,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389001.40171000000,6756.47594457000
Industrial,2,PEG,PEGASUS,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,Y,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255287.40369100000,2294.82562096000
Residual Sub Area,4,05C,05C,NORTHEAST,RESIDUAL,NON RESIDENTIAL,N/A,Emile Takla,Emile.Takla@calgary.ca,2005,,11,3,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058622.66404000000,7767.88095508000
Residential,1,MOR,MONTEREY PARK,NORTHEAST,RECENT SUBURBS,1990s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,10417,3088,977,0,2798,2474,23,0,157,139,276,17,1,0,0,1,0,0,0,0,156,128,291,1,0,0,0,13,1,31,2,0,2,0,23,23,69,0,0,0,0,269,265,485,6,0,1,0,0,0,0,0,0,0,0,2,0,100,0,0,0,1,133,72,365,5,0,0,0,2438,2309,9076,35,0,1,2,270,805,554,1103,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264127.21138000000,8498.41069873000
Residential,1,TEM,TEMPLE,NORTHEAST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,10838,3555,933,0,2649,2302,611,0,118,426,0,97,0,0,1,0,0,0,0,1,110,0,187,7,0,0,0,83,6,165,13,0,1,0,592,365,1724,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,409,272,1149,17,0,0,0,2248,2006,7610,54,0,0,1,398,1001,721,1071,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624812.82014000000,6496.64397910000
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,NORTH,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Tamara Tannis,Tamara.Tannis@calgary.ca,2005,,13,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,8,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138741.91304000000,7681.92858281000
Residential,1,HPK,HIGHLAND PARK,CENTRE,INNER SUBURBS,1950s,BUILT-OUT,Tamara Tannis,Tamara.Tannis@calgary.ca,2005,,3469,2043,180,0,616,931,178,36,411,20,0,463,0,3,1,0,0,0,0,0,378,23,533,33,0,0,1,371,12,585,87,0,4,0,163,54,394,13,2,0,0,0,0,0,0,0,0,0,28,0,46,8,0,0,0,4,1,9,0,0,0,0,15,1,34,5,0,0,2,870,525,1868,59,0,0,4,779,664,234,140,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369133.65504000000,6635.66403137000
Residential,1,WHI,WHITEHORN,NORTHEAST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,11585,3541,921,0,2650,2543,666,0,0,117,0,214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172,7,361,42,0,0,0,639,423,2086,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,142,0,0,0,0,111,64,259,6,0,0,0,2479,2156,8737,64,0,0,1,345,894,702,1125,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645928.27622000000,6504.84347827000
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Emile Takla,Emile.Takla@calgary.ca,2005,,953,501,69,0,433,1,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,432,952,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,152,195,62,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161083.69967000000,4768.21495514000
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,Y,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209898.42603000000,5098.83875306000
Residential,1,COL,COLLINGWOOD,NORTHWEST,INNER SUBURBS,1950s,BUILT-OUT,Paul Donker,paul.donker@calgary.ca,2005,,2321,955,119,0,706,732,96,0,121,0,0,5,0,0,1,0,0,0,0,0,114,0,203,7,0,0,0,4,0,7,1,0,0,0,94,57,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,710,649,1910,20,2,0,1,187,371,150,202,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558978.72819000000,5580.25059678000
Residential,1,CRM,CRESTMONT,WEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Emile Takla,Emile.Takla@calgary.ca,2005,,698,291,111,0,232,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,234,232,698,7,45,0,0,17,86,53,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637397.74426400000,3194.15031221000
