"WORK_ORDER_NUMBER","WORK_ORDER_ACTIVITY_DESC","WORK_ORDER_ADDRESS","WORK_ORDER_INITIATED_DATE","WORK_ORDER_COMPLETED_DATE"
228303,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:37:00,07/16/2014 14:27:00
228304,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:38:00,07/16/2014 14:27:00
228308,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:40:00,07/16/2014 14:27:00
228309,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:41:00,07/16/2014 14:27:00
228310,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:41:00,07/16/2014 14:27:00
228311,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:42:00,07/16/2014 14:27:00
238041,"Area 3, Day, SprCln, Machine Sweeping [m3][ln km]","    ",06/12/2009 08:11:00,07/16/2014 14:28:00
238042,"Area 3, Day, SprCln, Machine Sweeping [m3][ln km]","    ",06/12/2009 08:12:00,07/16/2014 14:28:00
238056,"Area 3, Day, SprCln, Sidewalk and Island [km]","    ",06/12/2009 08:55:00,07/16/2014 14:28:00
227712,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:54:00,07/16/2014 14:26:00
227718,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:54:00,07/16/2014 14:26:00
228333,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:53:00,07/16/2014 14:27:00
228334,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:54:00,07/16/2014 14:27:00
228335,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:54:00,07/16/2014 14:27:00
228336,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:55:00,07/16/2014 14:27:00
228337,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:56:00,07/16/2014 14:27:00
228338,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:56:00,07/16/2014 14:27:00
228339,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:57:00,07/16/2014 14:28:00
228341,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:58:00,07/16/2014 14:28:00
228342,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:58:00,07/16/2014 14:28:00
228343,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:59:00,07/16/2014 14:28:00
228344,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:59:00,07/16/2014 14:28:00
227723,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:56:00,07/16/2014 14:26:00
227740,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:59:00,07/16/2014 14:26:00
227744,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:59:00,07/16/2014 14:27:00
227755,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:59:00,07/16/2014 14:27:00
227433,"Area 2, Day, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 13:58:00,07/16/2014 14:26:00
227516,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:10:00,07/16/2014 14:26:00
227521,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:11:00,07/16/2014 14:26:00
227526,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:11:00,07/16/2014 14:26:00
227535,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:13:00,07/16/2014 14:26:00
227540,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:13:00,07/16/2014 14:26:00
227542,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:13:00,07/16/2014 14:26:00
222213,"Signs Field Ops - Sign Repair/replace missing or damaged signs","  BOW TR SW  ",02/23/2009 08:42:00,10/22/2014 14:00:00
227989,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:43:00,07/16/2014 14:27:00
227991,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:45:00,07/16/2014 14:27:00
233267,"Area 3, Day, SprCln, Machine Sweeping [m3][ln km]","    ",05/12/2009 08:48:00,07/16/2014 14:28:00
227957,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:37:00,07/16/2014 14:27:00
227958,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:37:00,07/16/2014 14:27:00
227964,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:38:00,07/16/2014 14:27:00
228004,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:47:00,07/16/2014 14:27:00
227871,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:23:00,07/16/2014 14:27:00
227897,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:27:00,07/16/2014 14:27:00
227905,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:28:00,07/16/2014 14:27:00
227633,"Area 3, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:35:00,07/16/2014 14:26:00
227721,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:55:00,07/16/2014 14:26:00
227731,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:57:00,07/16/2014 14:26:00
227736,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 14:58:00,07/16/2014 14:26:00
227760,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/07/2009 15:01:00,07/16/2014 14:27:00
240389,"Area 3, Day, SprCln, Machine Sweeping [m3][ln km]","    ",07/02/2009 14:50:00,07/16/2014 14:28:00
236190,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  BEDDINGTON TR NW  ",06/01/2009 11:26:00,03/04/2014 11:15:00
229765,"Night, SprCln, Drip Tank [m3]","    ",04/13/2009 11:50:00,07/16/2014 14:28:00
233274,"Area 3, Day, SprCln, Machine Sweeping [m3][ln km]","    ",05/12/2009 08:52:00,07/16/2014 14:28:00
257392,"Install Traffic Signal Electrical Device (i.e. cabinet, wiring)","  10 ST NW  ",11/02/2009 16:01:00,06/06/2014 10:46:00
247085,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  BARLOW TR NE  ",08/20/2009 09:42:00,01/14/2014 11:00:00
257390,"Install, replace, modify, or remove a Signal (Base)","  10 ST NW  ",11/02/2009 15:50:00,06/06/2014 10:44:00
257391,"Install, replace, modify, or remove a Signal (Steel)","  10 ST NW  ",11/02/2009 15:58:00,06/06/2014 10:45:00
257394,"Install Traffic Signal Head / Crosswalk or AWF Beacon","  10 ST NW  ",11/02/2009 16:03:00,06/06/2014 10:46:00
248747,"Garbage Pickup NIGHT [bag][kg]","    ",09/06/2009 22:08:00,07/16/2014 14:28:00
257197,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",02/18/2011 00:00:00,01/28/2014 15:21:00
263074,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  HAMPTONS WY NW  ",12/08/2009 11:11:00,02/04/2014 12:00:00
276171,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  EDMONTON TR NE  ",03/08/2010 14:55:00,04/10/2014 08:44:00
276175,"Replace or Change Corridor Steel (WITH value increase/ new asset)","  EDMONTON TR NE  ",03/08/2010 15:02:00,04/10/2014 08:45:00
274886,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","  17 AV SE  ",03/01/2010 15:14:00,01/08/2014 15:10:00
291164,"Permit Repairs, Permit Failure [m2][tonne]","1305 11 ST SW 1",06/16/2010 06:46:48,07/16/2014 14:28:00
286373,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","2808 SPILLER RD SE  ",05/13/2010 15:44:00,01/28/2014 11:40:00
318698,"Signs Field Ops - Sign Repair/replace missing or damaged signs","    ",02/04/2011 08:00:00,07/25/2014 00:00:00
315937,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",01/06/2011 14:53:00,01/28/2014 11:38:00
315907,"SNIC, Bus Pad, Rechargable Private Account, [each]","    ",01/06/2011 10:57:19,07/16/2014 14:28:00
314359,"Signs Field Ops - Sign Repair/replace missing or damaged signs","  77 ST NW  ",12/15/2010 15:35:32,07/25/2014 00:00:00
316233,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","199 SCENIC COVE CI NW  ",01/11/2011 09:52:37,01/28/2014 14:41:00
318206,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",01/31/2011 12:25:00,01/28/2014 14:43:00
319867,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","6907 4 ST NW  ",02/16/2011 09:18:00,01/28/2014 11:31:00
327415,"SL Replace Bulb","1907 BAY SHORE RD SW  ",05/03/2011 07:57:30,04/30/2014 00:00:00
327004,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","2934 UNWIN RD NW  ",04/28/2011 10:54:43,01/28/2014 15:49:00
323163,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",03/18/2011 10:09:00,02/11/2014 15:47:00
324775,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:19:00,02/14/2014 10:50:00
322964,"Adjust Manholes [m2][tonne]","    ",03/16/2011 10:36:53,01/17/2014 13:47:00
323489,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",03/22/2011 15:32:00,02/13/2014 11:48:00
323493,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",03/22/2011 15:44:00,02/13/2014 15:41:00
323501,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",03/22/2011 15:56:00,02/14/2014 10:39:00
323505,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",03/22/2011 16:00:00,02/13/2014 15:36:00
323509,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",03/22/2011 16:06:00,02/13/2014 15:40:00
323511,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",03/22/2011 16:07:00,02/13/2014 15:40:00
324764,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:04:00,02/14/2014 10:44:00
324767,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:06:00,02/13/2014 15:47:00
324772,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:16:00,02/13/2014 15:35:00
324777,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",04/05/2011 15:21:00,02/14/2014 10:50:00
324778,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:22:00,02/14/2014 10:32:00
324781,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:25:00,02/13/2014 15:50:00
324785,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/05/2011 15:27:00,02/14/2014 10:37:00
325526,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","    ",04/13/2011 09:03:00,02/13/2014 15:44:00
325797,"Signs Manufacture - Standard signs for Supply Management","    ",04/15/2011 12:59:00,02/11/2014 14:35:00
329105,"Signs Field Ops - Sign Repair/replace missing or damaged signs","  21 ST SW  ",05/16/2011 14:46:48,07/25/2014 00:00:00
328377,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",05/11/2011 08:17:00,02/20/2014 13:02:00
329760,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","  UNWIN RD NW  ",05/20/2011 08:53:00,01/28/2014 15:49:00
329643,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",05/19/2011 12:02:00,02/11/2014 15:47:00
335635,"Signals Design - Install a New Signal or Corridor - Recoverable","    ",07/14/2011 14:54:00,01/24/2014 10:18:00
335636,"Install Traffic Signal Electrical Device / Head (NON City Asset)","    ",07/14/2011 14:57:00,01/24/2014 10:17:00
334905,"Concrete Work - City Forces - Recoverable","1227 KENSINGTON CL NW  ",07/07/2011 10:35:00,01/01/2014 13:12:00
334907,"Concrete Work - City Forces - Recoverable","420 8 AV SE  ",07/07/2011 10:38:21,01/01/2014 13:13:00
336145,"Investigation, Analysis, Contract Administration and overhead","  10 AV SW  ",07/20/2011 16:57:00,07/09/2014 14:50:00
333758,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",06/28/2011 11:27:00,02/20/2014 13:05:00
337036,"Signs Manufacture - Detour Sign","    ",07/29/2011 14:50:00,02/20/2014 13:14:00
340135,"Signs Manufacture - Detour Sign","    ",09/01/2011 11:15:00,02/20/2014 14:16:00
336748,"Signals Design - Install a New Signal or Corridor - Recoverable","    ",07/27/2011 09:08:00,01/27/2014 11:07:00
336753,"Install Traffic Signal Electrical Device / Head (NON City Asset)","    ",07/27/2011 09:11:00,01/27/2014 11:09:00
337483,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",08/05/2011 08:51:00,02/20/2014 13:18:00
337242,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",08/02/2011 15:16:00,02/24/2014 08:41:00
337243,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",08/02/2011 15:18:00,02/24/2014 09:26:00
337043,"Signs Manufacture - Standard signs for Supply Management","    ",07/29/2011 15:20:00,02/20/2014 13:16:00
337717,"Investigation, Analysis, Contract Administration and overhead","    ",08/09/2011 15:14:00,03/17/2014 15:42:00
338962,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",08/22/2011 10:37:00,02/20/2014 14:17:00
339232,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",08/24/2011 16:00:00,02/11/2014 15:58:00
339242,"Replace or Change Steel (WITH value increase/ new asset)","  4 ST SW  ",08/24/2011 16:56:00,04/09/2014 15:00:00
339072,"Signs Manufacture - Decals - Parking, Transit etc.","    ",08/23/2011 12:40:00,02/24/2014 09:28:00
341534,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",09/14/2011 14:05:00,02/24/2014 09:29:00
341840,"Install, replace, modify, or remove a Signal (Base)","  10 ST SW  ",09/19/2011 08:21:00,02/10/2014 12:22:00
341841,"Install, replace, modify, or remove a Signal (Steel)","  10 ST SW  ",09/19/2011 08:23:00,02/10/2014 12:22:00
341845,"Install Traffic Signal Electrical Device (i.e. cabinet, wiring)","  10 ST SW  ",09/19/2011 08:25:00,02/10/2014 12:22:00
341848,"Install Traffic Signal Head / Crosswalk or AWF Beacon","  10 ST SW  ",09/19/2011 08:29:00,02/10/2014 12:22:00
341640,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",09/15/2011 12:05:00,02/24/2014 11:16:00
342886,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",09/27/2011 11:23:00,02/19/2014 11:42:00
349384,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","  16 AV NW  ",10/19/2011 07:26:00,02/20/2014 09:57:00
358900,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",12/06/2011 15:05:00,01/31/2014 11:02:00
359369,"Investigation, Analysis, Contract Administration and overhead","  GLENMORE TR SW  ",12/08/2011 15:03:00,03/17/2014 15:45:00
355633,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  52 ST SE  ",11/18/2011 10:42:00,02/02/2014 18:00:00
354928,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","3535 RESEARCH RD NW  ",11/15/2011 09:21:24,01/31/2014 11:02:00
362686,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","927 43 ST SW  ",01/11/2012 15:36:08,01/29/2014 08:53:00
364826,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","3615 34 ST NE  ",02/01/2012 15:02:52,01/31/2014 11:03:00
361253,"Replace or Change Traffic Signal Head / Beacon WITH Value Increase","  5 AV SW  ",12/28/2011 10:33:00,01/15/2014 14:00:00
361255,"Replace or Change Traffic Signal Head / Beacon WITH Value Increase","  9 ST SW  ",12/28/2011 10:35:00,04/22/2014 16:00:00
362619,"SNIC, Pedestrian Overpasses [m]","    ",01/11/2012 13:28:51,07/16/2014 14:29:00
361685,"Toolroom, Compound, General","    ",01/03/2012 09:56:34,03/20/2014 10:45:00
362614,"SNIC, Bus Pad, Rechargable Private Account, [each]","    ",01/11/2012 12:07:41,07/16/2014 14:29:00
362617,"SNIC, Transit Station, Rechargable Private Account, [transit station]","    ",01/11/2012 13:23:15,07/16/2014 14:29:00
369221,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  40 AV NW  ",03/08/2012 11:22:00,05/29/2014 15:34:00
369686,"Signs Field Ops - New Sign Installation Non-recoverable - Majority of new signs.  Charged to TFO","2215 41 ST SE  ",03/13/2012 09:31:00,01/31/2014 14:14:00
369443,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","  1 ST SW  ",03/11/2012 16:12:00,01/16/2014 11:51:00
365989,"Signs Field Ops - Detours set up / take down Recoverable - W/O from Traffic Engineering and other City BU","801 11 ST SW  ",02/10/2012 09:16:00,01/17/2014 13:49:00
365363,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","3615 34 ST NE  ",02/06/2012 14:39:00,01/31/2014 11:03:00
367347,"","    ",02/24/2012 10:29:44,01/17/2014 13:49:00
367348,"","    ",02/24/2012 10:32:59,01/17/2014 13:49:00
367355,"","    ",02/24/2012 10:43:09,01/17/2014 13:49:00
367393,"Signals Design - Design and Planning (overall)","  14 ST SW  ",02/24/2012 13:31:00,05/02/2014 10:55:00
368580,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",03/05/2012 09:47:00,01/29/2014 09:02:00
374786,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","7 FALWOOD PL NE  ",04/18/2012 11:52:46,01/31/2014 11:05:00
370983,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",03/22/2012 10:46:00,01/10/2014 08:00:00
374079,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  EVANSFIELD WY NW  ",04/11/2012 14:32:46,01/23/2014 11:00:00
377865,"Concrete Work - City Forces - Recoverable","  SHAWVILLE GA SW  ",05/15/2012 08:04:31,03/20/2014 11:03:00
379869,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  MCKENZIE TOWNE BV SE  ",05/28/2012 13:34:12,04/17/2014 15:30:00
379052,"Install, replace, modify, or remove a Signal (Base)","  85 ST SW  ",05/22/2012 13:48:00,03/12/2014 11:30:00
379053,"Install, replace, modify, or remove a Signal (Steel)","  85 ST SW  ",05/22/2012 13:52:00,03/12/2014 11:30:00
379056,"Install Traffic Signal Head / Crosswalk or AWF Beacon","  85 ST SW  ",05/22/2012 13:55:00,03/12/2014 11:30:00
378605,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","  MORLEY CR NW  ",05/18/2012 07:09:51,01/31/2014 11:08:00
376367,"Traffic Parking & Assessment - Design, review and update (Non-Recoverable)","509 20 AV SW  ",05/01/2012 07:23:36,01/31/2014 11:07:00
376546,"Signs Field Ops - Detours set up / take down Recoverable - W/O from Traffic Engineering and other City BU","  126 AV SE  ",05/02/2012 13:45:00,04/11/2014 07:59:00
375745,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375748,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375749,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375750,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375751,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375752,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375754,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375755,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375756,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375757,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375758,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375759,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375760,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375761,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375762,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375763,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375764,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375765,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375766,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375767,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375768,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375769,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375770,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
375771,"Signs Field Ops - Sign Installation New Subdivisions - charge to developers","    ",04/25/2012 13:56:00,01/23/2014 11:00:00
378189,"Bike and pedestrian","  CROWCHILD TR SW  ",05/16/2012 13:25:00,07/14/2014 15:43:00
380071,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","3344 MORLEY CR NW  ",05/29/2012 11:38:00,01/31/2014 11:08:00
380074,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","3328 MORLEY CR NW  ",05/29/2012 11:38:00,01/31/2014 11:08:00
380075,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","3316 MORLEY CR NW  ",05/29/2012 11:38:00,01/31/2014 11:08:00
381135,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  CROWCHILD TR NW  ",06/06/2012 07:54:12,02/24/2014 13:00:00
381094,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",06/05/2012 15:45:00,01/09/2014 12:00:00
381096,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",06/05/2012 15:45:00,01/09/2014 12:00:00
381097,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",06/05/2012 15:45:00,01/09/2014 12:00:00
381098,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",06/05/2012 15:45:00,01/09/2014 12:00:00
381099,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","  6 AV SW  ",06/05/2012 15:45:00,01/09/2014 12:00:00
381591,"Signs Field Ops - New Sign Installation Non-recoverable - Majority of new signs.  Charged to TFO","  FALWOOD PL NE  ",06/11/2012 10:20:00,01/31/2014 11:05:00
380397,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",05/30/2012 14:41:00,01/06/2014 11:18:00
380400,"Signs Manufacture - Information Sign - Overhead and sidemount guide signs (green)","    ",05/30/2012 14:41:00,01/06/2014 11:17:00
380904,"Signs Manufacture - Information Sign - Overhead and sidemount guide signs (green)","    ",06/04/2012 13:47:00,01/06/2014 11:03:00
380906,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",06/04/2012 13:47:00,01/06/2014 11:16:00
