District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
New London School District,New London High School,Public Schools,956111,"490 Jefferson Ave.
New London, CT 06320
",41.360267520000036, -72.12153601099999,6320,860-437-6400,,,,
New Hartford School District,Bakerville Consolidated School,Public Schools,920111,"51 Cedar Ln.
New Hartford, CT 06057
",41.833883454000045, -73.03477658099996,6057,860-482-0288,,,,
Stratford School District,Chapel School,Public Schools,1380311,"380 Chapel St.
Stratford, CT 06614
",41.23818318300005, -73.11823046299997,6614,203-385-4192,,,,
Hebron School District,Hebron School District,Public School Districts,670011,"580 Gilead Street
Hebron, CT 06248
",41.67496590500008, -72.40900616099998,6248,860-228-2577,,,,
New Haven School District,West Rock Authors Academy,Public Schools,934911,"311 Valley Street
New Haven, CT 06515
",41.33156693800004, -72.96893865499999,6515,203-946-7761,,,,
Unified School District #2,Riverview School,State Agency Facilities,3470315,"915 River Rd.
Middletown, CT 06457
",41.55837507700005, -72.62259473399996,6457,860-704-4020,,,,
Stratford School District,Lordship School,Public Schools,1380811,"254 Crown St.
Stratford, CT 06615
",41.15379918000008, -73.12584362999996,6615,203-385-4170,,,,
Wallingford School District,Mark T. Sheehan High School,Public Schools,1486211,"142 Hope Hill Rd.
Wallingford, CT 06492
",41.484860017000074, -72.83394349999998,6492,203-294-5900,,,,
New Britain School District,Lincoln School,Public Schools,890811,"145 Steele St.
New Britain, CT 06052
",41.658867978000046, -72.80466590299994,6052,860-229-2564,,,,
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Regional Education Service Center Schools,2416414,"15 Vernon St.
Hartford, CT 06106
",41.75136059600004, -72.68412373699994,6106,860-757-6321,,,,
Avon School District,Thompson Brook School,Public Schools,40511,"150 Thompson Rd.
Avon, CT 06001
",41.77128804900008, -72.85371508299994,6001,860-404-4870,,,,
West Hartford School District,Hall High School,Public Schools,1556211,"975 North Main St.
West Hartford, CT 06117
",41.79443047700005, -72.74702530999997,6117,860-232-4561,,,,
New Haven School District,Truman School,Public Schools,932911,"114 Truman St.
New Haven, CT 06519
",41.29298691300005, -72.94141078699994,6519,203-691-2100,,,,
Wallingford School District,Yalesville School,Public Schools,1480811,"415 Church St.
Yalesville, CT 06492
",41.491990420000036, -72.82375380699995,6492,203-284-6900,,,,
Westport School District,Staples High School,Public Schools,1586111,"70 North Ave.
Westport, CT 06880
",41.15366038700006, -73.33125523499996,6880,203-341-1210,,,,
Regional School District 01,Regional School District 01,Regional School Districts,2010012,"246 Warren Turnpike Road
Falls Village, CT 06031
",41.93867286700004, -73.36161069999997,6031,860-824-0855,,,,
Waterbury School District,Margaret M. Generali Elementary School,Public Schools,1511111,"3196 East Main St.
Waterbury, CT 06705
",41.54619046600004, -72.98166670399996,6705,203-574-8174,,,,
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Public Schools,150611,"840 Old Town Road
Bridgeport, CT 06606
",41.225002188000076, -73.19087273599996,6606,203-275-3300,,,,
New Britain School District,Gaffney School,Public Schools,890511,"322 Slater Rd.
New Britain, CT 06053
",41.67599434300007, -72.81119588399997,6053,860-225-6247,,,,
Avon School District,Roaring Brook School,Public Schools,40311,"30 Old Wheeler Ln.
Avon, CT 06001
",41.79271357700003, -72.89097872399998,6001,860-404-4810,,,,
Hartford School District,Hartford School District,Public School Districts,640011,"249 HIGH STREET
Hartford, CT 06103
",41.77232394600003, -72.67792501099996,6103,860-695-8000,,,,
Regional School District 17,Regional School District 17,Regional School Districts,2170012,"57 Little City Road
Higganum, CT 06441
",41.46506044300003, -72.56240009699997,6441,860-345-4534,,,,
Danbury School District,South Street School,Public Schools,341011,"129 South St.
Danbury, CT 06810
",41.38685741200004, -73.44314956799997,6810,203-797-4787,,,,
Wilton School District,Middlebrook School,Public Schools,1615211,"131 School Rd.
Wilton, CT 06897
",41.20395603600008, -73.43847199199996,6897,203-762-8388,,,,
Orange School District,Race Brook School,Public Schools,1070311,"107 Grannis Rd.
Orange, CT 06477
",41.29125205400004, -73.00515717699994,6477,203-891-8030,,,,
Stratford School District,Franklin School,Public Schools,1380411,"1895 Barnum Ave.
Stratford, CT 06615
",41.19318203100005, -73.14618055799997,6615,203-385-4190,,,,
Waterbury School District,B. W. Tinker School,Public Schools,1512111,"809 Highland Ave.
Waterbury, CT 06708
",41.536132630000054, -73.05179654099999,6708,203-574-8186,,,,
West Hartford School District,Morley School,Public Schools,1550911,"77 Bretton Rd.
West Hartford, CT 06119
",41.76951238300006, -72.73153748999994,6119,860-233-8535,,,,
Cromwell School District,Edna C. Stevens School,Public Schools,330211,"25 Court St.
Cromwell, CT 06416
",41.620210351000026, -72.65892482499999,6416,860-632-4866,,,,
Park City Prep Charter School District,Park City Prep Charter School,Public Charter Schools,2835113,"1550 State Street
Bridgeport, CT 06605
",41.169379872000036, -73.21254227199995,6605,203-953-3766,,,,
Ellington School District,Windermere Intermediate School,Public Schools,480711,"2 Abbott Rd.
Ellington, CT 06029
",41.86983401300006, -72.49909600299998,6029,860-896-2329,,,,
Greenwich School District,Western Middle School,Public Schools,575311,"1 Western Junior Hwy.
Greenwich, CT 06830
",41.01037215800005, -73.64884325199995,6830,203-531-5700,,,,
Enfield School District,Eli Whitney School,Public Schools,491611,"94 Middle Rd.
Enfield, CT 06082
",41.98551116900006, -72.55656439399996,6082,860-763-7540,,,,
Ansonia School District,Prendergast School,Public Schools,20811,"59 Finney St.
Ansonia, CT 06401
",41.332538029000034, -73.05875201299995,6401,203-736-5080,,,,
Kent School District,Kent School District,Public School Districts,680011,"WARREN TURNPIKE ROAD
Falls Village, CT 06031
",41.95221620700005, -73.34437621299998,6031,860-927-3537,,,,
Regional School District 13,Frank Ward Strong School,Regional Schools,2135112,"191 Main Street
Durham, CT 06422
",41.476135671000065, -72.68040552099995,6422,860-349-7222,,,,
West Hartford School District,Bugbee School,Public Schools,1550411,"1943 Asylum Ave.
West Hartford, CT 06117
",41.77900731100004, -72.75410598599996,6117,860-929-5500,,,,
Salem School District,Salem School District,Public School Districts,1210011,"200 HARTFORD ROAD
SALEM, CT 06420
",41.48769651500004, -72.27458054699997,6420,860-892-1223,,,,
Waterbury School District,Crosby High School,Public Schools,1516211,"300 Pierpont Rd.
Waterbury, CT 06705
",41.547833628000035, -72.97408892399994,6705,203-574-8061,,,,
Stratford School District,Stratford School District,Public School Districts,1380011,"1000 EAST BROADWAY
STRATFORD, CT 06615
",41.19287829900003, -73.12974995299999,6615,203-385-4210,,,,
Essex School District,Essex School District,Public School Districts,500011,"Winthrop Road, Box 187
DEEP RIVER, CT 06417
",41.36271828800005, -72.48692619299999,6417,860-526-2417,,,,
Regional School District 11,Parish Hill High School,Regional Schools,2116112,"304 Parish Hill Rd.
Chaplin, CT 06235
",41.74985411900008, -72.10765186999998,6235,860-455-9584,,,,
Brookfield School District,Brookfield High School,Public Schools,186111,"45 Long Meadow Hill Rd.
Brookfield, CT 06804
",41.478291590000026, -73.39111627599993,6804,203-775-7745,,,,
Montville School District,Leonard J. Tyl Middle School,Public Schools,865111,"166 Chesterfield Rd.
Oakdale, CT 06370
",41.457002129000045, -72.17041514099998,6370,860-848-2822,,,,
Branford School District,Francis Walsh Intermediate School,Public Schools,145111,"185 Damascus Rd.
Branford, CT 06405
",41.28581498800003, -72.78111153999998,6405,203-488-8317,,,,
Unified School District #1,Unified School District #1,State Agencies,3360015,"24 Wolcott Hill Road
Wethersfield, CT 06109
",41.72607596700004, -72.67330462399997,6109,860-692-7537,,,,
East Haddam School District,Nathan Hale-Ray High School,Public Schools,416111,"P.O. Box 404, 15 School Dr.
Moodus, CT 06469
",41.50767869400005, -72.44046733899995,6469,860-873-5065,,,,
Milford School District,Orange Avenue School,Public Schools,840811,"260 Orange Ave.
Milford, CT 06460
",41.23823968000005, -73.05001897599993,6460,203-783-3537,,,,
East Hartford School District,East Hartford Middle School,Public Schools,435111,"777 Burnside Ave.
East Hartford, CT 06108
",41.780082794000066, -72.60522584199998,6108,860-622-5600,,,,
New Haven School District,Wexler/Grant Community School,Public Schools,933211,"55 Foote St.
New Haven, CT 06511
",41.318034485000055, -72.93277668899998,6511,203-946-8689,,,,
Brooklyn School District,Brooklyn Middle School,Public Schools,195111,"119 Gorman Rd.
Brooklyn, CT 06234
",41.785517998000046, -71.93456461299996,6234,860-774-9153,,,,
Norwich School District,Samuel Huntington School,Public Schools,1040811,"80 West Town St.
Norwich, CT 06360
",41.55079661900004, -72.10153777799997,6360,860-823-4204,,,,
Windham School District,Windham Middle School,Public Schools,1635111,"123 Quarry St.
Willimantic, CT 06226
",41.72197651000005, -72.22803232499996,6226,860-465-2351,,,,
Darien School District,Darien School District,Public School Districts,350011,"2 RENSHAW ROAD, BOX 1167
Darien, CT 06820
",41.06583692400005, -73.48395331699999,6820,203-656-7400,,,,
Rocky Hill School District,Albert D. Griswold Middle School,Public Schools,1195111,"144 Bailey Rd.
Rocky Hill, CT 06067
",41.66686617200003, -72.65135645299995,6067,860-258-7741,,,,
Bethel School District,Anna H. Rockwell School,Public Schools,90411,"400 Whittlesey Dr.
Bethel, CT 06801
",41.38248770200005, -73.39642265599997,6801,203-794-8688,,,,
Stamford School District,Davenport Ridge School,Public Schools,1352011,"1300 Newfield Ave.
Stamford, CT 06905
",41.10385415800005, -73.53088575499999,6905,203-977-4291,,,,
Greenwich School District,New Lebanon School,Public Schools,570611,"25 Mead Ave.
Greenwich, CT 06830
",41.00149466000005, -73.65598553499996,6830,203-531-9139,,,,
South Windsor School District,Eli Terry School,Public Schools,1320711,"569 Griffin Rd.
South Windsor, CT 06074
",41.86603326900007, -72.55155452699995,6074,860-648-5020,,,,
Capitol Region Education Council,Discovery Academy,Regional Education Service Center Schools,2418114,"417 Franklin Avenue
Hartford, CT 06106
",41.73814668700004, -72.67549714099994,6106,860-296-2090,,,,
Newington School District,John Paterson School,Public Schools,940811,"120 Church St.
Newington, CT 06111
",41.670025284000076, -72.73882257699995,6111,860-666-4657,,,,
Trumbull School District,Middlebrook School,Public Schools,1440311,"220 Middlebrooks Ave.
Trumbull, CT 06611
",41.25028180600003, -73.21171251199996,6611,203-452-4411,,,,
Derby School District,Irving School,Public Schools,370411,"9 Garden Place
Derby, CT 06418
",41.327950705000035, -73.08860660499994,6418,203-736-5043,,,,
Stafford School District,West Stafford School,Public Schools,1340411,"153 West Stafford Rd.
Stafford Springs, CT 06076
",41.96897693000005, -72.34701044999997,6076,860-684-3181,,,,
New Milford School District,New Milford School District,Public School Districts,960011,"50 EAST STREET
NEW MILFORD, CT 06776
",41.58198697800003, -73.41243637899998,6776,860-355-8406,,,,
Hartford School District,Parkville Community School,Public Schools,641511,"1755 Park Street
Hartford, CT 06106
",41.75698362300005, -72.70748591099994,6106,860-695-4721,,,,
Torrington School District,East School,Public Schools,1430111,"215 Hogan Dr.
Torrington, CT 06790
",41.80950425300006, -73.09377898499997,6790,860-489-2303,,,,
Connecticut Technical High School System,J. M. Wright Technical High School,CT Technical High Schools,9002116,"120 Bridge St.
Stamford, CT 06905
",41.06553303000004, -73.55059160199994,6905,203-324-7363,,,,
Ellington School District,Ellington High School,Public Schools,486111,"37 Maple St.
Ellington, CT 06029
",41.90830684600007, -72.46019691599997,6029,860-896-2352,,,,
Plymouth School District,Plymouth Alternative High School,Public Schools,1117111,"77 Main Street
Terryville, CT 06786
",41.67924810400007, -72.99855549699998,6786,860-314-8005,,,,
Southington School District,Southington School District,Public School Districts,1310011,"200 North Main Street
Southington, CT 06489
",41.598176143000046, -72.87786690999997,6489,860-628-3202,,,,
Capitol Region Education Council,University of Hartford Magnet School,Regional Education Service Center Schools,2410214,"196 Bloomfield Ave.
West Hartford, CT 06117
",41.79337989800007, -72.71630598899998,6117,860-236-2899,,,,
Orange School District,Turkey Hill School,Public Schools,1070411,"441 Turkey Hill Rd.
Orange, CT 06477
",41.28795868700007, -73.04556480499997,6477,203-891-8040,,,,
Plymouth School District,Terryville High School,Public Schools,1116111,"33 North Harwinton Ave.
Terryville, CT 06786
",41.687896238000064, -73.03182535499997,6786,860-314-2777,,,,
Salisbury School District,Salisbury Central School,Public Schools,1220111,"P.O. Box 1808, 45 Lincoln City Rd.
Lakeville, CT 06039
",41.95603981200003, -73.43670757999996,6039,860-435-9871,,,,
Regional School District 13,Francis E. Korn School,Regional Schools,2130212,"144 Pickett Ln.
Durham, CT 06422
",41.47672689600006, -72.67130562699998,6422,860-349-7210,,,,
Shelton School District,Elizabeth Shelton School,Public Schools,1260511,"138 Willoughby Rd.
Shelton, CT 06484
",41.315792067000075, -73.13286594199997,6484,203-929-1330,,,,
Montville School District,Montville High School,Public Schools,866111,"800 Old Colchester Rd.
Oakdale, CT 06370
",41.45787913600003, -72.16302734299995,6370,860-848-9208,,,,
North Stonington School District,Wheeler Middle School,Public Schools,1025111,"298 Norwich/Westerly Rd.
North Stonington, CT 06359
",41.458536682000044, -71.88019625999993,6359,860-535-0377,,,,
South Windsor School District,Timothy Edwards School,Public Schools,1325111,"100 Arnold Way
South Windsor, CT 06074
",41.82696515400005, -72.52548760799993,6074,860-648-5030,,,,
Lisbon School District,Lisbon Central School,Public Schools,730111,"15 Newent Rd.
Lisbon, CT 06351
",41.60551287200008, -72.01600947399999,6351,860-376-2403,,,,
Cromwell School District,Cromwell Middle School,Public Schools,335111,"6 Captain James Mann Memorial Dr.
Cromwell, CT 06416
",41.61036855400005, -72.66804569199996,6416,860-632-4853,,,,
Manchester School District,Buckley School,Public Schools,770311,"250 Vernon St.
Manchester, CT 06042
",41.79303736800006, -72.49259917999996,6042,860-647-3302,,,,
Bridgeport School District,Barnum School,Public Schools,150111,"495 Waterview Avenue
Bridgeport, CT 06608
",41.18348523800006, -73.17379338199999,6608,203-275-2300,,,,
Danbury School District,Morris Street School,Public Schools,340611,"28 Morris St.
Danbury, CT 06810
",41.39502582800003, -73.46507873399997,6810,203-797-4809,,,,
Bridgeport School District,Bridgeport Military Academy,Public Schools,151611,"461 Mill Hill Avenue
Bridgeport, CT 06610
",41.19289546600004, -73.16517696699998,6610,203-275-3300,,,,
Southington School District,John F. Kennedy Middle School,Public Schools,1315311,"1071 South Main St.
Plantsville, CT 06479
",41.57794898800006, -72.89516726899996,6479,860-628-3275,,,,
North Canaan School District,North Canaan School District,Public School Districts,1000011,"WARREN TURNPIKE ROAD
Falls Village, CT 06031
",41.95221620700005, -73.34437621299998,6031,860-824-5149,,,,
North Haven School District,Clintonville Elementary School,Public Schools,1010811,"456 Clintonville Rd.
North Haven, CT 06473
",41.392137356000035, -72.83149841099998,6473,203-239-5865,,,,
Meriden School District,Nathan Hale School,Public Schools,800711,"277 Atkins St. Ext.
Meriden, CT 06450
",41.543059579000044, -72.77481955199994,6450,203-237-7486,,,,
East Haven School District,Carbone School/East Haven Academy,Public Schools,441711,"200 Tyler St.
East Haven, CT 06512
",41.27527420200005, -72.87593076499996,6512,203-468-3219,,,,
Meriden School District,John Barry School,Public Schools,800511,"124 Columbia St.
Meriden, CT 06450
",41.54550580000006, -72.80269720499996,6450,203-237-8831,,,,
Sherman School District,Sherman School,Public Schools,1270111,"2 Route-37 East
Sherman, CT 06784
",41.57949419800008, -73.49477324299994,6784,860-355-3793,,,,
Department of Mental Health and Addiction Services,Connecticut Valley Hospital - Whiting Forensic - Blue Hills Hospital,State Agency Facilities,3370215,"1000 Silver St.
Middletown, CT 06457
",41.55779400800003, -72.62121544899998,6457,860-262-7009,,,,
Cheshire School District,Cheshire High School,Public Schools,256111,"525 South Main St.
Cheshire, CT 06410
",41.48965769800003, -72.90478651699993,6410,203-250-2511,,,,
Regional School District 04,Valley Regional High School,Regional Schools,2046112,"256 Kelsey Hill Rd.
Deep River, CT 06417
",41.368462478000026, -72.44743470599997,6417,860-526-5328,,,,
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Public Charter Schools,2880113,"395 Lyme St.
Hartford, CT 06112
",41.80341597100005, -72.70411663899995,6112,860-695-5280,,,,
East Haven School District,Momauguin School,Public Schools,440711,"99 Cosey Beach Rd.
East Haven, CT 06512
",41.24889369500005, -72.87270053099996,6512,203-468-3321,,,,
Stamford School District,Westover School,Public Schools,1351411,"412 Stillwater Ave.
Stamford, CT 06906
",41.05771924700008, -73.55985619699999,6906,203-977-4572,,,,
North Haven School District,North Haven Middle School,Public Schools,1015211,"55 Bailey Rd.
North Haven, CT 06473
",41.377033674000074, -72.85935089299994,6473,203-239-1683,,,,
New Haven School District,Bishop Woods School,Public Schools,934311,"1481 Quinnipiac Avenue
New Haven, CT 06513
",41.32697394200005, -72.87017197199998,6513,203-497-7300,,,,
Bristol School District,Ellen P. Hubbell School,Public Schools,171411,"90 West Washington St.
Bristol, CT 06010
",41.67751426800004, -72.90874505199997,6010,860-584-7842,,,,
Monroe School District,Jockey Hollow School,Public Schools,855211,"365 Fan Hill Rd.
Monroe, CT 06468
",41.34627964100008, -73.23052415599994,6468,203-452-2905,,,,
Regional School District 18,Mile Creek School,Regional Schools,2180212,"205 Mile Creek Rd.
Old Lyme, CT 06371
",41.29656900600003, -72.28352795199999,6371,860-434-2209,,,,
Waterbury School District,Reed School,Public Schools,1513411,"33 Griggs Street
Waterbury, CT 06704
",41.565295184000036, -73.02801351699998,6704,203-574-8180,,,,
Eastern Connecticut Regional Educational Service Center,"Arts at the Capitol Theater Magnet School """,ACT),Regional Education Service Center Schools,2536014,"896 Main St.
Willimantic, CT 06226
",41.71257934600004, -72.21596889999995,6226,1,,,
Ledyard School District,Ledyard Center School,Public Schools,720111,"740 Colonel Ledyard Hwy.
Ledyard, CT 06339
",41.44089774100007, -72.01649131399995,6339,860-464-8080,,,,
Middletown School District,Spencer School,Public Schools,830111,"207 Westfield St.
Middletown, CT 06457
",41.563739944000076, -72.67627381599993,6457,860-344-0711,,,,
Hebron School District,Gilead Hill School,Public Schools,670211,"580 Gilead St.
Hebron, CT 06248
",41.67496590500008, -72.40900616099998,6248,860-228-9458,,,,
Cromwell School District,Cromwell High School,Public Schools,336111,"Donald Harris Dr.
Cromwell, CT 06416
",41.61036855400005, -72.66804569199996,6416,860-632-4841,,,,
West Hartford School District,West Hartford School District,Public School Districts,1550011,"50 South Main Street
WEST HARTFORD, CT 06107
",41.75824421900006, -72.74271116599994,6107,860-561-6600,,,,
Stratford School District,Harry B. Flood Middle School,Public Schools,1385311,"490 Chapel St.
Stratford, CT 06614
",41.23783687800005, -73.11925957899996,6614,203-385-4280,,,,
Hartford School District,Dr. Ramon E. Betances Early Reading Lab School,Public Schools,642811,"42 Charter Oak Avenue
Hartford, CT 06106
",41.75934810500007, -72.67311564899995,6106,860-695-2840,,,,
New London School District,Early Childhood Center at Harbor,Public Schools,950611,"432 Montauk Avenue
New London, CT 06320
",41.33526057700004, -72.10197533199994,6320,860-447-6040,,,,
Torrington School District,Torrington High School,Public Schools,1436111,"50 Major Besse Dr.
Torrington, CT 06790
",41.81515820800007, -73.11074917099995,6790,860-489-2294,,,,
Clinton School District,Lewin G. Joel Jr. School,Public Schools,270311,"137A Glenwood Rd.
Clinton, CT 06413
",41.30437798400004, -72.52457998699998,6413,860-664-6501,,,,
Ridgefield School District,Scotts Ridge Middle School,Public Schools,1185211,"750 North Salem Rd.
Ridgefield, CT 06877
",41.32556567100005, -73.53143307799996,6877,203-894-3400,,,,
West Hartford School District,Whiting Lane School,Public Schools,1551311,"47 Whiting Ln.
West Hartford, CT 06119
",41.76336726400007, -72.72426659099995,6119,860-233-8541,,,,
Connecticut Technical High School System,Henry Abbott Technical High School,CT Technical High Schools,9001216,"21 Hayestown Ave.
Danbury, CT 06811
",41.41285758500004, -73.45387782199998,6811,203-797-4460,,,,
Griswold School District,Griswold School District,Public School Districts,580011,"305 SLATER AVENUE
JEWETT CITY, CT 06351
",41.59640927200007, -71.97798056999994,6351,860-376-7600,,,,
Madison School District,J. Milton Jeffrey Elementary School,Public Schools,760111,"331 Copse Rd.
Madison, CT 06443
",41.29501038700005, -72.61236806199997,6443,203-245-6460,,,,
Hartford School District,Montessori Magnet at Moylan School,Public Schools,640511,"101 Catherine Street
Hartford, CT 06106
",41.74627325900008, -72.69846834699996,6106,860-695-2600,,,,
Litchfield School District,Litchfield School District,Public School Districts,740011,"35 Plumb Hill Road, P.O. Box 110
Litchfield, CT 06759
",41.74002378100005, -73.20571339999998,6759,860-567-7500,,,,
Newtown School District,Newtown Middle School,Public Schools,975111,"11 Queen St.
Newtown, CT 06471
",41.41221484500005, -73.30238465299993,6471,203-426-7638,,,,
Regional School District 08,RHAM High School,Regional Schools,2086112,"85 Wall St.
Hebron, CT 06248
",41.66464453400005, -72.36339005399998,6248,860-228-9474,,,,
Plainville School District,Plainville School District,Public School Districts,1100011,"47 ROBERT HOLCOMB WAY
PLAINVILLE, CT 06062
",41.666254105000064, -72.85803959599997,6062,860-793-3200,,,,
New Britain School District,Jefferson School,Public Schools,890711,"140 Horse Plain Rd.
New Britain, CT 06053
",41.69644043100004, -72.79953594399996,6053,860-223-8007,,,,
Plainville School District,Louis Toffolon School,Public Schools,1100511,"145 NorthWest Dr.
Plainville, CT 06062
",41.68492798400007, -72.88772237599994,6062,860-793-3280,,,,
East Hampton School District,Center School,Public Schools,420311,"7 Summit St.
East Hampton, CT 06424
",41.57638668200008, -72.50158840899996,6424,860-365-4050,,,,
Hamden School District,Hamden Middle School,Public Schools,625211,"2623 Dixwell Ave.
Hamden, CT 06518
",41.38117727900004, -72.91232128799999,6518,203-407-3140,,,,
Bridgeport School District,Edison School,Public Schools,150711,"115 Boston Terrace
Bridgeport, CT 06610
",41.19506101700006, -73.16273319999993,6610,203-576-7183,,,,
Southington School District,Joseph A. Depaolo Middle School,Public Schools,1315111,"385 Pleasant St.
Southington, CT 06489
",41.60715357000004, -72.85789440899998,6489,860-628-3260,,,,
Greenwich School District,Cos Cob School,Public Schools,570211,"300 East Putnam Ave.
Cos Cob, CT 06807
",41.03926251900003, -73.59695738399995,6807,203-869-4670,,,,
Scotland School District,Scotland Elementary School,Public Schools,1230111,"68 Brook Rd.
Scotland, CT 06264
",41.702948742000046, -72.08198842299998,6264,860-423-0064,,,,
Norwalk School District,Silvermine Elementary School,Public Schools,1032311,"157 Perry Ave.
Norwalk, CT 06850
",41.14794622100004, -73.44032792699994,6850,203-899-2950,,,,
Chester School District,Chester School District,Public School Districts,260011,"WINTHROP ROAD, BOX 187
Deep River, CT 06417
",41.36271828800005, -72.48692619299999,6417,860-526-2417,,,,
Trumbull School District,Trumbull High School,Public Schools,1446111,"72 Strobel Rd.
Trumbull, CT 06611
",41.26529788700003, -73.19174607499997,6611,203-452-4555,,,,
Ellington School District,Ellington Middle School,Public Schools,485111,"46 Middle Butcher Rd.
Ellington, CT 06029
",41.87840336800008, -72.45991363399997,6029,860-896-2339,,,,
Groton School District,Mary Morrisson School,Public Schools,591711,"154 Toll Gate Road
Groton, CT 06340
",41.37189922400006, -72.06575473399994,6340,860-449-5655,,,,
Regional School District 06,Warren Elementary School,Regional Schools,2060312,"21 Sackett Hill Rd.
Warren, CT 06754
",41.74156345500006, -73.34819407899994,6754,860-868-2223,,,,
Old Saybrook School District,Old Saybrook School District,Public School Districts,1060011,"50 SHEFFIELD STREET
Old Saybrook, CT 06475
",41.29036991700008, -72.37250297899993,6475,860-395-3157,,,,
New Britain School District,"House of Arts Letters and Science """,HALS)  Academy,Public Schools,895411,"30 Pendleton Rd.
New Britain, CT 06053
",41.69438995400003, -72.77060704399997,6053,0,,,
Canton School District,Canton Intermediate School,Public Schools,230311,"39 Dyer Ave.
Canton, CT 06019
",41.822078582000074, -72.91974409799997,6019,860-693-7717,,,,
Colchester School District,Colchester Elementary School,Public Schools,280411,"315 Halls Hill Rd.
Colchester, CT 06415
",41.571719905000066, -72.32029468299999,6415,860-537-0717,,,,
Plymouth School District,Harry S. Fisher Elementary School,Public Schools,1110411,"79 North Main St.
Terryville, CT 06786
",41.68246527700006, -73.00596111099998,6786,860-314-2770,,,,
Amistad Academy District,Amistad Academy,Public Charter Schools,2795113,"407 James St.
New Haven, CT 06513
",41.314371806000054, -72.90396185199995,6513,203-773-0390,,,,
Bethel School District,Bethel Middle School,Public Schools,95111,"600 Whittlesey Dr.
Bethel, CT 06801
",41.38503593000007, -73.39687783499994,6801,203-794-8663,,,,
Judicial Centers,Hartford Detention Center,State Agency Facilities,3480315,"920 Broad St.
Hartford, CT 06106
",41.756888305000075, -72.68704511699997,6106,860-244-7965,,,,
New London School District,Bennie Dover Jackson Middle School,Public Schools,955111,"36 Waller St.
New London, CT 06320
",41.359082914000055, -72.10805779299994,6320,860-437-6480,,,,
North Haven School District,Ridge Road Elementary School,Public Schools,1010311,"1341 Ridge Rd.
North Haven, CT 06473
",41.37193288100008, -72.89637884399997,6473,203-248-4050,,,,
West Hartford School District,Conard High School,Public Schools,1556111,"110 Beechwood Rd.
West Hartford, CT 06107
",41.73527237700006, -72.74803829899997,6107,860-231-5000,,,,
