ASSET_CD,OFF_LEASH_AREA_ID,CATEGORY,STATUS,DESCRIPTION,FENCING_INFO,PARCEL_LOCATION,STEWARD,MAINTAINED_BY,MAINT_INFO,OPENED_DT,CLOSED_DT,CLOSED_REASON,AGREEMENT_INFO,NOTES
CLI278,CLI-001,NEIGHBOURHOOD,INACTIVE,CLIFF BUNGALOW (EVAMY RIDGE),,2325 CLIFF ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,SITE HAS UNSTABLE SLOPE - BEING REMEDIATED
THO570,THO-005,NEIGHBOURHOOD,OPEN,THORNCLIFFE,PARTIAL CHAIN LINK FENCE ADJACENT MCKNIGHT BV NW,280 NORTHMOUNT DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BED681,BED-001,NEIGHBOURHOOD,OPEN,BEDDINGTON HEIGHTS,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG BERKSHIRE BV NW,735 BERKSHIRE BV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
COA786,COA-001,NEIGHBOURHOOD,OPEN,COACH HILL,NO FENCE ALONG OLD BANFF COACH RD SW,6204 COACH HILL RD SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MPK455,MPK-001,NEIGHBOURHOOD,OPEN,MARLBOROUGH PARK,PARTIAL CHAIN LINK FENCE ADJACENT 16 AV NE & 68 ST NE,16 AV NE BUFFER 52 ST TO 68 ST NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
DAL087,DAL-001,NEIGHBOURHOOD,OPEN,DALHOUSIE (SOUTH DALHOUSIE COULEE),PARTIAL CHAIN LINK FENCE ADJACENT DALHOUSIE DR NW,6034 DALFORD RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
THO673,THO-004,NEIGHBOURHOOD,OPEN,THORNCLIFFE,,628 63 AV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
WHL563,WHL-001,COMMUNITY CLUSTER,OPEN,WEST HILLHURST & HOUNSFIELD HEIGHTS BRIAR HILL (BRIARHILL ESCARPMENT),,1025 19 ST NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
MPL152,MPL-001,NEIGHBOURHOOD,OPEN,MAPLE RIDGE,PARTIAL CHAIN LINK FENCE ADJACENT ANDERSON RD SE & ACADIA DR SE,MAPLEGLADE CL SE @ ACADIA DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
DAL077,DAL-002,COMMUNITY CLUSTER,OPEN,DALHOUSIE,PARTIAL CHAIN LINK FENCE ADJACENT JOHN LAURIE BV NW,5325 JOHN LAURIE BV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
LKV533,LKV-001,NEIGHBOURHOOD,OPEN,LAKEVIEW,SOUND WALL ADJACENT GLENMORE TR SW,3129 GLENMORE TR SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
OGD795,OGD-003,COMMUNITY CLUSTER,OPEN,OGDEN,,1951 69 AV SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
CAN001,CAN-001,NEIGHBOURHOOD,OPEN,CANYON MEADOWS,,CANYON MEADOWS BUFFER,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
CAM878,CAM-002,NEIGHBOURHOOD,OPEN,CAMBRIAN HEIGHTS,,3625 10 ST NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
VAR145,VAR-001,COMMUNITY CLUSTER,OPEN,VARSITY,SOUND WALL ADJACENT CROWCHILD TR NW,216R VALENCIA RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MAL498,MAL-001,NEIGHBOURHOOD,OPEN,MAYLAND HEIGHTS,,325 19 ST NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
LKB503,LKB-001,COMMUNITY CLUSTER,OPEN,LAKE BONAVISTA,PARTIAL CHAIN LINK FENCE ADJACENT ANDERSON RD SE,12008 LAKE EMERALD CR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
VAR080,VAR-002,NEIGHBOURHOOD,OPEN,VARSITY BUFFER AT 37 ST INSIDE CROWCHILD TR SOUND WALL,CHAIN LINK ON NORTH EDGE ONLY,ROAD RIGHT OF WAY,CALGARY ROADS,CALGARY PARKS SHARED,TURF & SIGNAGE MAINTENANCE ONLY,,,,SEE PARIS REPOSITORY AGREEMENTS OFF LEASH FOR DETAILS: 2015/11/23:WRONG AGREEMENT-SENT EMAIL TO SEE IF ANYONE HAS IT,ADJACENT TO MULTFAMILY SITE
CAM874,CAM-003,NEIGHBOURHOOD,OPEN,CAMBRIAN HEIGHTS,,3425 10 ST NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
RAM415,RAM-002,NEIGHBOURHOOD,OPEN,RAMSAY (SCOTMAN'S HILL),,2015 SALISBURY ST SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
GBK650,GBK-001,NEIGHBOURHOOD,OPEN,GLENBROOK,FENCED ADJACENT SARCEE TR SW,5332 30 AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
STR814,STR-002,NEIGHBOURHOOD,OPEN,STRATHCONA PARK,,795 STRATHCONA DR SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
BRD774,BRD-001,NEIGHBOURHOOD,OPEN,BRIDGELAND RIVERSIDE (MCDOUGALL SLOPE),,MURDOCH PARK; MCDOUGALL SLOPE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
LKB086,LKB-004,NEIGHBOURHOOD,OPEN,LAKE BONAVISTA,,12446 LAKE FRASER DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MAL499,MAL-002,NEIGHBOURHOOD,CLOSED,MAYLAND HEIGHTS,,320 19 ST NE,CALGARY PARKS,CALGARY PARKS,,19881208,20060606,CMTY DECISION,,
COL426,COL-002,COMMUNITY CLUSTER,OPEN,COLLINGWOOD,PARTIAL CHAIN LINK FENCE ADJACENT JOHN LAURIE BV NW,1823 JOHN LAURIE BV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MON240,MON-002,COMMUNITY CLUSTER,OPEN,MONTGOMERY,,4707 MONTALBAN DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
WIN800,WIN-001,COMMUNITY CLUSTER,OPEN,WINSTON HEIGHTS MOUNTVIEW (ELKS PARK),,36 MONCTON RD NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
THO565,THO-002,NEIGHBOURHOOD,OPEN,THORNCLIFFE,,6036 TROLLINGER ST NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
BRD890,TCH-001,REGIONAL,OPEN,RENFREW & BRIDGELAND RIVERSIDE (TOM CAMPBELL'S HILL),,13 ST NE @ CENTRE AV NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SPR049,SPR-001,COMMUNITY CLUSTER,OPEN,SPRUCE CLIFF & SHAGANAPPI (LOWERY GARDENS),,25 29 ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
PUM036,PUM-001,NEIGHBOURHOOD,OPEN,PUMP HILL,,344 PUMP HILL GD SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
NPK454,NPK-001,REGIONAL,OPEN,NOSE HILL PARK NATURAL AREA,,NOSE HILL PARK,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
RAN038,RAN-002,NEIGHBOURHOOD,OPEN,RANCHLANDS,,239 RANCH ESTATES DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HID743,HID-002,COMMUNITY CLUSTER,OPEN,HIDDEN VALLEY,,9900 HIDDEN VALLEY DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
TUS603,TUS-002,COMMUNITY CLUSTER,OPEN,TUSCANY BUFFER & TUC (TWELVE-MILE COULEE),PARTIAL CHAIN LINK FENCE ADJACENT STONEY TR NW,TUC - FENCED AREA,PROVINCE OF ALBERTA,CALGARY PARKS SHARED,,20110211,,,,
WLD050,EDW-001,REGIONAL,OPEN,WILDWOOD (EDWORTHY PARK),NO FENCE ALONG SARCEE TR SW; OLA BOUNDARY 50 M FROM ROADWAY,5050 SPRUCE DR SW; EDWORTHY PARK @ SARCEE TR,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BDO352,LKB-002,COMMUNITY CLUSTER,OPEN,LAKE BONAVISTA,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG BOW BOTTOM TR SE,12124R LAKE MICHIGAN RD SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
CHN113,CHN-001,NEIGHBOURHOOD,CLOSED,DOWNTOWN EAST VILLAGE & CHINATOWN (SIEN LOK RIVERFRONT PROMENADE),,316 RIVERFRONT AV SE,CALGARY PARKS,CALGARY PARKS,,,20100630,SITE REDESIGN,,SITE REDESIGN RESULTED IN SITE BEING UNACCEPTABLE FOR OFF LEASH
EDG053,EDG-003,REGIONAL,OPEN,EDGEMONT,PARTIAL CHAIN LINK FENCE ADJACENT SHAGANAPPI TR NW; NO FENCE ALONG EDGEMONT BV NW,40 EDELWEISS CR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HAY197,HAY-002,NEIGHBOURHOOD,OPEN,HAYSBORO & SOUTHWOOD,PARTIAL CHAIN LINK FENCE ADJACENT 14 ST SW,8416 14 ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SAN645,SAN-002,NEIGHBOURHOOD,OPEN,SANDSTONE VALLEY,NO FENCE ALONG BERKSHIRE BV NW,1880 BERKSHIRE BV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HPK823,HPK-001,NEIGHBOURHOOD,OPEN,HIGHLAND PARK & GREENVIEW,,310 42 AV NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
BRT346,LAN-003,REGIONAL,OPEN,ELBOW PARK & BRITANNIA (LANSDOWNE BRITANNIA),,625 LANDOWNE AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
NHV672,NHV-001,COMMUNITY CLUSTER,OPEN,NORTH HAVEN UPPER & NORTH HAVEN,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG 14 ST NW,60R NIVEN PL NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HAW044,HAW-003,NEIGHBOURHOOD,OPEN,HAWKWOOD,,164 HAWKVIEW MANOR CI NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
OGD807,OGD-004,NEIGHBOURHOOD,OPEN,OGDEN,,7120 20A ST SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
QLD582,QLD-003,COMMUNITY CLUSTER,OPEN,QUEENSLAND,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG BOW BOTTOM TR SE,48R QUEEN ALEXANDRA PL SE,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,20110211,,,,
09E787,ERP-001,COMMUNITY CLUSTER,OPEN,09E (ELLISTON REGIONAL PARK),,1827 68 ST SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ALT701,ALT-001,REGIONAL,OPEN,RIVER PARK 001,,RIVER PARK SANDY BEACH 14 ST SW ALIGNMENT,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BED682,BED-002,NEIGHBOURHOOD,OPEN,BEDDINGTON HEIGHTS,,88 BERNARD CL NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BRT346,LAN-002,REGIONAL,OPEN,ELBOW PARK & BRITANNIA (LANSDOWNE BRITANNIA),,625 LANDOWNE AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BRT346,LAN-001,REGIONAL,PROPOSED,ELBOW PARK & BRITANNIA (LANSDOWNE BRITANNIA),,625 LANDOWNE AV SW,CALGARY PARKS,CALGARY PARKS,,,,,,
CED077,CED-001,REGIONAL,OPEN,CEDARBRAE (RIGHT OF WAY),PARTIAL CHAIN LINK FENCE ADJACENT WEST BOUNDARY; OWNER UNKNOWN,37 ST BUFFER,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
HAW014,HAW-004,COMMUNITY CLUSTER,OPEN,HAWKWOOD,NO FENCE ALONG JOHN LAURIE BV NW,95 HAWKWOOD HL NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
CRE876,CRE-001,NEIGHBOURHOOD,OPEN,CRESCENT HEIGHTS (ROTARY PARK),NO FENCE ALONG CENTRE ST N; SLOPE AND SHRUBS ACT AS BARRIER,425 1 ST NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
RIV844,RIV-001,NEIGHBOURHOOD,OPEN,RIVERBEND,,755 RIVERBEND DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
RUN277,RUN-001,NEIGHBOURHOOD,OPEN,RUNDLE,PARTIAL CHAIN LINK FENCE ADJACENT 16 AV NE,333 RUNDLERIDGE DR NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
EPK291,EPK-001,NEIGHBOURHOOD,OPEN,ELBOW PARK,,3029 8 ST SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SNA178,SNA-002,NEIGHBOURHOOD,OPEN,SUNALTA (PUMPHOUSE DEPOT),,1910 BOW TR SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SIL245,BPK-006,REGIONAL,OPEN,VARSITY (BOWMONT PARK),,2123 52 ST NW - OFF HOME RD NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SIL245,BPK-001,REGIONAL,OPEN,SILVER SPRINGS (BOWMONT PARK @ RIVER),PARTIAL CHAIN LINK FENCE ADJACENT TRAIN TRACKS,5802 133 ST NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SIL245,BPK-005,REGIONAL,OPEN,SILVER SPRINGS &VARSITY (BOWMONT PARK),,5020 SILVER SPRINGS BV NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
STR836,STR-003,NEIGHBOURHOOD,OPEN,STRATHCONA PARK,,111 STRATTON CR SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
OGD792,OGD-002,NEIGHBOURHOOD,CLOSED,OGDEN (MILLICAN PARK & BEAVERDAM FLATS),POST & CABLE FENCE ONLY,MILLICAN PARK; BEAVERDAM FLATS,CALGARY PARKS,CALGARY PARKS,,19881208,20130508,PUBLIC ENGAGEMENT,,CHANGED TO ON LEASH AS PART OF PUBLIC ENGAGEMENT PROCESS
QLD514,QLD-002,NEIGHBOURHOOD,OPEN,QUEENSLAND & DIAMOND COVE,POST & CABLE FENCE ONLY,75 DIAMOND DR SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
QLD514,QLD-001,COMMUNITY CLUSTER,OPEN,QUEENSLAND & DIAMOND COVE & FISH CREEK PARK,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG CANYON MEADOWS DR SE,481R QUEENSLAND CI SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BRA083,BRA-001,NEIGHBOURHOOD,OPEN,BRAESIDE,FULLY FENCED CHAIN LINK,BRAESIDE BUFFER -SW CORNER ANDERSON RD & 14 ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
LKV001,LKV-002,COMMUNITY CLUSTER,OPEN,LAKEVIEW BUFFER,,OVERHEAD UTILITY CORRIDOR,ALTA LINK AND ENMAX,CALGARY PARKS SHARED,PARKS TO MAINTAIN SIGNAGE & GARBAGE CONTAINERS,20100101,,,,
BNK853,BNK-001,NEIGHBOURHOOD,OPEN,BANKVIEW (BANKVIEW PARK),PARTIAL CHAIN LINK FENCE,1815 23 AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
WBN998,WBN-001,NEIGHBOURHOOD,OPEN,WOODBINE,PARTIAL CHAIN LINK FENCE ADJACENT 37 ST SW,37 ST SW COMMUNITY BUFFER  130 AV TO,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SAN759,SAN-003,NEIGHBOURHOOD,OPEN,SANDSTONE VALLEY,,80 SANDARAC DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BED721,BED-003,NEIGHBOURHOOD,OPEN,BEDDINGTON HEIGHTS,POST & CABLE FENCE ONLY,1051 BERKLEY DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BED679,BED-004,NEIGHBOURHOOD,OPEN,BEDDINGTON HEIGHTS,,1052R BERKLEY DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
OAK075,OAK-001,REGIONAL,OPEN,OAKRIDGE (RIGHT OF WAY),PARTIAL CHAIN LINK FENCE ADJACENT WEST BOUNDARY; OWNER UNKNOWN,37 ST BUFFER,CALGARY ROADS,CALGARY PARKS SHARED,,20110211,,,,
SRI097,SRI-001,NEIGHBOURHOOD,CLOSED,SADDLE RIDGE INDUSTRIAL,,4420 72 AV NE,CALGARY PARKS,CALGARY PARKS,,,20101001,STORM POND CONSTRUCTION,,
HUN719,HUN-005,NEIGHBOURHOOD,OPEN,HUNTINGTON HILLS,,105 HUNTSTROM DR NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MCI288,MCI-001,COMMUNITY CLUSTER,OPEN,McCALL,PARTIAL CHAIN LINK FENCE ABOVE DEERFOOT TR NE,4105 10 ST NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
RDL474,RDL-001,NEIGHBOURHOOD,OPEN,ROSEDALE & SUNNYSIDE,PARTIAL CHAIN LINK FENCE ADJACENT LRT TRAIN TRACKS,1101 CRESCENT RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SSD560,MCB-001,REGIONAL,OPEN,ROSEDALE & SUNNYSIDE (MCHUGH BLUFF),,125 CRESCENT RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
