Community,LONGITUDE,LATITUDE
CAMBRIAN HEIGHTS,-114.0878931,51.08500187
CANADA OLYMPIC PARK,-114.2176299,51.08081927
CANYON MEADOWS,-114.0814724,50.94226551
CAPITOL HILL,-114.0954515,51.0706425
CASTLERIDGE,-113.9592641,51.10629145
CEDARBRAE,-114.1300222,50.95617525
CFB - CURRIE,-114.1244293,51.01775984
CFB - LINCOLN PARK PMQ,-114.1242095,51.00303967
CHAPARRAL,-114.0273091,50.88507706
CHARLESWOOD,-114.1178635,51.08456161
CHINATOWN,-114.0636259,51.05182971
CHINOOK PARK,-114.0892416,50.98278783
CHRISTIE PARK,-114.1759352,51.03896276
CITADEL,-114.1802265,51.14535495
CITYSCAPE,-113.9596273,51.14651773
CLIFF BUNGALOW,-114.0743122,51.03399637
COACH HILL,-114.1814526,51.05651976
COLLINGWOOD,-114.1014962,51.0840187
COPPERFIELD,-113.9277716,50.91551776
CORAL SPRINGS,-113.9270557,51.10320649
COUGAR RIDGE,-114.2084229,51.07112559
COUNTRY HILLS,-114.0767531,51.14387082
COUNTRY HILLS VILLAGE,-114.0609113,51.15774588
COVENTRY HILLS,-114.0511061,51.16584442
CRANSTON,-113.9794504,50.87763797
CRESCENT HEIGHTS,-114.0610223,51.05968357
CRESTMONT,-114.2574392,51.08505318
DALHOUSIE,-114.1582231,51.10940396
DEER RIDGE,-114.0202869,50.92708104
DEER RUN,-114.0027065,50.91940823
DEERFOOT BUSINESS CENTRE,-114.0409281,51.11453022
DIAMOND COVE,-114.0211706,50.94645863
DISCOVERY RIDGE,-114.2152424,51.01419561
DOUGLASDALE/GLEN,-114.0003746,50.94251756
DOVER,-113.9910063,51.02333594
DOWNTOWN COMMERCIAL CORE,-114.0699571,51.04719687
DOWNTOWN EAST VILLAGE,-114.0502128,51.04627278
DOWNTOWN WEST END,-114.0883195,51.04695721
EAGLE RIDGE,-114.0970685,50.98507975
EAST FAIRVIEW INDUSTRIAL,-114.04033,50.98459595
EAST SHEPARD INDUSTRIAL,-113.9478633,50.94920627
EASTFIELD,-113.970091,51.01186755
EAU CLAIRE,-114.0734504,51.05307758
EDGEMONT,-114.1446295,51.12738949
ELBOW PARK,-114.0829773,51.02127886
ELBOYA,-114.0743821,51.01232569
ERIN WOODS,-113.9683935,51.01976038
ERLTON,-114.0610706,51.02949571
EVANSTON,-114.1126937,51.17258113
EVERGREEN,-114.1170647,50.91529775
FAIRVIEW,-114.0603061,50.98436144
FAIRVIEW INDUSTRIAL,-114.0656389,50.99070381
FALCONRIDGE,-113.9450466,51.10237241
FISH CREEK PARK,-114.0266923,50.90973958
FOOTHILLS,-113.9757899,50.99516294
FOREST HEIGHTS,-113.9687524,51.04906831
FOREST LAWN,-113.9712788,51.03839445
FOREST LAWN INDUSTRIAL,-113.9518686,51.03419162
FRANKLIN,-113.9876955,51.05885882
GLAMORGAN,-114.1519057,51.01413398
GLENBROOK,-114.1537135,51.02473582
GLENDALE,-114.1525067,51.03397794
GLENDEER BUSINESS PARK,-114.0316074,50.98930354
GLENMORE PARK,-114.1249293,50.98197665
GOLDEN TRIANGLE,-113.9862018,51.01195945
GREAT PLAINS,-113.9393777,50.98692083
GREENVIEW,-114.0563696,51.0957834
GREENVIEW INDUSTRIAL PARK,-114.0468658,51.08763842
GREENWOOD/GREENBRIAR,-114.2226937,51.09028273
HAMPTONS,-114.149047,51.14513106
HARVEST HILLS,-114.0541029,51.14814234
HAWKWOOD,-114.1755723,51.13059763
HAYSBORO,-114.0833355,50.97229555
HIDDEN VALLEY,-114.1121781,51.15101906
HIGHFIELD,-114.0385406,51.01708975
HIGHLAND PARK,-114.0650109,51.087972
HIGHWOOD,-114.0792332,51.0922531
HILLHURST,-114.0932331,51.05632379
HORIZON,-113.9918851,51.08895595
HOUNSFIELD HEIGHTS/BRIAR HILL,-114.105419,51.06362465
HUNTINGTON HILLS,-114.0676545,51.11833931
INGLEWOOD,-114.019787,51.03555377
KELVIN GROVE,-114.0888867,50.99004538
KILLARNEY/GLENGARRY,-114.1324543,51.03145512
KINCORA,-114.134069,51.16015958
KINGSLAND,-114.0773382,50.9868927
LAKE BONAVISTA,-114.0520597,50.93948784
LAKEVIEW,-114.1305464,50.99781265
LEGACY,-114.0047918,50.8560061
LINCOLN PARK,-114.1295594,51.00985132
LIVINGSTON,-114.0637267,51.18703023
LOWER MOUNT ROYAL,-114.085866,51.03668878
MACEWAN GLEN,-114.115009,51.13738277
MAHOGANY,-113.9245332,50.89612025
MANCHESTER,-114.0665532,51.00708315
MANCHESTER INDUSTRIAL,-114.0567317,51.01089465
MAPLE RIDGE,-114.0333933,50.95822096
MARLBOROUGH,-113.9697986,51.0597329
MARLBOROUGH PARK,-113.9462583,51.06004598
MARTINDALE,-113.9588834,51.11766869
MAYFAIR,-114.0889744,50.99581551
MAYLAND,-114.0107242,51.05145121
MAYLAND HEIGHTS,-114.01273,51.06151296
MCKENZIE LAKE,-113.9856283,50.91332497
MCKENZIE TOWNE,-113.9649098,50.91545164
MEADOWLARK PARK,-114.077327,50.99775933
MERIDIAN,-113.9975093,51.05637565
MIDNAPORE,-114.0575742,50.91476741
MILLRISE,-114.0842339,50.91735613
MISSION,-114.0663217,51.03109032
MONTEREY PARK,-113.927533,51.08183341
MONTGOMERY,-114.1618206,51.07320639
MOUNT PLEASANT,-114.0757863,51.07392524
NEW BRIGHTON,-113.9462171,50.92162351
NOLAN HILL,-114.1655178,51.17550558
NORTH AIRWAYS,-114.0088402,51.08771036
NORTH GLENMORE PARK,-114.1127991,51.00191529
NORTH HAVEN,-114.0895473,51.09666176
NORTH HAVEN UPPER,-114.0858525,51.10354926
NOSE HILL PARK,-114.1108287,51.11271647
OAKRIDGE,-114.1302704,50.96857303
OGDEN,-114.0125602,50.9903566
OGDEN SHOPS,-113.997239,50.9942631
PALLISER,-114.1121687,50.96677922
PANORAMA HILLS,-114.0850276,51.16121268
PARKDALE,-114.1374539,51.06010509
PARKHILL,-114.0686055,51.01578694
PARKLAND,-114.0299357,50.92153828
PATTERSON,-114.1780331,51.06435754
PEGASUS,-114.0067115,51.09430094
PENBROOKE MEADOWS,-113.9480773,51.04622877
PINERIDGE,-113.9467655,51.07424533
POINT MCKAY,-114.1461436,51.05946244
PUMP HILL,-114.1007929,50.96683627
QUEENS PARK VILLAGE,-114.0778031,51.08460423
QUEENSLAND,-114.0229165,50.93713449
RAMSAY,-114.0432781,51.03605888
RANCHLANDS,-114.1841293,51.11966788
RED CARPET,-113.940014,51.04098627
REDSTONE,-113.9579853,51.17038981
RENFREW,-114.0375931,51.06267857
RICHMOND,-114.1163935,51.03042334
RIDEAU PARK,-114.0738398,51.02504914
RIVERBEND,-114.0179017,50.97418526
ROCKY RIDGE,-114.2446738,51.14627094
ROSEDALE,-114.0790802,51.06356247
ROSEMONT,-114.0910143,51.07829148
ROSSCARROCK,-114.1453718,51.04203881
ROXBORO,-114.0679172,51.02649531
ROYAL OAK,-114.2228069,51.14393719
ROYAL VISTA,-114.2030292,51.15097331
RUNDLE,-113.9700581,51.07423555
RUTLAND PARK,-114.1373545,51.01938247
SADDLE RIDGE,-113.9456639,51.13232566
SADDLE RIDGE INDUSTRIAL,-113.976003,51.1257195
SAGE HILL,-114.1411142,51.17591631
SANDSTONE VALLEY,-114.0969806,51.13759544
SCARBORO,-114.1067791,51.04015752
SCARBORO/ SUNALTA WEST,-114.1153016,51.04204137
SCENIC ACRES,-114.219031,51.11444227
SECTION 23,-113.943126,50.97372957
SETON,-113.9517605,50.88024801
SHAGANAPPI,-114.1261345,51.04368393
SHAWNEE SLOPES,-114.084612,50.92496158
SHAWNESSY,-114.0772322,50.90792904
SHEPARD INDUSTRIAL,-113.992412,50.96043413
SHERWOOD,-114.1531762,51.15949925
SIGNAL HILL,-114.1765933,51.02275532
SILVER SPRINGS,-114.1946441,51.10556882
SILVERADO,-114.071749,50.88479054
SKYLINE EAST,-114.039316,51.10027843
SKYLINE WEST,-114.0487231,51.10144184
SKYVIEW RANCH,-113.9581899,51.15978048
SOMERSET,-114.082296,50.89796371
SOUTH AIRWAYS,-114.0097549,51.07822598
SOUTH CALGARY,-114.1027383,51.02662711
SOUTH FOOTHILLS,-113.9737182,50.97253589
SOUTHVIEW,-113.9961322,51.03417606
SOUTHWOOD,-114.0832345,50.95776735
SPRINGBANK HILL,-114.2080206,51.02864312
SPRUCE CLIFF,-114.1362307,51.04938246
ST. ANDREWS HEIGHTS,-114.1273807,51.06415929
STARFIELD,-113.9393674,51.00147343
STONEGATE LANDING,-113.9882846,51.16322191
STONEY 1,-114.024717,51.1611838
STONEY 2,-114.0189989,51.14395969
STONEY 3,-113.9758335,51.1470348
STONEY 4,-114.0196226,51.17897114
STRATHCONA PARK,-114.1759078,51.04694618
SUNALTA,-114.0996582,51.04353487
SUNDANCE,-114.0410376,50.900116
SUNNYSIDE,-114.0742028,51.05906978
SUNRIDGE,-113.9917004,51.07422377
TARADALE,-113.9336212,51.11774871
TEMPLE,-113.9467689,51.0887577
THORNCLIFFE,-114.0679149,51.10367926
TUSCANY,-114.243767,51.12230782
TUXEDO PARK,-114.0616178,51.07440253
UNIVERSITY HEIGHTS,-114.1338389,51.07081937
UNIVERSITY OF CALGARY,-114.1350603,51.07792754
UPPER MOUNT ROYAL,-114.0870771,51.03076247
VALLEY RIDGE,-114.2534412,51.09425208
VALLEYFIELD,-114.0007119,51.01029622
VARSITY,-114.1593179,51.09259492
VISTA HEIGHTS,-114.017861,51.07113528
WALDEN,-114.0334557,50.87216412
WEST HILLHURST,-114.1145111,51.05430955
WEST SPRINGS,-114.2067401,51.05973694
WESTGATE,-114.1587371,51.04421739
WESTWINDS,-113.9758863,51.10332993
WHITEHORN,-113.9700729,51.08877543
WILDWOOD,-114.1564371,51.05748656
WILLOW PARK,-114.0568937,50.95635757
WINDSOR PARK,-114.081594,51.00486168
WINSTON HEIGHTS/MOUNTVIEW,-114.0414227,51.07265724
WOODBINE,-114.1293715,50.9416814
WOODLANDS,-114.1071811,50.94269583
