TYPE,NAME,ADDRESS,COMM_CODE
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA
Library,Central Library,616 MACLEOD TR SE,DNC
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK
Attraction,Fort Calgary,750 9 AV SE,DNE
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA
Community Centre,Spruce Cliffe Community Centre,608 Poplar RD SW,SPR
Community Centre,Albert Park / Radisson Heights Community Centre,1310 28 ST SE,ALB
Community Centre,Montgomery Community Centre,5003 - 16 AV NW,MON
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK
Social Dev Ctr,Bowmont,5000 BOWNESS RD NW,MON
Community Centre,Forest Heights/ Fonda Community Centre,4909 Forego AV SE,FHT
Community Centre,Tuxedo Park Community Centre,202 29 AV NE,TUX
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND
Community Centre,Erin Woods Community Centre,83 Erin Park DR SE,ERI
Community Centre,Thorncliffe/Greenview Community Centre,5600 Centre ST NE,THO
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI
Community Centre,Abbeydale Community Centre,821 Abbeydale DR NE,ABB
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN
Community Centre,Elboya Heights Community Centre,416 Park AV SW,EYA
Community Centre,Rosedale Community Centre,901 11 AV NW,RDL
Community Centre,Huntington Hills Community Centre,520 78 AV NW,HUN
Community Centre,Forest Lawn Community Centre,4020 26 AV SE,FLN
Community Centre,Silver Springs Community Centre,5720 Silver Ridge DR NW,SIL
Community Centre,Deer Run Community Centre,2223 146 AV SE,DRN
Community Centre,Bowness / Greenwood / Greenbriar Community Centre,7904 43 AV NW,BOW
Community Centre,Scarboro Community Centre,1727 14 AV SW,SNA
Social Dev Ctr,Thornhill,6617 CENTRE ST NW,HUN
Community Centre,Coach Hill/Patterson Heights Community Centre,60 Patterson BV SW,PAT
Community Centre,Hounsfield Heights/Briar Hill Community Centre,1922 14 AV NW,HOU
Library,Country Hills Library,11950 Country Village Link NE,CHV
Community Centre,Pineridge Community Centre,6024 Rundlehorn DR NE,PIN
Social Dev Ctr,East Area,1011 52 ST SE,FLN
Community Centre,Rutland Park Community Centre,3130 40 AV SW,RUT
Community Centre,Rundle Community Centre,2409 50 ST NE,RUN
Community Centre,Bankview Community Centre,2418 17 ST SW,BNK
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS
Attraction,Heritage Park Historical Village,1900 Heritage Dr SW,GPK
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING
Attraction,Trans Canada Trail Pavillion,Bow River Pathway at 2 ST SW,DNC
Attraction,Triangle Art Gallery,#104 800 Macleod TR SE,DNC
Attraction,Tsuu T'ina Culture Museum,3700 Anderson RD SW,CED
Attraction,Eau Claire Market,200 Barclay PR SW,EAU
Attraction,Arts Commons,205 8 AV SE,DNC
Court,Federal Court of Appeal,635 8 AV SW,DNC
Court,Alberta Provincial Court (Youth),# 201-N 601 5 ST SW,DNC
Community Centre,Calgary Marlborough Community Centre,636 Marlborough WY NE,MRL
Community Centre,Haysboro Community Centre,1204 89 AV SW,HAY
Community Centre,Banff Trail Community Centre,2115 20 AV NW,BNF
Community Centre,Renfrew Community Association,811 Radford RD NE,REN
Attraction,Southern Alberta Jubilee Auditorium,1415 14 AV NW,HIL
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,
Attraction,Olympic Oval - University of Calgary,188 University CO NW,UOC
Attraction,Olympic Plaza,228 8 AV SE,DNC
Attraction,Rocky Mountaineer Rail Tours,115 9 AV SW,DNC
Attraction,Aero Space Museum of Calgary,4629 McCall WY NE,PEG
Attraction,Grain Academy Museum,20 Roundup WY SE,BLN
Attraction,Contemporary Calgary Art Gallery,117 8 AV SW,DNC
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC
Attraction,Calgary Stampede Park,1410 Olympic WY SE,BLN
Attraction,Calgary Firefighters Museum,4124 11 ST SE,HIF
Attraction,Scotiabank Saddledome,555 Saddledome RI SE,BLN
Attraction,Calgary Tower,101 9 AV SW,DNC
Attraction,"Calgary Zoo, Botanical Garden & Prehistoric Park",1300 Zoo RD NE,BRD
Attraction,WinSport's Canada Olympic Park,88 Canada Olympic RD SW,COP
Attraction,Canada's Sports Hall of Fame,169 Canada Olympic Road SW,COP
Attraction,Crossroads Market,1235 26 AV SE,AYB
Attraction,The Military Museums,4520 Crowchild TR SW,ALT
Attraction,Nickle Arts Museum (University of Calgary),410 University CO NW,UOC
Attraction,Telus Convention Centre,120 9 AV SE,DNC
Attraction,Butterfield Acres Children's Farm,Rocky Ridge RD & 120 AV NW,02A
Attraction,Calaway Park,Springbank RD & Trans Canada HWY,VAL
Attraction,Calgary Chamber of Commerce,237 8 Ave SE,DNC
Attraction,Calgary Chinese Cultural Centre,197 1 ST SW,CHN
Attraction,Shaw Millenium Park,1220 9 AV SW,DNW
Attraction,Devonian Gardens -  The CORE Shopping Centre,317 7 AV SW,DNC
Attraction,TELUS Spark  Centre,220 ST GEORGES DR NE,REN
Attraction,Bow Habitat Station,1440 17A ST SE,ING
Attraction,Calgary Stampeders Football - McMahon Stadium,1817 Crowchild TR NW,UOC
Library,Quarry Park Library,108 Quarry Park RD SE,DDG
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW
Community Centre,Inglewood Community Centre,1740 24 AV SE,ING
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC
Court,Alberta Provincial Court (Civil),# 606-S 601 5 ST SW,DNC
Community Centre,Beddington Heights Community Centre,375 Bermuda DR NW,BED
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR
Community Centre,Mount Pleasant Community Centre,,MOP
Community Centre,Beltline Victoria and Connaught Community Centre,1302 6 ST SE,BLN
