quarter,flat_type,no_of_resale_applications
2011-Q3,3-room,1796
2011-Q3,4-room,2118
2011-Q3,5-room,1415
2011-Q3,Executive,458
2011-Q4,1-room,3
2011-Q4,2-room,86
2011-Q4,3-room,1712
2011-Q4,4-room,2224
2011-Q4,5-room,1412
2011-Q4,Executive,484
2012-Q1,1-room,3
2012-Q1,2-room,100
2012-Q1,3-room,1756
2012-Q1,4-room,2226
2012-Q1,5-room,1370
2012-Q1,Executive,437
2012-Q2,1-room,1
2012-Q2,2-room,139
2012-Q2,3-room,1974
2012-Q2,4-room,2676
2012-Q2,5-room,1594
2012-Q2,Executive,627
2012-Q3,1-room,11
2012-Q3,2-room,146
2012-Q3,3-room,1848
2012-Q3,4-room,2419
2012-Q3,5-room,1558
2012-Q3,Executive,578
2012-Q4,1-room,2
2012-Q4,2-room,123
2012-Q4,3-room,1593
2012-Q4,4-room,2129
2012-Q4,5-room,1288
2012-Q4,Executive,496
2013-Q1,1-room,1
2013-Q1,2-room,159
2013-Q1,3-room,1362
2013-Q1,4-room,1523
2013-Q1,5-room,962
2013-Q1,Executive,328
2013-Q2,1-room,3
2013-Q2,2-room,185
2013-Q2,3-room,1640
2013-Q2,4-room,1922
2013-Q2,5-room,1070
2013-Q2,Executive,415
2013-Q3,1-room,2
2013-Q3,2-room,172
2013-Q3,3-room,1377
2013-Q3,4-room,1670
2013-Q3,5-room,969
2013-Q3,Executive,339
2013-Q4,1-room,1
2013-Q4,2-room,132
2013-Q4,3-room,1251
2013-Q4,4-room,1524
2013-Q4,5-room,784
2013-Q4,Executive,309
2014-Q1,1-room,4
2014-Q1,2-room,92
2014-Q1,3-room,1285
2014-Q1,4-room,1444
2014-Q1,5-room,726
2014-Q1,Executive,230
2014-Q2,1-room,3
2014-Q2,2-room,119
2014-Q2,3-room,1411
2014-Q2,4-room,1669
2014-Q2,5-room,913
2014-Q2,Executive,274
2014-Q3,1-room,4
2014-Q3,2-room,94
2014-Q3,3-room,1416
2014-Q3,4-room,1735
2014-Q3,5-room,960
2014-Q3,Executive,304
2014-Q4,1-room,10
2014-Q4,2-room,118
2014-Q4,3-room,1398
2014-Q4,4-room,1779
2014-Q4,5-room,1024
2014-Q4,Executive,306
2015-Q1,1-room,2
2015-Q1,2-room,77
2015-Q1,3-room,1247
2015-Q1,4-room,1608
2015-Q1,5-room,925
2015-Q1,Executive,276
2015-Q2,1-room,3
2015-Q2,2-room,78
2015-Q2,3-room,1518
2015-Q2,4-room,2120
2015-Q2,5-room,1210
2015-Q2,Executive,357
2015-Q3,1-room,2
2015-Q3,2-room,80
2015-Q3,3-room,1374
2015-Q3,4-room,1935
2015-Q3,5-room,1140
2015-Q3,Executive,362
2015-Q4,1-room,3
2015-Q4,2-room,82
2015-Q4,3-room,1399
2015-Q4,4-room,1993
2015-Q4,5-room,1113
2015-Q4,Executive,402
2016-Q1,1-room,1
2016-Q1,2-room,51
2016-Q1,3-room,1220
2016-Q1,4-room,1809
2016-Q1,5-room,1023
2016-Q1,Executive,345
