nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"ACADEMIA CLASES PARTICULARES ALCOBENDAS","CL SEGURA (DEL) 11","28100","OTRAS ZONAS","697597673","NO DISPONIBLE","coord@academia-clases-particulares-alcobendas.es","www.academia-clases-particulares-alcobendas.es","DAMON AFKARI","SERVICIOS","ACADEMIA DE IDIOMAS Y REFUERZO ESCOLAR","",40.54388531,-3.63824680
"ACADEMIA CONNECTION","PS VALDELASFUENTES (DE) 11 - LOCAL","28100","VALDELASFUENTES","916623797 / 606394499","NO DISPONIBLE","oscar@connectionmadrid.com","www.connectionmadrid.com","OSCAR RUIZ","SERVICIOS","ACADEMIA DE INGLES","",40.55211355,-3.65387208
"ACADEMIA EPSILON","PS CHOPERA (DE LA) 313 - (POSTERIOR)","28100","EJE CHOPERA","916611082","916611082","amas0031@sauce.pntic.mec.es","NO DISPONIBLE","MANUEL HUERTAS","SERVICIOS","ACADEMIA DE IDIOMAS, APOYOS","",40.54501020,-3.65914485
"ACADEMIAS DANER","CL MARQUES DE LA VALDAVIA (D 92 -BAJO","28100","EJE VALDAVIA ESPAÑA","912293756","NO DISPONIBLE","academiasdaner@gmail.com","NO DISPONIBLE","MARIA TERESA RODRIGUEZ CURIEL","SERVICIOS","ACADEMIA DE REFUERZO , IDIOMAS Y OTRAS ENSEÑANZAS","",40.54611310,-3.64573976
"ACADOMIA","AV ESPAÑA (DE) 44 - BAJO 2","28100","EJE VALDAVIA ESPAÑA","916592910 / 607622131","916592911","alcobendas@acadomia.es","www.acadomia.es","ELEONORA STOCCO","SERVICIOS","CLASES PARTICULARES A DOMICILIO","",40.54738187,-3.63990698
"ACF CREDITOS","CL CONSTITUCION (DE LA) 70 - 1ª PLANTA , OFICIAN 2","28100","Z.C. CONSTITUCION","699868354 / 910139482","NO DISPONIBLE","info@acfcreditos.es","www.creditosyprestamospersonales.es","ANGEL BIENVENIDO ALONSO HERVAS","SERVICIOS","INTERMEDIACION FINANCIERA EN LA CONCESION DE PRESTAMOS. INTERMEDIACION INMOBILIARIA","",40.54359541,-3.63850312
"ACTUAL DECORACION","CL ESCORIAL (DEL) 111 - LOCALES 11-12","28100","OTRAS ZONAS","916547137 / 607704496","916547137","NO DISPONIBLE","www.actual-decoracion.com","MANUEL RODRIGUEZ","HOGAR","DECORACION DE INTERIORES MEDIANTE PLADUR, CUBRERADIADORES A MEDIDA MUEBLES DE BAÑO Y FRENTES DE ARMARIO","",40.55032447,-3.63885639
"ACTUALIDAD FISCAL","CL ISAAC ALBENIZ (DE) 13 - LOCAL","28100","OTRAS ZONAS","916636159","916637927","isabel@actualidadfiscal.es","NO DISPONIBLE","ENCARNACION CHINCHILLA","SERVICIOS","ASESORIA FISCAL y LABORAL, CONTABLE Y JURIDICO","",40.55004975,-3.64497151
"ADADE ALCOBENDAS","CL PABLO PICASSO (DE) 6","28100","Z.C. CONSTITUCION","916549487","NO DISPONIBLE","madrid.alcobendas@adade.es","www.adade.es","ANA GONZALEZ ALONSO","SERVICIOS","ASESORIA JURIDICA","",40.54066490,-3.63501763
"ADAM LOCUTORIO PELUQUERIA MIXTA","CL CONSTITUCION (DE LA) 19 - BAJO","28100","Z.C. CONSTITUCION","916517152 /610669521","916517152","adam_bensliman@hotmail.com","www.peluqueriasadam.c.la","BENSLIMAN BENSERGHIN MOHAMED","VARIOS","LOCUTORIO, PELUQUERIA Y ENVIOS","",40.54197600,-3.63528834
"A'DAMA PELUQUERIA Y ESTETICA","CL DOCTOR ADOLFO ROMERO (DEL 2","28100","OTRAS ZONAS","914841717 / 618409405","NO DISPONIBLE","contacto@adamaestilistas.com","NO DISPONIBLE","Mª JOSE MARTINEZ GONZALEZ","SALUD Y BELLEZA","PELUQUERIA Y ESTETICA","",40.54339054,-3.64473859
"ADECCO, E.T.T.","CL NUESTRA SRA DEL PILAR (DE 1","28100","OTRAS ZONAS","916520399","916513411","alvaro.ojeda@adecco.com","www.adecco.es","ALVARO OJEDA","VARIOS","TRABAJO TEMPORAL","",40.54142971,-3.63319738
"ADELAIDA CANELA","PS CHOPERA (DE LA) 158","28100","EJE CHOPERA","916614351 / 619100124","NO DISPONIBLE","m.v.m.canela@gmail.com","NO DISPONIBLE","MARIA VICTORIA MARTIN CANELA","MODA Y COMPLEMENTOS","TEXTIL","",40.54544866,-3.65511565
"ADMINISTRACION DE COMUNIDADES LOPEZ YUNTA","CL MARQUES DE LA VALDAVIA (D 94","28100","EJE VALDAVIA ESPAÑA","912291662","916538273","luis@fly.es","NO DISPONIBLE","JOSE RAMON LOPEZ DEL SAZ, LUIS ANTONIO LOPEZ DEL SAZ, JUAN IGNACIO GUTIERREZ GRACIA","SERVICIOS","ADMINISTRACION DE FINCAS URBANAS","",40.54630295,-3.64613688
"ADMINISTRACION DE FINCAS GUTIERREZ LOPEZ","CL MARQUES DE LA VALDAVIA (D 94 - BAJO","28100","EJE VALDAVIA ESPAÑA","916540546 /912291662","916538273","NO DISPONIBLE","NO DISPONIBLE","JUAN IGNACIO GUTIERREZ","SERVICIOS","ADMINISTRACION DE FINCAS","",40.54630295,-3.64613688
"ADMINISTRACION DE LOTERIA Nº 6","CL SANTIAGO APOSTOL (DE) 2","28100","LAS TIENDAS DEL CENTRO","916527823","916548945","alcobendas@telefonica.net","www.mundoquiniela.com","FERNANDO MARTINEZ","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIAS Y QUINIELAS","",40.54260456,-3.63068078
"ADMINISTRACION DE LOTERIA, NUMERO 5, PEDRIN","CL LIBERTAD (DE LA) 9","28100","LAS TIENDAS DEL CENTRO","916636370","NO DISPONIBLE","pronatisaproiberia@hotmail.com","NO DISPONIBLE","FATIMA SANCHO","HOSTELERIA / OCIO","LOERIA Y APIESTAS DEL ESTADO","",40.54063936,-3.63416969
"ADMINISTRACION DE LOTERIAS LA PAZ Nº 13","PS CHOPERA (DE LA) 329","28100","EJE CHOPERA","916614084 / 667584420","NO DISPONIBLE","loteriaslapaz13@hotmail.com","NO DISPONIBLE","JOSE AGUADO","HOSTELERIA / OCIO","LOTERIAS Y APUESTAS DEL ESTADO","",40.54487533,-3.66021352
"ADMINISTRACION DE LOTERIAS Nº1 ALCOBENDAS","CL MANZANARES (DEL) 1","28100","Z.C. CONSTITUCION","916527737","NO DISPONIBLE","NO DISPONIBLE","www.loteria1alcobendas.com","MANUEL MONTERO","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIA Y APUESTAS DEL ESTADO","",40.54381359,-3.63879909
"ADMINISTRACION DE LOTERIAS Nº7","CL GOBERNADOR (DEL) 5","28100","Z.C. CONSTITUCION","916528937","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","CRISTOBAL JOSE ABRIL PEREZ","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIAS Y APUESTAS DEL ESTADO","",40.54421738,-3.64124399
"ADMINISTRACION DE LOTERIAS PEDRIN","CL LIBERTAD (DE LA) 9","28100","LAS TIENDAS DEL CENTRO","916636370 / 619289528","916539917","NO DISPONIBLE","NO DISPONIBLE","NESTOR GARCIA","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIA","",40.54063936,-3.63416969
"ADMINISTRACION DE LOTERIAS Y APUESTAS","CL CONSTITUCION (DE LA) 14","28100","Z.C. CONSTITUCION","916544041","916521114","NO DISPONIBLE","NO DISPONIBLE","JOSE Mª GOMEZ","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIAS Y APUESTAS DEL ESTADO","",40.54161999,-3.63441937
"ADMINISTRACION Nº 2 - CHUS-","CL ISABEL ROSILLO (DE) 5","28100","Z.C. CONSTITUCION","916518780 / 607789379","916527735","916518780@terra.es","NO DISPONIBLE","Mª JESUS GALLEGO LLAGUDO","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIAS Y APUESTAS DEL ESTADO","",40.54288780,-3.63597001
"ADMINSTRACION DE LOTERIAS  Nº 1","CL MANZANARES (DEL) 1","28100","Z.C. CONSTITUCION","916527737","NO DISPONIBLE","info@loteria1alcobendas.com","www.loteria1alcobendas.com","GEMA LOPEZ GOMEZ","HOSTELERIA / OCIO","LOTERIAS","",40.54381359,-3.63879909
"ADMON. DE LOTERIAS N 8 LOS BRUJOS","CL RUPERTO CHAPI (DE) 55 - LOCAL T8","28100","EJE VALDAVIA ESPAÑA","916590008","NO DISPONIBLE","losbrujos8@hotmail.com","NO DISPONIBLE","VIRGINIA RAMIREZ MANCHON","HOSTELERIA / OCIO","ADMINISTRACION DE LOTERIAS","",40.54857340,-3.64009826
"AEFEP","AV CAMILO JOSE CELA (DE) 16","28100","OTRAS ZONAS","916618092","NO DISPONIBLE","aefep10@gmail.com","www.aefep.org","JUDITH SANCHEZ GARRIDO","SALUD Y BELLEZA","PILATES, FISIOTERAPEUTAS","",40.54477147,-3.65738238
"AFIMAB, ADMINISTRACION DE FINCAS","CL DOLORES IBARRURI (DE) 17 - LOCAL 3","28100","VALDELASFUENTES","916615825","916624155","afimab@afimab.es","www.afimab.es","CESAR MANZANO BARBERO","SERVICIOS","ADMINISTRADOR DE FINCAS","",40.55011306,-3.65521763
"AG KOLTEC","CL CALENDULA (DE LA) 202","28109","OTRAS ZONAS","911138546","916509410","davidc@koltub.com","www.koltec.es","DAVID COHEN","SERVICIOS","REPUESTOS Y ACCESORIOS  DE VEHICULOS","",40.52753330,-3.64515978
"AGUAMANIL PIEL","PS CHOPERA (DE LA) 311","28100","EJE CHOPERA","916624018 / 651605396","916624018","raquelmartin@aguamanil.jazztel.es","NO DISPONIBLE","RAQUEL MARTIN","HOGAR","MATERIAL DE OFICINA Y COMPLEMENT0S, ARTESANIA DE PIEL","",40.54499962,-3.65888364
"AGUILERA E HIJOS","CR BARAJAS (DE) - 0500","28100","OTRAS ZONAS","916527830 / 916528056/916528616","NO DISPONIBLE","pedro@aguileraehijos.com","NO DISPONIBLE","JESUS AGUILERA","SERVICIOS","RECAMBIOS Y ACCESORIOS DE AUTOMOVIL Y CAMIONES","",40.53457785,-3.62091589
"AGUILERA E HIJOS (COAGASA)","BL SALVADOR ALLENDE (DE) 19","28100","OTRAS ZONAS","916527830 / 916528056","916239950","pedro@aguileraehijos.com","NO DISPONIBLE","JESUS AGUILERA/ANGEL PEREA","SERVICIOS","RECAMBIOS Y ACCESORIOS DE AUTOMOVIL Y CAMIONES","",40.53799745,-3.63358642
"AGUJAS ENCANTADAS","CL SANTIAGO APOSTOL (DE) 10","28100","LAS TIENDAS DEL CENTRO","661773031","NO DISPONIBLE","agujasencantadas@gmail.com","www.agujasencantadas.com","MARIA TERESA LARREA LOPEZ","VARIOS","LANAS Y LABORES","",40.54305407,-3.63141398
"AINHOA CENTRO MEDICO ESTETICA AVANZADA","PS CHOPERA (DE LA) 202 - LOCAL 3","28100","EJE CHOPERA","914904784 / 646470972","NO DISPONIBLE","central@chh.es","NO DISPONIBLE","AINHOA PLASENCIA ZAPATA","VARIOS","MEDICO ESTETICA","",40.54537331,-3.66006249
"AIRBAG CAR","CL DOCTOR CASIMIRO MORCILLO 16 - 2-2","28100","EJE CHOPERA","653057853","NO DISPONIBLE","airbag-car@hotmail.com","NO DISPONIBLE","ALFREDO ALFONSO GUARNIZO","SERVICIOS","VENTA DE AIRBAG","",40.54281379,-3.64549557
"AIRTERCLIMA MADRID","AV DOCTOR SEVERO OCHOA (DEL) 9","28100","EJE CHOPERA","916625084","916625084","airterclima@airterclima.com","www.airterclima.com","MARIANO LOPEZ","CONSTRUCCION Y REFORMA","INSTALACION Y MANTENIMIENTO DE EQUIPOS DE AIRE ACONDICIONADO","",40.54401133,-3.65054848
"ALBAHACA","CL MARQUESA VIUDA DE ALDAMA 13","28100","LAS TIENDAS DEL CENTRO","916532880 / 667580389","NO DISPONIBLE","albahacaalcobendas@hotmail.com","NO DISPONIBLE","Mª ANTONIA PORRES MUÑOZ","MODA Y COMPLEMENTOS","TEXTIL SEÑORA Y COMPLEMENTOS","",40.54137048,-3.63227946
"ALBAYALDE ESCUELA DE ARTE","PS CHOPERA (DE LA) 309 -  POSTERIOR","28100","EJE CHOPERA","916629351 / 607658189","916629351","albayalde@msn.com","www.albayalde.net","MARGARITA NIETO","SERVICIOS","ESCUELA TALLER DE ARTE. CLASES PARA NIÑOS Y ADULTOS. RESTAURACION DE MUEBLES. PINTURA, DIBUJO, OLEO, RETRATO...","",40.54498911,-3.65862363
"ALCO-AUTO","CL COVACHUELAS (DE) 19","28100","LAS TIENDAS DEL CENTRO","916621428 / 659700825","916621301","info@alcoauto.net","www.alcauto.com","MONTSE GUTIERREZ","SERVICIOS","SERVICIOS - ALQUILER DE COCHES CON CONDUCTOR","",40.53897175,-3.63573911
"ALCOMOBEL","CL CONSTITUCION (DE LA) 32","28100","Z.C. CONSTITUCION","916519946","916519946","donnacrio@manuelsenior.jazztel.es","NO DISPONIBLE","MANUEL SANCHEZ","HOGAR","MUEBLES DEL HOGAR","",40.54234239,-3.63586498
"ALCOOPTICA","PZ CORONACION (DE LA) 1","28100","Z.C. CONSTITUCION","916238901 / 616386876","NO DISPONIBLE","alcooptica@hotmail.es","NO DISPONIBLE","GABRIEL CAMPOS FERNANDEZ","SALUD Y BELLEZA","OPTICA Y ACCESORIOS","",40.54179478,-3.63403019
"ALCOSAN-ILUMINACION","PS CHOPERA (DE LA) 32","28100","EJE CHOPERA","916610926 / 916617329 / 620323100","916660265","alcosan@sealcosan.com","NO DISPONIBLE","CARLOS DIEZ","SERVICIOS","APARATOS DE ILUMINACION Y ACCESORIOS","",40.53875856,-3.63823669
"ALCOSANSE GESTION","CL FUEGO (DEL) 50","28100","Z.C. CONSTITUCION","916517231 / 687619213","916519276","info@grupoalcosanse.com","www.grupoalcosanse.com","PEDRO SANCHEZ","SERVICIOS","SERVICIOS DE INTERMEDIACION INMOBILIARIA FINNANCIERA Y SEGUROS","",40.54559329,-3.63525340
"ALCOSANSE REFORMAS","CL MIGUEL HERNANDEZ (DE) 9","28100","OTRAS ZONAS","916637958/ 607604585","916637958","alcosanse@alcosanse.com","www.alcosanse.com","ROSENDO MORENO DA SILVA","CONSTRUCCION Y REFORMA","ALBAÑILERIA, ALICATADOS, TARIMAS Y FONTANERIA","",40.54720045,-3.64425479
"ALCOTRON MULTIMEDIA","AV MADRID (DE) 57","28100","OTRAS ZONAS","916530617","916530617","alcotron@yahoo.com","NO DISPONIBLE","VICTOR MANUEL GARCIA BLANCO","SERVICIOS","INFORMATICA, REPARACIONES ORDENADORES, REDES INTERNET","",40.55200185,-3.63997340
"ALCOVIVIENDA Y HOGAR, S.L.","AV ESPAÑA (DE) 72 - BAJO","28100","EJE VALDAVIA ESPAÑA","916639402","916547783","NO DISPONIBLE","NO DISPONIBLE","Mª DOLORES DURAN ABRIL","SERVICIOS","PROMOCION E INTERMEDIACION EN COMPRA-VENTA DE INMUEBLES Y REFORMAS EN GENERAL","",40.54155961,-3.62823117
"ALDA","CL ISABEL ROSILLO (DE) 8","28100","Z.C. CONSTITUCION","660759466","NO DISPONIBLE","almudenacr86@hotmail.es","NO DISPONIBLE","ALMUDENA CARDO RUIZ","MODA Y COMPLEMENTOS","LENCERIA Y MODA","",40.54286606,-3.63576897
"ALEXA MODA","CL MARQUESA VIUDA DE ALDAMA 40","28100","LAS TIENDAS DEL CENTRO","664123153","NO DISPONIBLE","aleja,230@hotmail.com","NO DISPONIBLE","ALEXANDRA CARDONA RODRIGUEZ","MODA Y COMPLEMENTOS","MODA MUJER, ARREGLOS","",40.54215551,-3.63073558
"ALFREDO MARTIN MORON","CL CONSTITUCION (DE LA) 45 - PUESTO 52","28100","Z.C. CONSTITUCION","916534277","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ALFREDO MARTIN","ALIMENTACION","FRUTAS Y VERDURAS","",40.54272196,-3.63712636
"ALIAN","CL ISABEL ROSILLO (DE) 1","28100","Z.C. CONSTITUCION","912414239","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ALICIA ESPADA","MODA Y COMPLEMENTOS","ROPA DE SEÑORA","",40.54288780,-3.63597001
"ALIMENTACION  PABLO","CL CONSTITUCION (DE LA) 45 - PUESTO 9","28100","Z.C. CONSTITUCION","916527363","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","PABLO","ALIMENTACION","ALIMENTACION","",40.54272196,-3.63712636
"ALIMENTACION ANTIFA","CL SIL (DEL) 2","28100","Z.C. CONSTITUCION","912939787","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FELICIA","ALIMENTACION","ALIMENTACION","",40.54104188,-3.63240185
"ALIMENTACION BAIPE","CL ORENSE (DE) 3","28100","Z.C. CONSTITUCION","635555806","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","XIAN XIA CHEN","ALIMENTACION","FRUTOS SECOS, ALIMENTACION","",40.54225167,-3.63636633
"ALIMENTACION EUROPA 2000, S.L.U.","CL NUESTRA SRA DEL PILAR (DE 28","28100","OTRAS ZONAS","916546121","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FATIHA HEZI","ALIMENTACION","ALIMENTACION","",40.54315517,-3.63232737
"ALIMENTACION HERMANOS FERNANDEZ","PZ ALISO (DEL) 3","28100","OTRAS ZONAS","916534712","NO DISPONIBLE","agus@aliso.com","NO DISPONIBLE","AGUSTIN FERNANDEZ GARCIA","ALIMENTACION","ALIMENTACION","",40.54590221,-3.64063987
"ALIMENTACION JULIAN FERNANDEZ","CL ISABEL ROSILLO (DE) 13","28100","Z.C. CONSTITUCION","912414930","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JULIAN FERNANDEZ","ALIMENTACION","ALIMENTACION, FRUTERIA, EMBUTIDOS","",40.54305936,-3.63552387
"ALIMENTACION KAACUPE","CL NARANJOS (DE LOS) 2","28100","LAS TIENDAS DEL CENTRO","916572815","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","BENITO","ALIMENTACION","ALIMENTACION. LOCUTORIO E INTERNET","",40.53838908,-3.63652667
"ALIMENTACION LOS SEGOVIANOS","CL CONSTITUCION (DE LA) 45 PUESTO 9","28100","Z.C. CONSTITUCION","916524757","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","CARLOS","ALIMENTACION","CHARCUTERIA, LEGUMBRES","",40.54272196,-3.63712636
"ALLDECO","CL LIBERTAD (DE LA) 57","28100","LAS TIENDAS DEL CENTRO","914841578","NO DISPONIBLE","alldeco@alldeco.es","NO DISPONIBLE","ALBERTO GUTIERREZ HINOJOSA","HOGAR","MUEBLES","",40.53860499,-3.63621607
"ALMACEN DE FRUTA Mª ROSARIO","CL ISAAC ALBENIZ (DE) 16 - PUESTO 32","28100","OTRAS ZONAS","912291672/607272808","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","Mª ROSARIO VERGARA","ALIMENTACION","ALMACEN DE FRUTA","",40.54929492,-3.64394977
"ALMACENES EUROPA","CL MARQUESA VIUDA DE ALDAMA 42","28100","LAS TIENDAS DEL CENTRO","916637197","916637197","almaceneseuropa@outlook.es","NO DISPONIBLE","DAVID DIAZ","HOGAR","ROPA DE HOGAR, HOSTELERIA Y TRABAJO. PRECIOS ESPECIALES PARA EMPRESAS.","",40.54225857,-3.63062704
